,City,Cost,Rating,Comfort
0,"Centrum, Gdańsk",4229,8.8,9.2
1,Gdańsk,1701,8.4,8.2
2,"Centrum, Gdańsk",2166,7.9,8.1
3,Gdańsk,2394,7.6,9.7
4,Gdańsk,2080,9.7,8.5
5,"Sobieszewo, Gdańsk",1875,9.0,8.7
6,"Centrum, Gdańsk",2041,8.6,8.5
7,"Centrum, Gdańsk",2835,8.3,9.5
8,"Brzeźno, Gdańsk",3106,9.8,9.0
9,Gdańsk,2737,9.0,9.5
10,"Centrum, Gdańsk",3254,9.3,9.0
11,"Przymorze, Gdańsk",2530,9.1,8.5
12,Gdańsk,1959,8.4,8.3
13,Gdańsk,939,8.3,10.0
14,Gdańsk,3914,7.9,9.8
15,"Wrzeszcz, Gdańsk",2550,10.0,10.0
16,Gdańsk,1575,9.8,8.6
17,Gdańsk,1555,10.0,8.6
18,"Przymorze, Gdańsk",2421,8.3,8.3
19,"Oliwa, Gdańsk",963,8.4,8.8
20,Gdańsk,2366,8.5,8.7
21,"Przymorze, Gdańsk",1470,9.0,10.0
22,"Przymorze, Gdańsk",4410,8.5,9.0
23,"Centrum, Gdańsk",1820,7.9,9.5
24,"Centrum, Gdańsk",2470,7.2,8.0
25,Gdańsk,1361,10.0,9.2
26,"Centrum, Gdańsk",3692,8.8,8.7
27,"Centrum, Gdańsk",2919,9.3,9.0
28,Gdańsk,1514,8.1,9.4
29,"Centrum, Gdańsk",2041,9.1,9.5
30,"Brzeźno, Gdańsk",2100,8.7,9.0
31,"Przymorze, Gdańsk",1662,8.7,9.7
32,Gdańsk,1312,9.0,9.5
33,"Centrum, Gdańsk",2101,9.2,8.3
34,"Centrum, Gdańsk",3117,9.6,8.5
35,"Centrum, Gdańsk",2835,8.8,9.5
36,"Brzeźno, Gdańsk",2464,9.5,9.4
37,"Wrzeszcz, Gdańsk",1070,9.5,9.1
38,Gdańsk,2415,8.4,8.4
39,"Przymorze, Gdańsk",2540,8.3,8.6
40,"Wrzeszcz, Gdańsk",2531,9.5,8.8
41,"Przymorze, Gdańsk",3191,9.3,8.6
42,"Centrum, Gdańsk",720,8.9,8.7
43,"Wrzeszcz, Gdańsk",2380,8.3,9.0
44,"Wrzeszcz, Gdańsk",1850,8.6,8.4
45,"Wrzeszcz, Gdańsk",2087,8.9,9.7
46,"Centrum, Gdańsk",2210,8.3,8.0
47,"Wrzeszcz, Gdańsk",2397,7.8,8.5
48,Gdańsk,3100,8.0,10.0
49,Gdańsk,4697,4.0,8.6
50,Gdańsk,3214,9.0,9.4
51,"Centrum, Gdańsk",4412,8.7,8.9
52,"Centrum, Gdańsk",5320,8.8,8.3
53,"Centrum, Gdańsk",3014,9.2,10.0
54,"Brzeźno, Gdańsk",3106,8.7,8.2
55,"Centrum, Gdańsk",2524,9.7,8.9
56,"Centrum, Gdańsk",5067,8.0,10.0
57,"Centrum, Gdańsk",3673,8.2,8.5
58,"Centrum, Gdańsk",5733,9.0,8.5
59,"Centrum, Gdańsk",1750,8.0,9.0
60,Gdańsk,2737,9.0,8.8
61,"Oliwa, Gdańsk",2951,9.5,10.0
62,"Centrum, Gdańsk",2085,8.8,8.1
63,"Jelitkowo, Gdańsk",4749,8.2,8.2
64,"Centrum, Gdańsk",2020,10.0,8.8
65,"Sobieszewo, Gdańsk",1546,7.9,9.3
66,Gdańsk,1999,8.2,8.8
67,"Wrzeszcz, Gdańsk",1165,8.9,9.4
68,"Wrzeszcz, Gdańsk",2615,9.2,9.1
69,"Centrum, Gdańsk",1338,6.8,9.6
70,"Centrum, Gdańsk",2858,8.7,8.6
71,"Centrum, Gdańsk",1268,9.0,8.1
72,Gdańsk,1328,8.5,9.5
73,Gdańsk,1552,9.0,8.5
74,"Brzeźno, Gdańsk",3471,10.0,9.0
75,Gdańsk,2975,8.1,10.0
76,"Wrzeszcz, Gdańsk",1149,8.1,8.8
77,"Wrzeszcz, Gdańsk",1015,9.0,9.5
78,"Brzeźno, Gdańsk",3500,7.6,9.2
79,"Centrum, Gdańsk",3254,7.7,9.1
80,Gdańsk,2613,9.0,9.2
81,"Centrum, Gdańsk",2550,8.8,9.1
82,"Centrum, Gdańsk",3037,7.5,9.4
83,"Centrum, Gdańsk",1350,9.2,8.7
84,"Oliwa, Gdańsk",1705,7.0,8.9
85,"Przymorze, Gdańsk",2530,9.1,8.5
86,Gdańsk,2218,6.1,10.0
87,"Centrum, Gdańsk",2475,9.5,9.0
88,"Centrum, Gdańsk",2737,9.0,8.8
89,"Wrzeszcz, Gdańsk",2083,7.9,8.3
90,"Centrum, Gdańsk",3288,4.0,8.4
91,"Centrum, Gdańsk",3948,9.8,9.5
92,Gdańsk,803,8.4,9.3
93,"Centrum, Gdańsk",2252,8.9,8.5
94,"Centrum, Gdańsk",2770,10.0,9.3
95,"Centrum, Gdańsk",3174,8.9,8.3
96,"Wrzeszcz, Gdańsk",2077,9.3,8.2
97,"Wrzeszcz, Gdańsk",1994,9.0,9.4
98,Gdańsk,2687,7.5,9.1
99,Gdańsk,3279,9.2,8.3
100,"Przymorze, Gdańsk",1525,9.1,10.0
101,Gdańsk,1273,8.9,9.4
102,"Wrzeszcz, Gdańsk",901,9.2,10.0
103,Gdańsk,2810,8.5,8.7
104,"Przymorze, Gdańsk",2530,7.7,9.0
105,"Centrum, Gdańsk",3635,8.7,10.0
106,"Wrzeszcz, Gdańsk",1373,8.5,10.0
107,"Wrzeszcz, Gdańsk",963,10.0,8.4
108,"Wrzeszcz, Gdańsk",3110,9.1,9.2
109,"Wrzeszcz, Gdańsk",1434,8.6,10.0
110,"Wrzeszcz, Gdańsk",2550,8.4,10.0
111,"Wrzeszcz, Gdańsk",1330,8.3,10.0
112,"Centrum, Gdańsk",1268,9.4,10.0
113,Gdańsk,1552,8.9,8.9
114,Gdańsk,1907,8.4,8.6
115,Gdańsk,2552,9.1,9.2
116,"Centrum, Gdańsk",3620,8.2,8.6
117,Gdańsk,1575,8.5,9.0
118,"Wrzeszcz, Gdańsk",3051,9.4,8.1
119,Gdańsk,875,9.3,9.6
120,"Centrum, Gdańsk",1552,6.0,8.3
121,"Jelitkowo, Gdańsk",4312,8.1,10.0
122,Gdańsk,831,9.5,9.1
123,Gdańsk,932,9.4,9.3
124,Gdańsk,2800,9.8,8.9
125,"Centrum, Gdańsk",2930,8.6,8.3
126,Gdańsk,1743,8.9,8.0
127,Gdańsk,843,9.2,9.8
128,"Centrum, Gdańsk",1552,9.7,8.9
129,Gdańsk,1575,8.5,8.9
130,"Jelitkowo, Gdańsk",3402,8.2,8.0
131,"Centrum, Gdańsk",2350,10.0,10.0
132,"Centrum, Gdańsk",2252,10.0,8.7
133,"Centrum, Gdańsk",3615,9.7,9.8
134,"Wrzeszcz, Gdańsk",2522,10.0,10.0
135,"Przymorze, Gdańsk",2421,8.8,9.8
136,"Centrum, Gdańsk",3309,8.6,8.0
137,"Sobieszewo, Gdańsk",2117,8.7,8.8
138,Gdańsk,2140,8.5,10.0
139,"Centrum, Gdańsk",2268,8.8,8.1
140,"Przymorze, Gdańsk",907,8.0,10.0
141,"Przymorze, Gdańsk",3093,9.3,9.3
142,"Centrum, Gdańsk",1793,8.3,8.0
143,"Wrzeszcz, Gdańsk",1669,8.0,9.5
144,"Wrzeszcz, Gdańsk",1183,7.5,8.8
145,"Centrum, Gdańsk",1782,8.7,9.2
146,Gdańsk,756,9.1,8.5
147,Gdańsk,2369,9.0,8.8
148,"Centrum, Gdańsk",2474,8.3,8.3
149,"Centrum, Gdańsk",3042,8.1,9.4
150,"Centrum, Gdańsk",2138,9.8,10.0
151,"Wrzeszcz, Gdańsk",3105,8.8,8.9
152,"Sobieszewo, Gdańsk",2823,8.9,9.2
153,"Przymorze, Gdańsk",2498,7.8,9.6
154,"Oliwa, Gdańsk",963,9.0,9.2
155,"Jelitkowo, Gdańsk",4169,8.5,9.8
156,"Centrum, Gdańsk",2600,9.6,9.0
157,"Przymorze, Gdańsk",1667,10.0,9.1
158,"Centrum, Gdańsk",3397,9.9,8.1
159,"Centrum, Gdańsk",3628,8.2,8.8
160,Gdańsk,2366,8.9,10.0
161,Gdańsk,932,8.5,9.3
162,"Centrum, Gdańsk",672,7.9,8.8
163,Gdańsk,1540,10.0,10.0
164,Gdańsk,1472,7.1,10.0
165,Gdańsk,885,9.2,8.3
166,"Centrum, Gdańsk",2770,4.0,9.2
167,"Centrum, Gdańsk",2463,8.0,8.3
168,Gdańsk,715,9.4,10.0
169,"Centrum, Gdańsk",1477,9.0,8.9
170,"Centrum, Gdańsk",1268,7.8,8.0
171,"Centrum, Gdańsk",2637,9.2,9.5
172,Gdańsk,2120,8.1,8.8
173,"Oliwa, Gdańsk",1890,9.0,8.1
174,"Centrum, Gdańsk",2677,7.8,9.6
175,"Centrum, Gdańsk",3660,8.4,8.7
176,Gdańsk,3028,9.4,9.0
177,"Wrzeszcz, Gdańsk",2815,10.0,9.1
178,"Centrum, Gdańsk",2800,8.8,9.5
179,"Przymorze, Gdańsk",4410,8.9,9.7
180,"Przymorze, Gdańsk",3410,9.5,8.5
