,City,Cost,Rating,Comfort
0,Hel,2675,8.2,8.3
1,Hel,973,8.7,8.5
2,Hel,2030,8.8,8.8
3,Hel,3202,8.4,8.3
4,Hel,1624,9.3,9.3
5,Hel,3234,9.1,8.9
6,Hel,5232,8.8,9.1
7,Hel,2339,8.5,8.9
8,Hel,3199,8.5,8.6
9,Hel,4774,10.0,10.0
10,Hel,2269,7.3,8.6
11,Hel,2114,9.1,9.0
12,Hel,4914,8.9,9.0
13,Hel,4262,9.2,9.3
14,Hel,3024,9.3,10.0
15,Hel,3762,10.0,8.5
16,Hel,2532,6.9,9.1
17,Hel,2247,8.8,8.0
18,Hel,3741,9.0,8.4
19,Hel,3724,8.4,8.1
20,Hel,4144,8.6,8.2
21,Hel,3285,8.2,8.8
22,Hel,5115,8.1,9.7
23,Hel,5276,8.2,10.0
24,Hel,4221,7.8,8.9
25,Hel,2751,8.8,8.4
26,Hel,3088,9.6,9.4
27,Hel,3750,9.5,9.7
28,Hel,9094,8.5,9.2
29,Hel,2339,8.7,9.1
30,Hel,4179,9.4,10.0
31,Hel,4628,9.6,9.8
32,Hel,4844,9.7,9.7
33,Hel,4071,8.9,10.0
34,Hel,5072,10.0,10.0
35,Hel,4774,9.5,9.2
36,Hel,4773,9.5,9.4
37,Hel,4733,10.0,8.8
38,Hel,2692,10.0,8.4
39,Hel,6461,8.0,8.7
40,Hel,4564,9.2,9.6
41,Hel,15414,9.1,9.4
42,Hel,5107,9.1,9.0
43,Hel,4646,8.6,10.0
44,Hel,4169,8.6,9.2
45,Hel,3004,9.3,9.1
46,Hel,4424,9.5,9.3
47,Hel,4799,8.9,8.8
