,City,Cost,Rating,Comfort
0,Jarosławiec,895,8.8,8.5
1,Jarosławiec,822,9.1,9.1
2,Jarosławiec,1408,8.9,9.0
3,Jarosławiec,1275,10.0,10.0
4,Jarosławiec,2824,8.9,9.2
5,Jarosławiec,912,8.4,8.4
6,Jarosławiec,2899,8.1,8.3
7,Jarosławiec,4818,8.6,8.6
8,Jarosławiec,6346,8.6,8.9
9,Jarosławiec,1415,8.0,8.0
10,Jarosławiec,1779,8.4,8.4
11,Jarosławiec,1310,9.3,9.5
12,Jarosławiec,4908,8.4,8.4
13,Jarosławiec,2483,9.1,8.9
14,Jarosławiec,1530,8.7,8.5
15,Jarosławiec,2553,8.2,8.1
16,Jarosławiec,2165,7.8,8.8
17,Jarosławiec,1418,8.9,9.0
18,Jarosławiec,2115,8.8,9.0
19,Jarosławiec,3729,9.2,8.5
20,Jarosławiec,2398,8.3,8.6
21,Jarosławiec,2080,8.8,8.7
22,Jarosławiec,1400,9.2,10.0
23,Jarosławiec,5195,9.0,9.0
24,Jarosławiec,1976,9.2,8.8
25,Jarosławiec,2535,9.0,8.8
26,Jarosławiec,1765,8.8,8.4
27,Jarosławiec,1025,8.2,8.7
28,Jarosławiec,2983,8.7,9.1
29,Jarosławiec,1765,8.6,9.1
30,Jarosławiec,2150,8.9,8.8
31,Jarosławiec,2115,9.1,9.4
32,Jarosławiec,2055,8.8,8.8
33,Jarosławiec,2019,9.4,9.2
34,Jarosławiec,1415,8.7,8.8
35,Jarosławiec,1779,9.3,9.3
36,Jarosławiec,3626,9.1,9.7
37,Jarosławiec,1732,8.0,9.4
38,Jarosławiec,2765,9.3,9.0
39,Jarosławiec,2794,9.6,9.2
40,Jarosławiec,2895,9.5,9.7
41,Jarosławiec,3755,8.6,9.5
42,Jarosławiec,2412,9.1,8.6
43,Jarosławiec,7103,9.6,8.7
44,Jarosławiec,4050,9.5,9.1
45,Jarosławiec,3851,8.0,9.1
46,Jarosławiec,2535,9.2,9.2
47,Jarosławiec,3432,9.2,10.0
48,Jarosławiec,3175,9.0,10.0
49,Jarosławiec,1765,9.0,9.1
50,Jarosławiec,4110,8.0,9.5
51,Jarosławiec,7042,8.0,8.3
52,Jarosławiec,4023,7.9,9.3
53,Jarosławiec,4443,8.8,8.5
54,Jarosławiec,5043,9.7,8.7
55,Jarosławiec,2010,9.2,9.5
56,Jarosławiec,3317,9.5,8.9
57,Jarosławiec,2120,8.7,9.5
58,Jarosławiec,2465,8.9,8.7
59,Jarosławiec,3235,9.6,8.8
60,Jarosławiec,1905,9.3,8.9
61,Jarosławiec,4178,9.2,9.6
62,Jarosławiec,2820,7.1,8.2
63,Jarosławiec,3290,9.1,8.8
64,Jarosławiec,2450,8.9,9.1
65,Jarosławiec,3485,8.8,9.5
66,Jarosławiec,1279,9.7,10.0
67,Jarosławiec,2670,8.1,8.9
68,Jarosławiec,2139,9.5,9.6
69,Jarosławiec,2040,9.5,8.9
70,Jarosławiec,2863,9.5,9.2
71,Jarosławiec,2120,10.0,8.6
72,Jarosławiec,2956,9.0,9.3
73,Jarosławiec,2465,9.7,9.1
74,Jarosławiec,3060,8.8,8.6
75,Jarosławiec,2506,7.0,9.7
76,Jarosławiec,2470,8.8,9.8
77,Jarosławiec,3220,8.5,9.6
78,Jarosławiec,1700,8.6,9.1
79,Jarosławiec,5781,9.3,9.4
80,Jarosławiec,5781,8.7,9.3
81,Jarosławiec,6346,9.7,8.0
82,Jarosławiec,6346,9.7,8.8
83,Jarosławiec,6346,8.9,8.3
84,Jarosławiec,4735,9.1,8.7
85,Jarosławiec,3880,9.2,8.9
86,Jarosławiec,4859,8.0,8.8
87,Jarosławiec,4321,9.5,8.2
88,Jarosławiec,4859,8.6,8.6
89,Jarosławiec,6997,8.7,8.5
90,Jarosławiec,5620,9.0,9.4
91,Jarosławiec,11686,8.7,9.2
92,Jarosławiec,2820,7.9,9.1
93,Jarosławiec,3609,9.1,8.0
