,City,Cost,Rating,Comfort
0,Jastrzębia Góra,2231,8.8,8.6
1,Jastrzębia Góra,9615,8.9,9.3
2,Jastrzębia Góra,1174,9.4,9.2
3,Jastrzębia Góra,824,9.1,9.1
4,Jastrzębia Góra,991,7.7,9.1
5,Jastrzębia Góra,1541,9.2,9.0
6,Jastrzębia Góra,980,8.8,9.6
7,Jastrzębia Góra,1468,9.4,9.1
8,Jastrzębia Góra,2769,9.1,9.3
9,Jastrzębia Góra,1759,9.4,8.5
10,Jastrzębia Góra,2576,8.9,8.7
11,Jastrzębia Góra,1139,8.9,8.2
12,Jastrzębia Góra,1143,8.4,9.0
13,Jastrzębia Góra,2124,9.1,8.2
14,Jastrzębia Góra,3906,8.4,8.9
15,Jastrzębia Góra,911,9.1,8.1
16,Jastrzębia Góra,840,8.5,8.3
17,Jastrzębia Góra,1979,8.6,8.3
18,Jastrzębia Góra,749,8.4,9.4
19,Jastrzębia Góra,1629,8.5,8.7
20,Jastrzębia Góra,955,8.8,8.9
21,Jastrzębia Góra,2873,8.7,10.0
22,Jastrzębia Góra,1411,8.0,8.9
23,Jastrzębia Góra,2867,10.0,9.5
24,Jastrzębia Góra,2751,9.2,9.1
25,Jastrzębia Góra,1692,9.4,9.4
26,Jastrzębia Góra,1643,9.1,9.1
27,Jastrzębia Góra,2968,9.3,9.2
28,Jastrzębia Góra,1842,9.1,8.7
29,Jastrzębia Góra,1671,9.3,9.2
30,Jastrzębia Góra,1199,8.6,8.2
31,Jastrzębia Góra,1142,9.3,9.5
32,Jastrzębia Góra,1162,8.4,8.6
33,Jastrzębia Góra,3587,9.5,10.0
34,Jastrzębia Góra,999,8.7,9.5
35,Jastrzębia Góra,4336,10.0,9.3
36,Jastrzębia Góra,1554,9.6,8.7
37,Jastrzębia Góra,3479,7.7,9.2
38,Jastrzębia Góra,1434,9.1,9.4
39,Jastrzębia Góra,1789,8.8,8.3
40,Jastrzębia Góra,2399,3.1,9.1
41,Jastrzębia Góra,1554,9.3,8.8
42,Jastrzębia Góra,663,9.3,9.1
43,Jastrzębia Góra,2394,8.6,8.0
44,Jastrzębia Góra,1764,7.9,10.0
45,Jastrzębia Góra,1279,9.2,9.5
46,Jastrzębia Góra,928,9.0,10.0
47,Jastrzębia Góra,2590,8.1,9.0
48,Jastrzębia Góra,1629,8.8,8.8
49,Jastrzębia Góra,2290,8.1,8.6
50,Jastrzębia Góra,3850,10.0,9.6
51,Jastrzębia Góra,1143,9.4,9.4
52,Jastrzębia Góra,1488,9.9,8.0
53,Jastrzębia Góra,3127,8.8,9.1
54,Jastrzębia Góra,1754,9.1,8.4
55,Jastrzębia Góra,1951,9.0,9.4
56,Jastrzębia Góra,859,9.5,9.7
57,Jastrzębia Góra,1177,9.3,10.0
58,Jastrzębia Góra,1279,7.8,9.1
