,City,Cost,Rating,Comfort
0,Międzyzdroje,4676,8.6,8.9
1,Międzyzdroje,1148,8.4,8.4
2,Międzyzdroje,2290,8.1,8.2
3,Międzyzdroje,3131,7.7,8.5
4,Międzyzdroje,2338,8.5,9.5
5,Międzyzdroje,1697,6.6,10.0
6,Międzyzdroje,1028,9.4,10.0
7,Międzyzdroje,2338,9.8,8.0
8,Międzyzdroje,3253,7.2,9.4
9,Międzyzdroje,3100,9.7,9.0
10,Międzyzdroje,2822,7.4,8.5
11,Międzyzdroje,1623,8.1,8.8
12,Międzyzdroje,4444,9.1,8.9
13,Międzyzdroje,4653,8.0,8.1
14,Międzyzdroje,4150,9.0,8.7
15,Międzyzdroje,3140,7.3,9.1
16,Międzyzdroje,3527,6.4,9.3
17,Międzyzdroje,2792,8.6,8.5
18,Międzyzdroje,1099,6.6,9.0
19,Międzyzdroje,1379,10.0,8.7
20,Międzyzdroje,3304,9.0,9.0
21,Międzyzdroje,1764,7.9,8.5
22,Międzyzdroje,1750,8.8,8.4
23,Międzyzdroje,3180,9.1,9.3
24,Międzyzdroje,1761,9.0,8.8
25,Międzyzdroje,3374,8.7,8.8
26,Międzyzdroje,1974,9.0,9.0
27,Międzyzdroje,2566,8.6,9.0
28,Międzyzdroje,2050,8.8,8.2
29,Międzyzdroje,2550,6.3,8.9
30,Międzyzdroje,2096,8.1,9.1
31,Międzyzdroje,1630,8.7,9.1
32,Międzyzdroje,2746,8.3,8.8
33,Międzyzdroje,4104,9.2,8.7
34,Międzyzdroje,2009,8.5,8.1
35,Międzyzdroje,2330,8.9,8.1
36,Międzyzdroje,2467,9.0,8.3
37,Międzyzdroje,1969,9.3,10.0
38,Międzyzdroje,1505,8.6,8.2
39,Międzyzdroje,1365,7.8,9.1
40,Międzyzdroje,2328,9.0,8.3
41,Międzyzdroje,4098,9.1,9.5
42,Międzyzdroje,1204,9.0,8.3
43,Międzyzdroje,2161,8.8,9.5
44,Międzyzdroje,1834,8.4,8.6
45,Międzyzdroje,4756,8.0,9.2
46,Międzyzdroje,1799,8.4,8.5
47,Międzyzdroje,4570,8.2,9.7
48,Międzyzdroje,1907,10.0,9.3
49,Międzyzdroje,4224,8.3,9.3
50,Międzyzdroje,1135,8.2,8.8
51,Międzyzdroje,5026,8.4,8.8
52,Międzyzdroje,1414,6.5,8.8
53,Międzyzdroje,1889,9.3,9.2
54,Międzyzdroje,2601,8.0,9.3
55,Międzyzdroje,1734,9.8,8.6
56,Międzyzdroje,8386,6.6,9.1
57,Międzyzdroje,8980,8.6,8.5
58,Międzyzdroje,4082,8.8,8.5
59,Międzyzdroje,8273,8.4,8.1
60,Międzyzdroje,3565,9.5,9.1
61,Międzyzdroje,8386,9.1,8.1
62,Międzyzdroje,4425,9.3,8.9
63,Międzyzdroje,4336,8.6,9.4
64,Międzyzdroje,9180,8.6,8.1
65,Międzyzdroje,5620,8.8,8.2
66,Międzyzdroje,2945,9.0,8.7
67,Międzyzdroje,4260,9.3,9.7
68,Międzyzdroje,3485,8.9,9.4
69,Międzyzdroje,3540,9.0,8.4
70,Międzyzdroje,4343,7.5,8.3
71,Międzyzdroje,2400,8.6,9.1
72,Międzyzdroje,2496,8.6,9.3
73,Międzyzdroje,1764,7.9,8.8
74,Międzyzdroje,6152,7.9,8.2
75,Międzyzdroje,2883,9.0,8.8
76,Międzyzdroje,4120,8.0,9.3
77,Międzyzdroje,5680,8.2,8.3
78,Międzyzdroje,4033,9.0,8.5
79,Międzyzdroje,1260,9.2,8.8
80,Międzyzdroje,2138,8.4,8.5
81,Międzyzdroje,4324,8.5,9.0
82,Międzyzdroje,2678,8.6,8.6
83,Międzyzdroje,1764,9.4,8.4
84,Międzyzdroje,2519,9.2,9.8
85,Międzyzdroje,1280,8.1,9.7
86,Międzyzdroje,3447,7.3,9.3
87,Międzyzdroje,2967,8.2,8.2
88,Międzyzdroje,2611,7.6,8.5
89,Międzyzdroje,3840,8.9,8.3
90,Międzyzdroje,2112,7.6,8.0
91,Międzyzdroje,1840,9.0,8.8
92,Międzyzdroje,4178,7.5,9.1
93,Międzyzdroje,4464,8.7,8.4
94,Międzyzdroje,2142,8.2,8.6
95,Międzyzdroje,2240,7.6,9.6
96,Międzyzdroje,3259,8.8,10.0
97,Międzyzdroje,3518,9.2,10.0
98,Międzyzdroje,2762,8.4,9.2
99,Międzyzdroje,3170,8.7,9.3
100,Międzyzdroje,3514,9.5,9.1
101,Międzyzdroje,2855,8.5,9.4
102,Międzyzdroje,3910,7.6,9.4
103,Międzyzdroje,4167,9.0,9.8
104,Międzyzdroje,2333,5.7,8.5
105,Międzyzdroje,2185,8.3,9.2
106,Międzyzdroje,3134,8.9,9.5
107,Międzyzdroje,2125,7.2,9.7
108,Międzyzdroje,2328,8.4,8.8
109,Międzyzdroje,3999,9.6,9.0
110,Międzyzdroje,1785,8.1,8.6
111,Międzyzdroje,2814,9.6,9.9
112,Międzyzdroje,3955,9.2,9.5
113,Międzyzdroje,1768,7.9,9.6
114,Międzyzdroje,4010,7.6,8.7
115,Międzyzdroje,4070,7.8,9.3
116,Międzyzdroje,1974,7.4,9.2
117,Międzyzdroje,5490,7.9,8.8
118,Międzyzdroje,5437,8.3,8.5
119,Międzyzdroje,8106,8.5,8.4
120,Międzyzdroje,4399,8.5,9.3
121,Międzyzdroje,4815,8.4,9.1
122,Międzyzdroje,5166,9.0,8.6
123,Międzyzdroje,3298,8.1,9.2
124,Międzyzdroje,3660,9.4,8.3
125,Międzyzdroje,1885,10.0,9.0
126,Międzyzdroje,5333,9.7,8.6
127,Międzyzdroje,2310,9.1,8.9
128,Międzyzdroje,3075,9.1,10.0
129,Międzyzdroje,3410,8.7,8.9
130,Międzyzdroje,4220,9.1,8.8
131,Międzyzdroje,6332,9.5,8.6
132,Międzyzdroje,5161,9.6,8.9
133,Międzyzdroje,6235,8.4,8.3
134,Międzyzdroje,4722,9.0,8.8
135,Międzyzdroje,4722,9.4,8.8
136,Międzyzdroje,4722,9.4,9.1
137,Międzyzdroje,4722,8.2,8.4
138,Międzyzdroje,5058,9.1,9.4
139,Międzyzdroje,4374,8.3,8.8
140,Międzyzdroje,5849,9.5,8.9
141,Międzyzdroje,3932,9.2,8.7
142,Międzyzdroje,6362,9.2,10.0
143,Międzyzdroje,9421,8.7,8.3
144,Międzyzdroje,3662,9.2,10.0
145,Międzyzdroje,4953,7.5,10.0
146,Międzyzdroje,4132,9.1,10.0
147,Międzyzdroje,8351,8.5,10.0
148,Międzyzdroje,6071,5.3,10.0
149,Międzyzdroje,4440,7.4,10.0
150,Międzyzdroje,3610,8.7,10.0
151,Międzyzdroje,9487,8.0,10.0
152,Międzyzdroje,4900,9.2,10.0
153,Międzyzdroje,4550,9.0,10.0
154,Międzyzdroje,2276,8.1,9.8
155,Międzyzdroje,2801,8.6,8.5
156,Międzyzdroje,3864,8.1,10.0
157,Międzyzdroje,6815,9.1,9.3
158,Międzyzdroje,3629,8.4,9.8
159,Międzyzdroje,3504,7.1,10.0
160,Międzyzdroje,4815,7.6,9.5
161,Międzyzdroje,5022,8.9,8.8
162,Międzyzdroje,3252,5.9,9.9
163,Międzyzdroje,6670,7.9,9.5
