,City,Cost,Rating,Comfort
0,Rewal,1466,8.4,8.4
1,Rewal,2048,8.1,8.3
2,Rewal,1150,8.6,8.0
3,Rewal,2093,8.0,9.1
4,Rewal,1068,7.7,8.7
5,Rewal,1801,9.1,8.8
6,Rewal,2324,7.6,9.2
7,Rewal,1879,8.9,8.1
8,Rewal,2268,8.7,9.1
9,Rewal,2644,9.3,10.0
10,Rewal,1408,8.2,9.1
11,Rewal,2748,9.0,8.8
12,Rewal,2541,9.0,8.7
13,Rewal,2328,8.0,8.9
14,Rewal,2534,9.1,9.0
15,Rewal,945,9.2,10.0
16,Rewal,2258,8.8,9.2
17,Rewal,3205,9.0,8.8
18,Rewal,2930,9.2,8.4
19,Rewal,3767,10.0,8.3
20,Rewal,3514,9.1,9.8
21,Rewal,1194,8.1,9.4
22,Rewal,3024,9.5,9.0
23,Rewal,4878,7.0,8.3
24,Rewal,1418,8.3,9.5
25,Rewal,1832,9.2,8.8
26,Rewal,2044,9.6,9.3
27,Rewal,1943,9.2,9.3
28,Rewal,1628,9.3,9.5
29,Rewal,2064,8.6,9.2
30,Rewal,1949,9.4,9.3
31,Rewal,8458,9.5,8.7
32,Rewal,3418,8.7,8.9
33,Rewal,6603,9.0,9.0
34,Rewal,4405,9.3,8.3
35,Rewal,5032,9.4,9.0
36,Rewal,7402,9.2,8.3
37,Rewal,1670,8.0,8.9
38,Rewal,1867,7.8,8.2
39,Rewal,3673,9.1,8.6
40,Rewal,2225,8.7,8.1
41,Rewal,5381,9.1,8.4
42,Rewal,1554,8.3,8.2
43,Rewal,2114,8.8,9.5
44,Rewal,1295,8.5,9.5
45,Rewal,1078,9.1,8.5
46,Rewal,2056,8.3,8.0
47,Rewal,2208,8.8,8.1
48,Rewal,3148,8.2,9.1
49,Rewal,1379,7.9,8.6
50,Rewal,2118,8.4,8.6
51,Rewal,1484,9.4,8.0
52,Rewal,1554,9.3,8.7
53,Rewal,1967,7.8,9.3
54,Rewal,2985,8.7,9.3
55,Rewal,3727,8.4,8.2
56,Rewal,1064,8.3,8.5
57,Rewal,1842,8.6,8.8
58,Rewal,1488,9.1,9.4
59,Rewal,1148,7.5,8.0
60,Rewal,1904,8.6,8.6
61,Rewal,2461,8.9,9.6
62,Rewal,3024,8.2,8.5
63,Rewal,1694,8.2,9.8
64,Rewal,1554,8.5,9.2
65,Rewal,1624,8.0,9.6
66,Rewal,2218,7.9,8.3
67,Rewal,1628,7.4,8.9
68,Rewal,3010,9.1,8.9
69,Rewal,1714,8.3,9.3
70,Rewal,1295,7.9,9.5
71,Rewal,8418,9.4,8.0
72,Rewal,1568,8.5,8.0
73,Rewal,1304,8.8,9.2
74,Rewal,2608,9.0,8.1
75,Rewal,1494,9.5,9.4
76,Rewal,2958,7.7,8.4
77,Rewal,4289,8.0,8.7
78,Rewal,2999,8.6,8.4
79,Rewal,3738,9.2,9.3
80,Rewal,3418,8.0,8.4
81,Rewal,1488,9.6,8.6
82,Rewal,7297,8.9,8.9
83,Rewal,6754,9.5,8.3
84,Rewal,5312,7.8,9.2
85,Rewal,4822,8.9,9.5
86,Rewal,4617,8.7,8.6
87,Rewal,6167,8.9,9.0
88,Rewal,4844,7.4,9.5
89,Rewal,2827,9.5,10.0
90,Rewal,3878,8.2,8.7
91,Rewal,3916,8.0,8.1
92,Rewal,4124,9.3,9.6
93,Rewal,3018,8.1,9.6
94,Rewal,1879,9.1,9.3
95,Rewal,3163,8.3,8.4
96,Rewal,2079,8.7,9.8
97,Rewal,4175,8.3,9.1
98,Rewal,4868,9.2,9.6
99,Rewal,5063,8.8,8.8
100,Rewal,3360,9.1,9.8
101,Rewal,1698,8.9,8.9
102,Rewal,1388,8.8,9.1
103,Rewal,2803,7.7,9.0
104,Rewal,3667,8.9,8.6
105,Rewal,2114,7.1,9.3
106,Rewal,3164,9.0,9.5
107,Rewal,3264,9.2,8.1
108,Rewal,2004,6.3,8.9
109,Rewal,2342,9.8,9.3
110,Rewal,2380,9.6,8.1
111,Rewal,5168,8.6,8.5
112,Rewal,5252,6.0,9.4
113,Rewal,11004,9.0,8.0
114,Rewal,4005,9.4,8.8
115,Rewal,5100,9.4,8.9
116,Rewal,10681,8.8,8.6
117,Rewal,5583,8.4,9.4
118,Rewal,7970,9.5,8.9
119,Rewal,4214,9.1,8.4
120,Rewal,6565,9.4,8.2
121,Rewal,6406,9.2,8.9
122,Rewal,6528,9.6,9.2
123,Rewal,7955,8.7,9.3
124,Rewal,6595,8.9,8.4
125,Rewal,5367,8.8,10.0
126,Rewal,3378,8.2,10.0
127,Rewal,3374,8.1,10.0
128,Rewal,3814,8.7,10.0
129,Rewal,4564,9.5,8.8
130,Rewal,4557,9.5,10.0
131,Rewal,1624,8.0,10.0
132,Rewal,5014,8.9,10.0
133,Rewal,5564,9.2,9.5
134,Rewal,4604,8.3,9.5
135,Rewal,3098,8.9,10.0
136,Rewal,3297,9.7,9.2
137,Rewal,4421,7.9,9.2
138,Rewal,2790,8.9,10.0
139,Rewal,2849,8.9,9.5
140,Rewal,4214,8.1,9.5
141,Rewal,2744,9.2,9.4
142,Rewal,3987,8.9,10.0
143,Rewal,2960,8.3,10.0
144,Rewal,4078,8.5,9.0
145,Rewal,2351,8.5,9.4
146,Rewal,2510,9.3,10.0
147,Rewal,2218,9.5,9.7
148,Rewal,3561,8.8,8.5
149,Rewal,3164,10.0,9.4
150,Rewal,3787,10.0,9.0
151,Rewal,3623,10.0,8.9
152,Rewal,2348,10.0,8.0
153,Rewal,5775,9.2,9.2
154,Rewal,4664,9.0,9.7
155,Rewal,3050,9.9,8.5
156,Rewal,3206,8.0,9.3
157,Rewal,10410,9.5,8.5
158,Rewal,3903,6.3,9.4
159,Rewal,4162,9.3,10.0
160,Rewal,2818,9.7,8.8
161,Rewal,1837,9.1,9.5
162,Rewal,1418,8.3,9.6
163,Rewal,4952,9.5,9.0
164,Rewal,9128,8.0,8.9
165,Rewal,9779,9.4,8.9
166,Rewal,8418,9.0,9.2
167,Rewal,7574,9.2,10.0
168,Rewal,7151,8.5,9.8
169,Rewal,5416,9.4,9.3
170,Rewal,5525,8.8,8.5
171,Rewal,5866,9.2,9.2
172,Rewal,5416,9.0,8.9
173,Rewal,7046,9.9,9.3
174,Rewal,7046,8.0,9.6
175,Rewal,4972,9.6,10.0
176,Rewal,6875,9.1,9.4
177,Rewal,9364,9.1,9.3
178,Rewal,5946,8.6,9.3
179,Rewal,10164,7.9,8.8
180,Rewal,9467,9.7,8.8
181,Rewal,7046,8.4,9.0
182,Rewal,5448,9.2,9.2
183,Rewal,7046,8.4,9.0
184,Rewal,7046,9.4,9.0
185,Rewal,5684,9.2,9.7
186,Rewal,5350,8.5,9.2
187,Rewal,3797,9.7,9.0
188,Rewal,1767,9.4,9.4
189,Rewal,6224,8.6,8.2
190,Rewal,4760,8.6,9.1
191,Rewal,5373,7.9,8.3
192,Rewal,1589,9.2,10.0
193,Rewal,4929,8.2,8.1
194,Rewal,4568,10.0,8.5
195,Rewal,4189,9.6,8.4
196,Rewal,3741,9.2,8.1
197,Rewal,6535,8.3,8.2
198,Rewal,5775,8.8,9.8
199,Rewal,5338,8.7,9.5
200,Rewal,4694,8.9,8.3
201,Rewal,5422,7.8,8.3
202,Rewal,4288,9.2,8.9
203,Rewal,7648,9.2,8.8
204,Rewal,5057,9.4,9.5
205,Rewal,4232,9.4,8.8
206,Rewal,5852,8.9,9.2
207,Rewal,3356,9.0,10.0
208,Rewal,4722,9.0,9.2
209,Rewal,4362,9.0,9.5
210,Rewal,5422,8.5,8.3
211,Rewal,5422,9.3,9.1
212,Rewal,5422,9.0,8.9
213,Rewal,5422,8.9,8.5
214,Rewal,5422,9.0,8.3
215,Rewal,5422,7.6,8.6
216,Rewal,5422,9.1,9.8
217,Rewal,5410,8.9,9.2
218,Rewal,3739,8.9,8.6
219,Rewal,5164,9.1,9.3
220,Rewal,5971,8.7,8.6
221,Rewal,4928,9.8,9.5
222,Rewal,5408,8.3,9.2
223,Rewal,7469,8.6,8.1
224,Rewal,7615,8.2,8.9
225,Rewal,4914,8.1,8.2
226,Rewal,8714,8.3,9.4
227,Rewal,5054,9.7,9.5
228,Rewal,6694,9.0,8.9
229,Rewal,5548,7.9,8.7
230,Rewal,5422,8.5,8.1
231,Rewal,4722,8.7,8.3
232,Rewal,5064,8.9,8.3
233,Rewal,4725,9.2,8.7
234,Rewal,3864,8.7,8.0
235,Rewal,3514,8.7,8.9
