,City,Cost,Rating,Comfort
0,Stegna,1411,7.8,8.8
1,Stegna,1276,9.1,9.8
2,Stegna,2020,9.6,10.0
3,Stegna,3765,9.3,8.6
4,Stegna,1252,8.8,8.4
5,Stegna,1210,8.6,9.8
6,Stegna,1276,9.7,9.4
7,Stegna,771,9.2,8.5
8,Stegna,853,8.9,9.3
9,Stegna,2240,9.3,8.6
10,Stegna,1833,8.9,9.4
11,Stegna,3323,7.9,9.7
12,Stegna,869,9.6,9.2
13,Stegna,1680,9.6,8.4
14,Stegna,2660,9.2,8.5
15,Stegna,1556,8.9,8.1
16,Stegna,1623,7.6,8.8
17,Stegna,2743,8.8,8.6
18,Stegna,1823,8.1,9.6
19,Stegna,3465,8.8,8.2
20,Stegna,1553,8.7,9.6
21,Stegna,1063,9.5,8.6
22,Stegna,3420,8.1,8.9
23,Stegna,2660,8.4,9.3
24,Stegna,1357,9.7,10.0
25,Stegna,3047,8.8,8.5
26,Stegna,1246,9.6,9.1
27,Stegna,1273,9.5,8.1
28,Stegna,2756,9.7,8.2
29,Stegna,3323,8.8,8.0
30,Stegna,1298,9.1,9.7
31,Stegna,1763,8.1,9.3
32,Stegna,5998,8.5,9.0
33,Stegna,1823,8.2,9.0
34,Stegna,2650,9.7,9.1
35,Stegna,3465,7.8,10.0
36,Stegna,3624,9.2,10.0
37,Stegna,2911,9.2,9.0
38,Stegna,2590,8.9,9.5
39,Stegna,1903,9.1,8.6
40,Stegna,1273,9.8,9.2
41,Stegna,3251,9.8,9.8
42,Stegna,1854,9.0,8.6
43,Stegna,1826,9.4,9.4
44,Stegna,2044,8.2,9.6
45,Stegna,2726,9.3,10.0
46,Stegna,3844,7.6,10.0
47,Stegna,4164,9.4,10.0
48,Stegna,1956,8.7,9.5
49,Stegna,2951,9.5,8.5
50,Stegna,2232,7.0,9.0
51,Stegna,1973,5.0,8.2
52,Stegna,3433,9.5,8.8
53,Stegna,851,9.3,8.8
54,Stegna,3420,10.0,10.0
55,Stegna,1413,10.0,8.3
56,Stegna,2768,9.7,10.0
57,Stegna,2414,8.8,9.2
58,Stegna,4712,8.6,9.3
59,Stegna,2414,8.2,9.6
60,Stegna,2660,9.2,9.0
61,Stegna,4999,9.2,9.6
62,Stegna,3513,7.8,8.2
63,Stegna,3379,7.0,9.6
64,Stegna,4363,10.0,10.0
65,Stegna,3646,8.7,8.9
66,Stegna,3933,9.7,9.5
67,Stegna,1473,9.2,9.1
68,Stegna,3233,1.0,8.0
69,Stegna,2450,9.3,9.6
70,Stegna,1413,9.7,8.7
71,Stegna,2813,9.1,8.6
72,Stegna,3005,9.4,9.1
73,Stegna,1973,8.4,8.3
74,Stegna,4084,9.2,8.6
75,Stegna,3568,10.0,9.2
76,Stegna,2423,8.8,8.2
77,Stegna,3780,9.2,9.2
78,Stegna,6544,8.9,9.3
79,Stegna,1441,8.4,9.6
80,Stegna,4213,9.4,9.0
81,Stegna,5824,8.9,9.6
82,Stegna,6247,8.8,8.2
83,Stegna,3513,8.9,9.6
84,Stegna,5753,8.4,10.0
85,Stegna,3047,8.9,8.9
86,Stegna,3553,9.3,9.5
87,Stegna,3664,8.6,9.1
88,Stegna,4217,9.2,8.0
89,Stegna,4284,1.0,9.6
90,Stegna,4563,9.3,8.7
91,Stegna,4003,9.7,8.6
92,Stegna,2988,9.1,9.1
93,Stegna,4283,9.4,8.3
94,Stegna,2520,8.4,8.6
95,Stegna,4974,9.2,9.2
96,Stegna,4375,10.0,8.2
