,City,Cost,Rating,Comfort
0,Trzęsacz,2758,9.2,9.5
1,Trzęsacz,4480,10.0,10.0
2,Trzęsacz,1681,8.1,10.0
3,Trzęsacz,2970,10.0,8.4
4,Trzęsacz,1323,8.3,8.3
5,Trzęsacz,2060,8.5,9.5
6,Trzęsacz,1773,9.6,8.2
7,Trzęsacz,3412,8.3,8.9
8,Trzęsacz,6580,9.0,9.3
9,Trzęsacz,2018,9.3,9.5
10,Trzęsacz,1928,9.4,8.5
11,Trzęsacz,3622,8.7,10.0
12,Trzęsacz,2397,10.0,8.9
13,Trzęsacz,2520,9.0,8.8
14,Trzęsacz,2556,9.0,9.6
15,Trzęsacz,3290,9.3,9.3
16,Trzęsacz,3797,9.3,9.4
17,Trzęsacz,4550,9.3,10.0
18,Trzęsacz,4917,9.5,8.5
19,Trzęsacz,2993,7.9,8.3
20,Trzęsacz,2550,8.7,9.6
21,Trzęsacz,4608,8.5,9.1
22,Trzęsacz,4780,9.3,10.0
23,Trzęsacz,4165,9.5,8.3
24,Trzęsacz,3500,10.0,9.8
25,Trzęsacz,3150,8.7,9.4
26,Trzęsacz,5600,9.5,9.2
27,Trzęsacz,7700,9.5,8.5
28,Trzęsacz,4839,9.1,9.4
