,City,Cost,Rating,Comfort
0,Łeba,3881,10.0,10.0
1,Łeba,1317,8.9,8.8
2,Łeba,2345,9.6,9.5
3,Łeba,977,9.1,9.0
4,Łeba,889,8.6,8.4
5,Łeba,1844,9.1,9.2
6,Łeba,1301,9.4,8.7
7,Łeba,1413,7.3,9.1
8,Łeba,811,9.2,9.1
9,Łeba,1224,9.0,8.5
10,Łeba,561,9.0,9.4
11,Łeba,713,7.3,9.2
12,Łeba,1203,9.2,8.5
13,Łeba,1019,8.0,9.4
14,Łeba,3790,9.2,9.0
15,Łeba,4143,8.9,8.8
16,Łeba,2058,9.4,8.4
17,Łeba,1343,9.0,8.1
18,Łeba,1833,9.1,9.4
19,Łeba,823,8.6,8.5
20,Łeba,1393,8.2,9.1
21,Łeba,1729,9.3,9.9
22,Łeba,1614,8.2,9.0
23,Łeba,2113,8.9,9.4
24,Łeba,923,8.0,8.9
25,Łeba,1364,9.3,8.7
26,Łeba,1500,9.9,8.7
27,Łeba,1155,9.0,9.3
28,Łeba,1834,9.2,9.1
29,Łeba,3762,9.1,8.9
30,Łeba,854,8.8,9.0
31,Łeba,1077,8.1,8.9
32,Łeba,1658,8.1,8.5
33,Łeba,2377,8.9,8.2
34,Łeba,1806,9.4,9.4
35,Łeba,1274,7.4,8.8
36,Łeba,931,8.9,10.0
37,Łeba,1866,8.9,8.7
38,Łeba,1163,9.2,8.4
39,Łeba,2276,9.0,9.2
40,Łeba,8319,8.7,9.5
41,Łeba,983,8.3,9.3
42,Łeba,3080,9.3,8.7
43,Łeba,1769,8.7,8.6
44,Łeba,1580,6.8,9.2
45,Łeba,1532,9.7,8.4
46,Łeba,3933,9.0,9.0
47,Łeba,713,8.5,10.0
48,Łeba,1225,9.2,8.7
49,Łeba,1775,9.6,8.6
50,Łeba,1553,9.3,9.1
51,Łeba,2075,8.9,8.0
52,Łeba,1447,8.7,8.6
53,Łeba,1810,6.4,9.0
54,Łeba,3874,9.2,10.0
55,Łeba,1414,8.3,9.1
56,Łeba,1884,9.2,9.7
57,Łeba,1943,9.5,8.7
58,Łeba,1190,9.0,9.3
59,Łeba,1798,8.8,8.2
60,Łeba,1628,9.0,9.6
61,Łeba,1260,8.3,9.6
62,Łeba,1413,8.3,9.9
63,Łeba,1693,9.1,9.3
64,Łeba,1381,10.0,9.3
65,Łeba,1242,5.6,8.8
66,Łeba,1679,9.1,9.8
67,Łeba,1100,9.7,8.3
68,Łeba,1553,8.9,8.7
69,Łeba,1553,9.2,8.9
70,Łeba,3863,8.2,9.2
71,Łeba,1698,9.1,8.8
72,Łeba,1147,9.7,8.3
73,Łeba,3027,9.5,9.0
74,Łeba,4884,9.3,8.5
75,Łeba,2912,9.1,9.1
76,Łeba,3233,8.9,9.5
77,Łeba,4456,9.8,9.6
78,Łeba,6245,8.4,8.9
79,Łeba,3164,8.7,9.3
80,Łeba,5057,9.0,8.4
81,Łeba,3934,9.4,8.3
82,Łeba,2933,8.8,8.2
83,Łeba,1540,7.9,8.8
84,Łeba,2692,8.6,8.1
85,Łeba,1343,9.3,9.2
86,Łeba,1617,8.9,8.8
87,Łeba,923,9.0,9.1
88,Łeba,1729,9.6,8.2
89,Łeba,1593,9.2,8.3
90,Łeba,1614,6.8,9.3
91,Łeba,1798,9.0,9.4
92,Łeba,4908,9.0,9.7
93,Łeba,1374,8.3,9.5
94,Łeba,1357,7.4,8.8
95,Łeba,1684,7.2,8.9
96,Łeba,2422,8.5,8.7
97,Łeba,2439,8.6,9.1
98,Łeba,1836,7.5,9.4
99,Łeba,1960,8.9,9.8
100,Łeba,1974,8.1,8.9
101,Łeba,1378,9.3,8.3
102,Łeba,3919,9.1,8.2
103,Łeba,1381,8.6,8.7
104,Łeba,3037,8.4,9.1
105,Łeba,1201,8.7,9.2
106,Łeba,5809,9.3,9.6
107,Łeba,2147,9.3,8.8
108,Łeba,1843,9.3,9.0
109,Łeba,1828,7.5,8.5
110,Łeba,1799,9.6,8.8
111,Łeba,1693,9.0,9.6
112,Łeba,1414,9.1,8.6
113,Łeba,1378,8.5,9.2
114,Łeba,1553,9.1,8.9
115,Łeba,1733,7.0,9.6
116,Łeba,1834,9.5,9.4
117,Łeba,2073,9.6,9.5
118,Łeba,1168,8.8,8.6
119,Łeba,2373,8.3,9.3
120,Łeba,2912,8.0,8.5
121,Łeba,3163,8.1,9.2
122,Łeba,1273,8.9,8.3
123,Łeba,748,9.1,9.1
124,Łeba,3933,9.4,10.0
125,Łeba,1763,9.5,8.9
126,Łeba,1974,8.8,9.5
127,Łeba,2107,9.1,8.9
128,Łeba,1343,9.0,8.8
129,Łeba,1314,7.9,8.9
130,Łeba,2832,8.5,8.8
131,Łeba,1413,9.3,9.2
132,Łeba,3343,9.4,8.1
133,Łeba,1260,9.4,9.5
134,Łeba,1777,8.9,9.3
135,Łeba,1904,9.6,8.0
136,Łeba,1170,9.2,8.0
137,Łeba,1484,9.3,8.7
138,Łeba,2793,8.9,9.0
139,Łeba,1903,7.5,9.4
140,Łeba,4821,9.1,9.2
141,Łeba,3040,8.0,9.2
142,Łeba,8184,8.7,9.8
143,Łeba,5907,9.2,9.2
144,Łeba,2471,8.1,9.2
145,Łeba,1945,9.1,9.2
146,Łeba,2175,9.9,9.2
147,Łeba,3700,9.2,9.3
148,Łeba,6413,9.5,8.8
149,Łeba,3273,9.0,9.2
150,Łeba,1644,8.3,8.8
151,Łeba,6453,8.7,8.5
152,Łeba,2190,8.9,8.9
153,Łeba,2100,9.0,9.7
154,Łeba,1969,8.4,10.0
155,Łeba,1974,9.3,8.5
156,Łeba,4608,8.0,8.6
157,Łeba,1498,9.3,8.6
158,Łeba,1664,8.2,9.5
159,Łeba,1413,5.9,10.0
160,Łeba,1112,8.6,9.9
161,Łeba,842,8.6,9.7
162,Łeba,1135,7.4,10.0
163,Łeba,994,8.9,9.9
164,Łeba,902,9.1,8.8
165,Łeba,1569,9.2,9.6
166,Łeba,1190,9.6,9.4
167,Łeba,963,9.5,8.8
168,Łeba,1551,9.3,8.8
169,Łeba,1133,9.2,9.7
170,Łeba,1400,9.6,10.0
171,Łeba,5421,9.2,10.0
172,Łeba,1764,9.2,9.6
173,Łeba,2800,9.2,8.1
174,Łeba,3473,9.0,9.0
175,Łeba,1974,7.6,8.8
176,Łeba,1053,9.1,8.9
177,Łeba,1345,8.7,9.6
178,Łeba,1583,9.3,9.3
179,Łeba,2113,9.5,9.8
180,Łeba,1344,9.8,8.8
181,Łeba,1590,8.4,9.4
182,Łeba,980,8.7,8.9
183,Łeba,2561,9.2,9.3
184,Łeba,2113,9.5,8.3
185,Łeba,3653,10.0,9.2
186,Łeba,1133,9.6,9.6
187,Łeba,2323,5.2,9.0
188,Łeba,2393,9.4,9.7
189,Łeba,4003,10.0,8.4
190,Łeba,6313,9.7,9.6
191,Łeba,5520,9.0,9.5
192,Łeba,1147,9.5,9.7
193,Łeba,1620,9.0,8.8
194,Łeba,4214,9.3,9.9
195,Łeba,1716,9.0,9.8
196,Łeba,2013,7.9,9.0
197,Łeba,4913,9.5,9.2
198,Łeba,3306,9.5,8.7
199,Łeba,3653,5.0,8.8
200,Łeba,4358,8.5,8.5
201,Łeba,14882,9.5,8.3
202,Łeba,2848,9.0,9.6
203,Łeba,4358,9.1,8.7
204,Łeba,3309,8.7,9.2
205,Łeba,2743,8.9,9.5
206,Łeba,4214,9.4,9.4
207,Łeba,3275,6.5,8.9
208,Łeba,4213,9.1,8.8
209,Łeba,4704,9.6,8.9
210,Łeba,3787,9.1,8.8
211,Łeba,1938,9.5,8.1
212,Łeba,1553,8.3,9.4
213,Łeba,1525,9.3,8.5
214,Łeba,3387,8.3,9.5
215,Łeba,2264,9.3,8.9
216,Łeba,3914,9.6,9.0
217,Łeba,3863,9.0,9.4
218,Łeba,3093,9.6,9.7
219,Łeba,5347,8.4,9.5
220,Łeba,3233,9.6,9.1
221,Łeba,1666,9.4,9.7
222,Łeba,2973,9.5,8.4
223,Łeba,4620,9.0,9.7
224,Łeba,4245,9.8,8.5
225,Łeba,5197,8.8,8.6
226,Łeba,3303,9.3,9.3
227,Łeba,3163,9.6,9.8
228,Łeba,3513,8.9,8.9
229,Łeba,2813,9.0,9.7
230,Łeba,4900,8.6,8.8
231,Łeba,3850,8.3,8.3
232,Łeba,3850,9.5,8.8
233,Łeba,1500,9.2,8.9
234,Łeba,1840,9.4,10.0
235,Łeba,3163,7.7,9.9
236,Łeba,3393,9.5,9.1
237,Łeba,2247,8.0,9.3
238,Łeba,1421,9.3,10.0
239,Łeba,6013,9.2,8.9
240,Łeba,4914,8.9,8.5
241,Łeba,2113,8.8,10.0
242,Łeba,2779,7.9,10.0
243,Łeba,3653,9.0,10.0
244,Łeba,1471,8.3,10.0
245,Łeba,1382,9.3,10.0
246,Łeba,2021,8.7,8.8
247,Łeba,1788,9.5,10.0
248,Łeba,2405,9.0,9.4
249,Łeba,3563,8.1,9.2
250,Łeba,858,9.4,8.8
251,Łeba,1971,9.4,9.7
252,Łeba,1352,10.0,9.8
253,Łeba,1273,9.4,8.3
254,Łeba,1987,9.0,9.7
255,Łeba,2113,6.4,10.0
256,Łeba,1768,9.6,9.5
257,Łeba,2813,8.7,9.3
258,Łeba,4213,9.6,9.4
259,Łeba,3573,8.6,9.3
260,Łeba,4785,8.5,10.0
261,Łeba,3865,9.3,8.8
262,Łeba,3514,9.6,9.6
263,Łeba,1134,8.5,8.7
264,Łeba,1763,9.5,8.2
265,Łeba,3787,8.9,9.7
266,Łeba,1140,8.4,10.0
267,Łeba,1882,8.8,8.0
268,Łeba,1623,8.6,9.5
269,Łeba,2148,9.9,9.3
270,Łeba,1844,9.7,9.4
271,Łeba,1978,8.9,9.4
272,Łeba,7012,6.1,9.0
273,Łeba,2463,7.1,9.7
274,Łeba,3500,9.4,9.3
275,Łeba,2388,10.0,10.0
276,Łeba,1343,9.1,8.9
277,Łeba,2110,8.4,9.8
278,Łeba,1063,9.7,8.5
279,Łeba,4581,10.0,9.3
280,Łeba,2638,10.0,9.2
281,Łeba,1414,10.0,9.0
282,Łeba,1273,9.5,8.2
283,Łeba,1163,9.3,9.8
284,Łeba,1973,7.5,8.8
285,Łeba,2163,10.0,9.5
286,Łeba,6163,9.5,9.4
287,Łeba,1275,8.8,9.4
288,Łeba,3163,9.0,8.9
289,Łeba,4758,9.6,9.5
290,Łeba,1275,8.8,9.2
291,Łeba,1833,8.3,9.4
292,Łeba,6165,9.7,10.0
293,Łeba,2565,9.4,8.4
294,Łeba,5913,9.4,8.9
295,Łeba,3881,8.9,9.1
296,Łeba,3163,9.3,8.4
297,Łeba,4213,7.9,9.7
298,Łeba,1141,9.3,8.0
299,Łeba,1399,9.6,8.9
300,Łeba,2707,8.8,9.8
301,Łeba,4336,9.4,10.0
302,Łeba,2869,8.2,9.7
303,Łeba,3933,8.9,9.7
304,Łeba,4528,7.3,9.2
305,Łeba,2533,8.4,9.4
306,Łeba,4423,6.0,9.1
307,Łeba,4547,9.5,8.9
308,Łeba,2882,6.9,8.7
