,City,Cost,Rating,Comfort
0,Darłowo,1351,9.7,9.6
1,Darłowo,1565,8.2,8.2
2,Darłowo,1983,8.6,8.8
3,Darłowo,2130,9.0,8.9
4,Darłowo,3053,10.0,10.0
5,Darłowo,3052,9.2,9.0
6,Darłowo,1420,8.3,8.6
7,Darłowo,2025,8.5,8.6
8,Darłowo,1100,8.8,9.2
9,Darłowo,1305,9.3,9.5
10,Darłowo,3181,9.6,9.8
11,Darłowo,1640,9.0,9.3
12,Darłowo,4165,8.8,8.4
13,Darłowo,1682,9.5,9.3
14,Darłowo,1679,9.0,9.1
15,Darłowo,2253,8.8,8.8
16,Darłowo,2084,9.4,9.5
17,Darłowo,1150,9.1,8.9
18,Darłowo,1595,8.4,8.4
19,Darłowo,3144,8.8,9.6
20,Darłowo,961,9.3,8.8
21,Darłowo,1290,9.0,8.8
22,Darłowo,3139,9.5,9.2
23,Darłowo,3236,8.4,8.2
24,Darłowo,2967,9.8,9.8
25,Darłowo,1095,7.8,8.6
26,Darłowo,1332,8.7,9.7
27,Darłowo,1010,9.6,8.3
28,Darłowo,4094,7.3,8.2
29,Darłowo,3250,8.6,8.9
30,Darłowo,2484,8.2,9.0
31,Darłowo,2883,8.8,9.4
32,Darłowo,1010,9.2,8.3
33,Darłowo,2080,9.3,8.4
34,Darłowo,2400,8.6,9.1
35,Darłowo,1500,8.4,8.7
36,Darłowo,1150,9.0,9.3
37,Darłowo,2445,9.0,9.6
38,Darłowo,1507,9.2,8.0
39,Darłowo,4780,10.0,9.2
40,Darłowo,4013,9.1,9.0
41,Darłowo,1080,9.2,9.0
42,Darłowo,2424,9.2,9.5
43,Darłowo,1155,9.6,8.4
44,Darłowo,2985,9.4,8.6
45,Darłowo,2863,8.8,9.4
46,Darłowo,2130,8.6,9.7
47,Darłowo,1794,9.0,9.2
48,Darłowo,1010,9.0,8.6
49,Darłowo,1080,9.2,8.3
50,Darłowo,3732,9.1,8.8
51,Darłowo,4094,8.6,8.1
52,Darłowo,1150,9.0,9.4
53,Darłowo,2098,8.1,9.8
54,Darłowo,2230,9.5,9.6
55,Darłowo,3267,9.6,9.2
56,Darłowo,3573,9.4,8.8
57,Darłowo,948,9.4,9.0
58,Darłowo,2256,9.4,8.8
59,Darłowo,1585,9.0,9.7
60,Darłowo,4314,9.0,8.0
61,Darłowo,4230,8.0,8.6
62,Darłowo,3040,9.5,9.7
63,Darłowo,2480,8.4,9.0
64,Darłowo,2025,9.1,9.0
65,Darłowo,2635,9.6,8.7
66,Darłowo,870,8.8,9.4
67,Darłowo,2298,8.9,9.9
68,Darłowo,1768,9.2,8.4
69,Darłowo,2480,9.6,9.3
70,Darłowo,1780,9.8,9.6
71,Darłowo,3717,8.6,9.4
72,Darłowo,4720,9.3,9.3
73,Darłowo,2352,9.4,10.0
74,Darłowo,1794,9.5,10.0
75,Darłowo,2200,9.6,10.0
76,Darłowo,1512,10.0,10.0
77,Darłowo,3173,9.5,9.8
78,Darłowo,3250,10.0,8.4
79,Darłowo,1430,10.0,8.7
