,City,Cost,Rating,Comfort
0,Dębki,3333,9.0,10.0
1,Dębki,4222,9.4,10.0
2,Dębki,2542,10.0,10.0
3,Dębki,2914,10.0,8.4
4,Dębki,7418,8.9,8.6
5,Dębki,1807,8.0,9.0
6,Dębki,2135,8.7,8.7
7,Dębki,1960,9.1,8.6
8,Dębki,1680,8.6,10.0
9,Dębki,1405,8.7,8.7
10,Dębki,4235,10.0,9.2
11,Dębki,8422,8.9,8.9
12,Dębki,3275,7.9,9.3
13,Dębki,1352,9.2,8.5
14,Dębki,2335,9.1,9.4
15,Dębki,2262,8.9,9.0
16,Dębki,2824,8.8,8.6
17,Dębki,6609,7.7,8.1
18,Dębki,2038,9.3,8.5
19,Dębki,3536,9.1,8.4
20,Dębki,3495,9.1,9.4
21,Dębki,5272,8.7,9.4
22,Dębki,3662,6.2,8.6
23,Dębki,3564,8.9,8.1
24,Dębki,1342,8.4,9.5
25,Dębki,1772,9.4,10.0
26,Dębki,2420,9.5,9.4
27,Dębki,4572,8.7,9.8
28,Dębki,5285,8.4,10.0
29,Dębki,4235,9.6,8.3
30,Dębki,5235,10.0,9.3
31,Dębki,3630,9.3,8.4
32,Dębki,6882,9.6,10.0
33,Dębki,4925,10.0,8.7
34,Dębki,2030,8.7,9.4
35,Dębki,8422,9.3,8.2
