,City,Cost,Rating,Comfort
0,"Wzgórze Świętego Maksymiliana, Gdynia",2401,9.6,9.6
1,Gdynia,2607,10.0,10.0
2,Gdynia,1460,8.0,8.4
3,"Śródmieście, Gdynia",1801,8.4,9.1
4,Gdynia,2324,9.3,10.0
5,"Śródmieście, Gdynia",2199,10.0,9.0
6,"Śródmieście, Gdynia",4515,9.0,10.0
7,"Śródmieście, Gdynia",2198,10.0,8.3
8,Gdynia,1879,9.7,9.2
9,Gdynia,2411,9.2,9.0
10,"Wzgórze Świętego Maksymiliana, Gdynia",2113,9.1,8.1
11,"Wzgórze Świętego Maksymiliana, Gdynia",3096,8.4,10.0
12,Gdynia,1659,9.7,10.0
13,Gdynia,1911,8.0,10.0
14,Gdynia,1457,10.0,9.3
15,"Redłowo, Gdynia",1155,10.0,9.5
16,"Wzgórze Świętego Maksymiliana, Gdynia",1642,9.1,8.6
17,Gdynia,1221,9.4,10.0
18,"Wzgórze Świętego Maksymiliana, Gdynia",4231,8.7,10.0
19,Gdynia,2531,9.0,10.0
20,"Wzgórze Świętego Maksymiliana, Gdynia",3427,8.0,8.9
21,"Wzgórze Świętego Maksymiliana, Gdynia",2501,10.0,10.0
22,"Wzgórze Świętego Maksymiliana, Gdynia",2831,10.0,9.3
23,Gdynia,1606,10.0,8.3
24,Gdynia,4555,8.7,8.3
25,"Śródmieście, Gdynia",3558,10.0,8.8
26,"Śródmieście, Gdynia",2919,9.2,8.8
27,"Śródmieście, Gdynia",2080,8.3,8.1
28,"Redłowo, Gdynia",2699,8.4,8.5
29,"Śródmieście, Gdynia",1801,9.1,10.0
30,"Śródmieście, Gdynia",2831,9.0,8.6
31,Gdynia,1390,8.1,8.9
32,Gdynia,2831,8.6,9.6
33,"Redłowo, Gdynia",4850,10.0,8.8
34,"Śródmieście, Gdynia",3531,8.7,10.0
35,Gdynia,2324,8.8,10.0
36,Gdynia,3496,9.3,8.4
37,Gdynia,2001,9.0,9.5
38,"Śródmieście, Gdynia",3556,10.0,9.4
39,"Śródmieście, Gdynia",5131,10.0,8.1
40,Gdynia,2047,8.4,8.8
41,"Śródmieście, Gdynia",2858,9.4,9.1
42,Gdynia,1670,9.0,9.1
43,"Śródmieście, Gdynia",2131,8.1,9.8
44,Gdynia,2131,8.3,9.1
45,Gdynia,1427,9.0,10.0
46,Gdynia,1361,9.3,9.0
47,"Śródmieście, Gdynia",2972,9.3,9.4
48,"Kamienna Góra, Gdynia",2571,9.9,9.6
49,"Wzgórze Świętego Maksymiliana, Gdynia",2659,7.6,9.2
50,Gdynia,1894,9.2,10.0
51,"Śródmieście, Gdynia",1416,10.0,8.5
52,Gdynia,3137,9.3,9.2
53,"Śródmieście, Gdynia",2811,9.4,8.4
54,"Śródmieście, Gdynia",2199,9.1,8.5
55,Gdynia,2289,9.1,8.8
56,Gdynia,1748,9.0,9.1
57,Gdynia,2981,8.7,9.5
58,"Śródmieście, Gdynia",1400,9.0,8.6
59,"Kamienna Góra, Gdynia",2363,9.0,9.3
60,"Śródmieście, Gdynia",4515,8.3,8.2
61,Gdynia,1991,8.4,9.3
62,Gdynia,1697,9.2,8.8
63,Gdynia,2131,9.7,9.3
64,"Śródmieście, Gdynia",2173,9.2,8.5
65,"Śródmieście, Gdynia",4459,8.8,8.3
66,"Śródmieście, Gdynia",12031,9.3,10.0
67,Gdynia,2606,8.2,9.9
68,"Wzgórze Świętego Maksymiliana, Gdynia",4019,9.1,9.4
69,Gdynia,2173,8.6,8.8
70,"Orłowo, Gdynia",3505,9.3,10.0
71,Gdynia,3432,8.5,10.0
72,Gdynia,1731,7.8,9.7
73,"Śródmieście, Gdynia",4806,8.7,10.0
74,Gdynia,1920,10.0,9.9
75,Gdynia,2337,9.9,9.5
76,Gdynia,2411,9.6,8.2
77,"Śródmieście, Gdynia",7181,8.8,8.3
78,"Śródmieście, Gdynia",2738,10.0,8.8
79,"Śródmieście, Gdynia",2198,10.0,8.6
80,"Śródmieście, Gdynia",2876,9.5,10.0
81,Gdynia,1190,10.0,9.6
82,"Śródmieście, Gdynia",3391,9.9,8.8
83,"Kamienna Góra, Gdynia",2691,7.5,9.7
84,Gdynia,3981,9.7,10.0
85,Gdynia,1879,8.4,9.8
86,"Śródmieście, Gdynia",2594,7.7,8.5
87,"Wzgórze Świętego Maksymiliana, Gdynia",3644,8.2,9.8
88,"Śródmieście, Gdynia",3496,9.0,9.0
89,"Śródmieście, Gdynia",5054,8.6,9.0
90,Gdynia,2086,8.0,9.2
91,"Śródmieście, Gdynia",3517,8.8,8.1
92,Gdynia,1676,8.0,10.0
93,Gdynia,2271,8.0,9.0
94,"Wzgórze Świętego Maksymiliana, Gdynia",2104,9.6,8.4
95,"Śródmieście, Gdynia",3022,9.5,9.0
96,"Kamienna Góra, Gdynia",2832,9.5,9.9
97,"Śródmieście, Gdynia",2988,10.0,8.7
98,Gdynia,2481,7.3,9.6
99,"Śródmieście, Gdynia",2797,10.0,9.9
100,"Kamienna Góra, Gdynia",1935,8.6,9.8
101,Gdynia,2399,9.5,9.5
102,Gdynia,3703,9.0,10.0
103,Gdynia,3136,9.0,9.1
104,Gdynia,2411,9.0,8.0
105,"Śródmieście, Gdynia",3571,9.4,9.5
106,"Śródmieście, Gdynia",1633,7.9,8.8
107,Gdynia,3091,10.0,9.5
108,Gdynia,2582,9.0,8.1
109,"Śródmieście, Gdynia",5210,8.6,10.0
110,"Wzgórze Świętego Maksymiliana, Gdynia",2113,9.0,9.4
111,"Śródmieście, Gdynia",1614,9.3,8.0
112,Gdynia,1569,9.6,9.4
113,Gdynia,2292,8.4,8.7
114,Gdynia,2012,9.3,10.0
115,"Redłowo, Gdynia",2708,9.8,9.4
116,"Śródmieście, Gdynia",3331,9.6,9.8
117,Gdynia,2374,9.3,10.0
118,"Śródmieście, Gdynia",3497,10.0,9.1
119,"Śródmieście, Gdynia",3437,9.1,8.8
120,"Śródmieście, Gdynia",2790,8.0,9.5
121,"Wzgórze Świętego Maksymiliana, Gdynia",2741,9.5,9.1
122,Gdynia,2162,8.8,8.7
123,Gdynia,2960,9.5,10.0
124,Gdynia,3354,8.3,9.6
125,"Redłowo, Gdynia",2913,10.0,9.5
126,"Redłowo, Gdynia",1951,9.4,8.7
127,"Śródmieście, Gdynia",2600,8.1,8.8
