,City,Cost,Rating,Comfort
0,Karwia,1186,7.4,9.3
1,Karwia,1510,9.1,8.0
2,Karwia,2481,8.1,8.0
3,Karwia,1505,7.9,8.8
4,Karwia,2978,8.1,8.2
5,Karwia,1845,8.4,8.8
6,Karwia,1610,8.1,8.9
7,Karwia,2838,8.8,8.7
8,Karwia,1575,8.9,8.1
9,Karwia,2752,9.2,8.0
10,Karwia,1715,9.1,9.1
11,Karwia,2688,8.8,9.0
12,Karwia,1929,8.5,9.1
13,Karwia,2275,7.9,9.6
14,Karwia,3531,8.2,10.0
15,Karwia,2409,9.0,9.2
16,Karwia,3850,9.0,8.9
17,Karwia,2695,9.1,9.5
18,Karwia,2278,9.6,8.6
19,Karwia,2122,10.0,8.2
20,Karwia,2100,9.3,9.8
21,Karwia,2192,9.0,9.2
22,Karwia,2135,9.4,9.1
23,Karwia,1472,8.8,9.7
24,Karwia,1910,8.8,9.7
25,Karwia,2228,9.7,9.1
26,Karwia,2135,9.3,9.5
27,Karwia,1602,8.3,8.5
28,Karwia,2122,9.1,9.8
29,Karwia,3070,9.5,9.1
30,Karwia,2978,9.5,8.5
31,Karwia,1750,9.0,9.0
32,Karwia,3452,9.2,9.1
33,Karwia,1575,8.5,9.0
34,Karwia,5008,9.5,8.5
35,Karwia,3388,9.1,9.8
36,Karwia,2499,8.7,8.3
37,Karwia,1415,7.8,8.8
38,Karwia,1842,8.2,9.2
39,Karwia,3255,9.3,8.9
40,Karwia,2423,8.8,10.0
41,Karwia,1974,8.2,10.0
42,Karwia,3190,9.0,8.8
43,Karwia,2911,9.7,9.1
44,Karwia,2542,8.6,9.8
45,Karwia,2911,8.9,9.9
46,Karwia,2351,9.5,9.2
47,Karwia,3342,8.9,8.0
48,Karwia,5041,9.0,8.7
