,City,Cost,Rating,Comfort
0,Kopalino,4603,9.0,10.0
1,Kopalino,3700,9.3,9.2
2,Kopalino,1790,8.6,8.6
3,Kopalino,3294,8.7,8.5
4,Kopalino,1101,9.6,9.6
5,Kopalino,1330,9.3,9.0
6,Kopalino,3631,9.7,9.4
7,Kopalino,4981,9.3,9.5
8,Kopalino,7801,9.5,9.1
9,Kopalino,2961,8.6,8.7
10,Kopalino,3668,9.9,10.0
11,Kopalino,1750,9.4,9.5
12,Kopalino,3608,8.7,8.6
13,Kopalino,2901,9.5,9.6
14,Kopalino,4098,9.1,8.9
15,Kopalino,4063,9.3,9.2
16,Kopalino,3235,7.7,8.8
17,Kopalino,3132,9.1,9.4
18,Kopalino,3066,9.5,9.2
19,Kopalino,3927,9.2,10.0
20,Kopalino,4221,10.0,9.2
21,Kopalino,3228,9.4,10.0
22,Kopalino,5271,10.0,9.6
