,City,Cost,Rating,Comfort
0,Kołobrzeg,4243,9.6,9.7
1,Kołobrzeg,2079,9.0,10.0
2,Kołobrzeg,3298,9.7,8.8
3,Kołobrzeg,3626,8.1,8.3
4,Kołobrzeg,3386,9.0,9.2
5,Kołobrzeg,3818,8.3,8.4
6,Kołobrzeg,2474,9.0,9.2
7,"Dzielnica Uzdrowiskowa, Kołobrzeg",4044,8.2,8.1
8,"Dzielnica Uzdrowiskowa, Kołobrzeg",2593,8.2,8.2
9,"Dzielnica Uzdrowiskowa, Kołobrzeg",3170,10.0,10.0
10,Kołobrzeg,2576,9.4,9.5
11,Kołobrzeg,4334,10.0,10.0
12,"Dzielnica Uzdrowiskowa, Kołobrzeg",7268,9.7,10.0
13,"Dzielnica Uzdrowiskowa, Kołobrzeg",5228,9.0,10.0
14,"Dzielnica Uzdrowiskowa, Kołobrzeg",4083,9.6,9.8
15,"Śródmieście, Kołobrzeg",2736,7.2,9.0
16,Kołobrzeg,3001,7.5,9.0
17,Kołobrzeg,2989,8.1,9.0
18,Kołobrzeg,6410,8.7,8.7
19,Kołobrzeg,2881,8.8,8.9
20,Kołobrzeg,5106,8.4,8.8
21,"Śródmieście, Kołobrzeg",5707,8.6,8.8
22,Kołobrzeg,2617,8.4,10.0
23,Kołobrzeg,2536,8.7,8.2
24,"Dzielnica Uzdrowiskowa, Kołobrzeg",8775,10.0,10.0
25,Kołobrzeg,4041,8.1,8.2
26,"Dzielnica Uzdrowiskowa, Kołobrzeg",3446,9.7,8.5
27,Kołobrzeg,3744,8.2,10.0
28,Kołobrzeg,2916,8.2,9.2
29,Kołobrzeg,3298,7.8,9.8
30,"Dzielnica Uzdrowiskowa, Kołobrzeg",4339,10.0,8.7
31,"Dzielnica Uzdrowiskowa, Kołobrzeg",2990,8.8,8.4
32,Kołobrzeg,3556,9.7,10.0
33,Kołobrzeg,5360,8.7,8.3
34,Kołobrzeg,2435,8.2,9.7
35,Kołobrzeg,3626,8.5,8.2
36,"Dzielnica Uzdrowiskowa, Kołobrzeg",3666,8.0,10.0
37,"Dzielnica Uzdrowiskowa, Kołobrzeg",3624,8.4,10.0
38,"Dzielnica Uzdrowiskowa, Kołobrzeg",6388,9.6,8.2
39,"Dzielnica Uzdrowiskowa, Kołobrzeg",3929,8.0,8.2
40,"Dzielnica Uzdrowiskowa, Kołobrzeg",5798,10.0,8.2
41,"Dzielnica Uzdrowiskowa, Kołobrzeg",3257,8.0,8.1
42,"Dzielnica Uzdrowiskowa, Kołobrzeg",4849,10.0,9.9
43,Kołobrzeg,4573,7.9,9.3
44,"Dzielnica Uzdrowiskowa, Kołobrzeg",3977,8.1,8.9
45,Kołobrzeg,5116,7.1,9.2
46,"Dzielnica Uzdrowiskowa, Kołobrzeg",3926,8.1,8.5
47,Kołobrzeg,3701,8.1,10.0
48,Kołobrzeg,3996,9.6,8.5
49,"Dzielnica Uzdrowiskowa, Kołobrzeg",3156,9.2,10.0
50,"Śródmieście, Kołobrzeg",4705,9.4,9.7
51,Kołobrzeg,4355,9.3,9.6
52,"Dzielnica Uzdrowiskowa, Kołobrzeg",10097,8.3,9.3
53,Kołobrzeg,2935,7.3,8.6
54,Kołobrzeg,3386,9.8,8.4
55,"Dzielnica Uzdrowiskowa, Kołobrzeg",5145,8.4,10.0
56,"Dzielnica Uzdrowiskowa, Kołobrzeg",3166,9.0,8.7
57,"Dzielnica Uzdrowiskowa, Kołobrzeg",3306,6.0,8.1
58,"Dzielnica Uzdrowiskowa, Kołobrzeg",3427,9.4,10.0
59,"Dzielnica Uzdrowiskowa, Kołobrzeg",4652,9.0,8.1
60,Kołobrzeg,3818,9.0,9.2
61,"Dzielnica Uzdrowiskowa, Kołobrzeg",4852,8.3,9.3
62,"Śródmieście, Kołobrzeg",2620,8.3,10.0
63,"Dzielnica Uzdrowiskowa, Kołobrzeg",4136,8.0,8.9
64,"Dzielnica Uzdrowiskowa, Kołobrzeg",3698,7.7,8.8
65,Kołobrzeg,2139,10.0,9.8
66,"Dzielnica Uzdrowiskowa, Kołobrzeg",4025,8.5,9.1
67,Kołobrzeg,3447,8.0,8.5
68,"Dzielnica Uzdrowiskowa, Kołobrzeg",3481,10.0,8.5
69,"Dzielnica Uzdrowiskowa, Kołobrzeg",6466,8.0,9.2
70,"Dzielnica Uzdrowiskowa, Kołobrzeg",3919,8.9,8.3
71,"Dzielnica Uzdrowiskowa, Kołobrzeg",4416,10.0,10.0
72,"Dzielnica Uzdrowiskowa, Kołobrzeg",7300,8.9,9.1
73,"Dzielnica Uzdrowiskowa, Kołobrzeg",4424,9.4,10.0
74,Kołobrzeg,4397,9.2,9.6
75,Kołobrzeg,4700,9.7,9.0
76,"Dzielnica Uzdrowiskowa, Kołobrzeg",6496,9.7,9.6
77,"Śródmieście, Kołobrzeg",3564,8.8,9.7
78,"Dzielnica Uzdrowiskowa, Kołobrzeg",8684,8.6,9.7
79,Kołobrzeg,2474,8.8,8.3
80,Kołobrzeg,3244,9.2,9.1
81,"Dzielnica Uzdrowiskowa, Kołobrzeg",3869,8.1,8.3
82,"Dzielnica Uzdrowiskowa, Kołobrzeg",5006,10.0,9.0
83,"Dzielnica Uzdrowiskowa, Kołobrzeg",4046,9.5,8.4
84,"Dzielnica Uzdrowiskowa, Kołobrzeg",5980,10.0,9.5
85,"Dzielnica Uzdrowiskowa, Kołobrzeg",4044,9.2,9.2
86,Kołobrzeg,1561,7.2,10.0
87,"Dzielnica Uzdrowiskowa, Kołobrzeg",3116,9.2,8.0
88,Kołobrzeg,3107,9.6,9.8
89,"Dzielnica Uzdrowiskowa, Kołobrzeg",12116,9.5,9.6
90,"Dzielnica Uzdrowiskowa, Kołobrzeg",4885,9.5,8.1
91,"Dzielnica Uzdrowiskowa, Kołobrzeg",4626,7.0,9.7
92,"Śródmieście, Kołobrzeg",2716,8.2,9.5
93,"Dzielnica Uzdrowiskowa, Kołobrzeg",7466,7.4,8.1
94,Kołobrzeg,4950,8.9,8.3
