,City,Cost,Rating,Comfort
0,Mielno,3030,10.0,10.0
1,Mielno,4269,10.0,10.0
2,Mielno,3167,8.4,8.3
3,Mielno,2543,10.0,10.0
4,Mielno,3660,10.0,10.0
5,Mielno,1314,8.6,8.1
6,Mielno,1426,8.1,8.1
7,Mielno,3897,10.0,10.0
8,Mielno,3178,7.5,8.4
9,Mielno,3579,8.4,10.0
10,Mielno,3781,10.0,8.0
11,Mielno,3693,7.1,9.3
12,Mielno,2415,8.2,10.0
13,Mielno,2951,9.4,9.8
14,Mielno,3603,10.0,8.2
15,Mielno,2041,9.3,9.1
16,Mielno,3143,8.5,9.4
17,Mielno,3629,8.7,8.8
18,Mielno,3080,9.2,9.0
19,Mielno,2205,8.1,8.7
20,Mielno,4084,7.5,8.1
21,Mielno,4439,7.5,8.5
22,Mielno,4232,8.2,9.0
23,Mielno,3228,9.1,10.0
24,Mielno,2342,7.8,8.7
25,Mielno,2342,8.8,8.1
26,Mielno,4352,8.5,9.0
27,Mielno,3114,8.8,9.7
28,Mielno,867,6.7,9.7
29,Mielno,3167,8.8,8.3
30,Mielno,1372,10.0,9.2
31,Mielno,1055,8.5,9.3
32,Mielno,1581,8.4,8.9
33,Mielno,262,8.8,8.3
34,Mielno,4267,7.3,8.4
35,Mielno,3660,9.6,8.2
36,Mielno,1779,7.8,9.6
37,Mielno,2485,9.4,8.7
38,Mielno,3525,9.3,8.7
39,Mielno,2449,8.9,8.2
40,Mielno,7757,9.3,9.3
41,Mielno,1714,8.6,10.0
42,Mielno,3024,8.0,9.2
43,Mielno,2788,5.0,9.1
44,Mielno,3759,8.4,8.5
45,Mielno,1817,8.7,8.9
46,Mielno,1815,8.5,8.0
47,Mielno,3531,7.5,9.3
48,Mielno,3609,9.3,8.4
49,Mielno,4449,8.8,10.0
50,Mielno,1995,9.1,9.7
51,Mielno,1645,8.3,8.3
52,Mielno,1120,9.1,8.5
53,Mielno,1680,10.0,9.8
54,Mielno,3579,9.1,9.1
55,Mielno,3922,9.0,9.3
56,Mielno,2879,8.0,8.4
57,Mielno,2425,7.8,10.0
58,Mielno,1649,8.6,8.5
59,Mielno,3635,8.3,9.7
60,Mielno,3693,9.2,8.4
61,Mielno,1859,8.5,8.9
62,Mielno,5695,7.8,8.6
63,Mielno,1404,9.0,8.9
64,Mielno,3324,9.2,9.3
65,Mielno,5329,8.4,9.4
66,Mielno,1463,8.9,10.0
67,Mielno,1442,9.5,9.0
68,Mielno,1470,9.1,9.0
69,Mielno,4197,8.0,9.5
70,Mielno,4007,7.6,8.7
71,Mielno,4559,9.2,9.4
72,Mielno,4124,8.4,8.3
73,Mielno,1476,9.7,10.0
74,Mielno,4846,7.8,9.3
75,Mielno,2375,9.6,8.9
76,Mielno,1453,8.5,9.5
77,Mielno,6168,7.1,8.2
78,Mielno,4639,7.1,8.4
79,Mielno,2415,8.5,9.3
80,Mielno,1285,9.0,9.3
81,Mielno,3209,9.2,9.1
82,Mielno,5507,6.9,9.0
83,Mielno,3770,8.9,8.0
84,Mielno,6789,9.7,9.7
85,Mielno,2951,10.0,9.7
86,Mielno,4568,8.9,9.1
87,Mielno,4379,8.9,9.6
88,Mielno,4575,9.6,8.9
