,City,Cost,Rating,Comfort
0,Pobierowo,1796,9.3,9.3
1,Pobierowo,1835,9.2,9.4
2,Pobierowo,3353,9.7,10.0
3,Pobierowo,6400,8.5,8.6
4,Pobierowo,2154,9.5,9.6
5,Pobierowo,1968,8.8,8.5
6,Pobierowo,1780,8.9,8.9
7,Pobierowo,2326,9.1,9.2
8,Pobierowo,2028,9.6,9.6
9,Pobierowo,1988,8.1,10.0
10,Pobierowo,2128,10.0,8.9
11,Pobierowo,1393,8.8,9.0
12,Pobierowo,3825,9.0,8.4
13,Pobierowo,3315,8.3,9.1
14,Pobierowo,2975,8.7,8.4
15,Pobierowo,4445,7.3,9.5
16,Pobierowo,7770,8.1,9.0
17,Pobierowo,2464,9.3,8.9
18,Pobierowo,4422,7.4,8.9
19,Pobierowo,4011,9.0,10.0
20,Pobierowo,2828,8.9,9.3
21,Pobierowo,2425,6.3,9.0
22,Pobierowo,2728,8.8,8.4
23,Pobierowo,1316,9.5,8.7
24,Pobierowo,1015,9.3,9.6
25,Pobierowo,3185,9.5,8.5
26,Pobierowo,6251,8.9,8.5
27,Pobierowo,4446,7.0,9.4
28,Pobierowo,3528,9.0,9.2
29,Pobierowo,3860,7.7,9.1
30,Pobierowo,3178,9.7,8.8
31,Pobierowo,2037,8.7,9.2
32,Pobierowo,1785,8.8,9.2
33,Pobierowo,2828,9.4,9.1
34,Pobierowo,1505,9.4,8.8
35,Pobierowo,1131,9.2,10.0
36,Pobierowo,3947,9.2,10.0
37,Pobierowo,4571,9.3,9.0
38,Pobierowo,2945,8.7,8.9
39,Pobierowo,1455,9.2,8.0
40,Pobierowo,4645,8.7,8.5
41,Pobierowo,2493,8.7,9.5
42,Pobierowo,4513,10.0,8.5
43,Pobierowo,2100,7.8,8.6
44,Pobierowo,2885,8.8,8.8
45,Pobierowo,6889,9.2,8.8
46,Pobierowo,4364,7.7,9.4
47,Pobierowo,9936,9.3,8.1
48,Pobierowo,9546,8.5,9.2
49,Pobierowo,3465,8.1,8.7
50,Pobierowo,4753,8.6,8.2
51,Pobierowo,3276,8.8,9.4
52,Pobierowo,5185,9.0,8.0
53,Pobierowo,4723,9.7,9.8
54,Pobierowo,4501,7.9,9.4
55,Pobierowo,1628,7.5,9.3
56,Pobierowo,3320,8.0,9.2
57,Pobierowo,3878,9.4,8.1
58,Pobierowo,5925,5.0,8.0
59,Pobierowo,4088,8.9,9.3
