,City,Cost,Rating,Comfort
0,Rowy,2222,9.0,8.4
1,Rowy,1711,8.6,8.7
2,Rowy,4021,10.0,10.0
3,Rowy,1299,9.3,9.4
4,Rowy,4910,9.4,9.4
5,Rowy,3323,8.2,8.0
6,Rowy,4567,7.7,9.6
7,Rowy,1641,8.4,9.0
8,Rowy,3461,8.4,9.3
9,Rowy,3801,9.3,8.8
10,Rowy,2677,9.3,9.2
11,Rowy,1466,9.4,8.9
12,Rowy,1211,8.7,8.7
13,Rowy,1421,9.1,8.9
14,Rowy,1681,9.1,8.1
15,Rowy,1165,9.0,8.8
16,Rowy,1639,8.9,9.5
17,Rowy,1081,8.0,9.1
18,Rowy,2131,9.0,8.5
19,Rowy,1431,9.4,8.8
20,Rowy,3151,9.1,9.7
21,Rowy,1929,8.7,9.3
22,Rowy,1134,9.0,9.8
23,Rowy,4231,8.2,10.0
24,Rowy,2061,9.5,8.3
25,Rowy,4025,9.1,8.5
26,Rowy,2762,9.7,8.0
27,Rowy,1491,10.0,8.4
28,Rowy,2199,8.7,8.6
29,Rowy,4910,8.6,9.1
30,Rowy,2362,8.2,8.6
31,Rowy,1603,8.4,8.3
32,Rowy,3706,8.7,9.0
33,Rowy,2078,9.1,8.3
34,Rowy,3321,8.7,9.7
35,Rowy,4567,8.6,9.5
36,Rowy,1820,9.2,9.8
37,Rowy,2940,8.6,8.8
38,Rowy,3604,9.6,8.2
39,Rowy,4511,9.5,8.9
40,Rowy,1714,9.8,9.2
41,Rowy,3182,8.6,9.4
42,Rowy,1851,8.0,8.3
43,Rowy,1851,8.8,9.6
44,Rowy,3063,9.3,8.8
45,Rowy,2930,9.4,9.5
46,Rowy,4158,8.5,9.8
47,Rowy,3944,9.7,9.8
48,Rowy,4336,8.6,9.3
49,Rowy,2811,9.4,8.0
50,Rowy,4211,9.8,8.9
51,Rowy,2380,9.7,8.9
52,Rowy,3360,9.5,8.9
53,Rowy,1641,9.0,10.0
54,Rowy,3461,8.2,9.1
55,Rowy,1711,9.2,8.1
56,Rowy,2885,9.1,10.0
57,Rowy,3892,8.7,8.4
58,Rowy,1922,7.0,9.7
59,Rowy,3181,10.0,8.0
60,Rowy,3801,9.2,9.2
61,Rowy,5166,8.1,8.8
62,Rowy,2586,8.1,8.2
63,Rowy,4189,10.0,9.5
64,Rowy,2236,8.2,10.0
65,Rowy,3671,9.7,10.0
66,Rowy,1851,8.5,10.0
67,Rowy,4200,9.1,10.0
68,Rowy,4090,8.8,8.6
69,Rowy,4126,8.6,9.6
70,Rowy,3989,9.2,8.3
71,Rowy,3839,10.0,8.8
72,Rowy,4651,9.0,9.5
73,Rowy,3601,10.0,8.9
74,Rowy,3382,9.0,8.8
75,Rowy,4014,8.5,8.2
76,Rowy,3041,9.2,9.3
77,Rowy,2081,8.7,9.9
78,Rowy,1851,8.6,9.4
79,Rowy,2131,8.4,8.1
80,Rowy,2493,9.2,9.1
81,Rowy,2813,8.9,9.3
82,Rowy,4581,9.0,8.7
83,Rowy,4211,8.3,9.3
84,Rowy,2866,8.8,8.8
85,Rowy,3151,8.0,8.0
86,Rowy,1641,9.6,9.0
87,Rowy,2131,9.0,9.2
88,Rowy,4231,8.0,8.2
89,Rowy,4371,7.8,8.4
90,Rowy,3881,8.9,9.7
