,City,Cost,Rating,Comfort
0,"Dolny Sopot, Sopot",8393,9.1,9.5
1,Sopot,2469,8.8,9.0
2,"Kamienny Potok, Sopot",2751,8.3,8.1
3,"Górny Sopot, Sopot",2779,10.0,10.0
4,Sopot,3060,4.9,9.2
5,"Dolny Sopot, Sopot",2767,9.5,8.8
6,Sopot,2454,9.0,10.0
7,"Kamienny Potok, Sopot",2476,9.0,10.0
8,"Karlikowo, Sopot",1779,9.7,10.0
9,"Górny Sopot, Sopot",3812,10.0,9.4
10,"Karlikowo, Sopot",3855,9.3,9.1
11,Sopot,2411,8.7,8.8
12,"Dolny Sopot, Sopot",3103,10.0,10.0
13,"Górny Sopot, Sopot",2228,10.0,10.0
14,Sopot,2291,9.8,8.5
15,"Karlikowo, Sopot",3320,8.5,8.9
16,"Dolny Sopot, Sopot",1728,9.2,9.3
17,Sopot,2555,8.9,10.0
18,"Dolny Sopot, Sopot",3800,10.0,9.0
19,"Dolny Sopot, Sopot",6015,9.0,9.0
20,"Górny Sopot, Sopot",2948,8.8,9.5
21,Sopot,2272,9.2,8.9
22,"Karlikowo, Sopot",2069,8.8,10.0
23,"Górny Sopot, Sopot",2143,9.7,9.2
24,"Kamienny Potok, Sopot",3866,9.0,8.5
25,"Karlikowo, Sopot",2916,8.8,10.0
26,"Dolny Sopot, Sopot",6367,10.0,8.7
27,"Dolny Sopot, Sopot",3538,8.6,10.0
28,"Górny Sopot, Sopot",3916,10.0,9.5
29,"Górny Sopot, Sopot",2779,9.3,9.6
30,"Dolny Sopot, Sopot",2698,9.5,9.3
31,"Dolny Sopot, Sopot",3044,9.0,8.8
32,"Dolny Sopot, Sopot",6807,7.4,8.1
33,"Dolny Sopot, Sopot",3844,8.8,9.6
34,"Dolny Sopot, Sopot",3300,7.4,10.0
35,Sopot,3060,8.3,8.2
36,"Górny Sopot, Sopot",2577,9.6,10.0
37,"Dolny Sopot, Sopot",4735,10.0,9.5
38,Sopot,4407,8.3,9.8
39,"Górny Sopot, Sopot",3176,9.3,8.4
40,"Dolny Sopot, Sopot",13069,9.6,8.8
41,"Kamienny Potok, Sopot",2692,8.1,9.8
42,"Karlikowo, Sopot",2910,9.6,8.5
43,Sopot,3392,8.5,10.0
44,"Karlikowo, Sopot",3629,8.7,9.2
45,"Dolny Sopot, Sopot",3393,9.5,8.5
46,"Górny Sopot, Sopot",4155,8.8,8.2
47,"Karlikowo, Sopot",4110,7.9,10.0
48,"Kamienny Potok, Sopot",11267,10.0,8.1
49,"Karlikowo, Sopot",6133,9.3,9.4
50,"Górny Sopot, Sopot",2101,8.8,8.2
51,"Górny Sopot, Sopot",2160,8.4,9.4
52,"Dolny Sopot, Sopot",3988,8.1,8.8
53,"Dolny Sopot, Sopot",3660,10.0,9.2
54,"Dolny Sopot, Sopot",2767,8.0,8.8
55,Sopot,3918,9.3,10.0
