,City,Cost,Rating,Comfort
0,Ustka,3535,8.0,10.0
1,Ustka,2520,8.5,8.4
2,Ustka,1113,10.0,10.0
3,Ustka,2877,8.0,10.0
4,Ustka,2422,9.8,9.8
5,Ustka,3516,9.5,10.0
6,Ustka,3162,8.5,8.4
7,Ustka,1442,7.7,8.4
8,Ustka,4942,8.4,9.7
9,Ustka,2405,9.6,9.5
10,Ustka,3441,9.3,8.1
11,Ustka,3315,8.4,10.0
12,Ustka,3766,7.0,8.0
13,Ustka,2329,9.3,8.7
14,Ustka,2093,7.0,8.2
15,Ustka,952,8.2,8.6
16,Ustka,3877,6.9,9.1
17,Ustka,4555,8.8,8.8
18,Ustka,1613,8.7,8.5
19,Ustka,1662,8.7,9.4
20,Ustka,3122,9.0,9.7
21,Ustka,5100,9.0,9.2
22,Ustka,2054,8.3,8.3
23,Ustka,2875,8.9,9.6
24,Ustka,2246,9.3,9.5
25,Ustka,2842,9.4,8.4
26,Ustka,1883,9.0,8.7
27,Ustka,3334,8.6,9.7
28,Ustka,1295,9.5,8.4
29,Ustka,3162,9.4,8.0
30,Ustka,2842,8.2,9.6
31,Ustka,3090,9.0,9.4
32,Ustka,2044,8.8,9.2
33,Ustka,2013,9.5,9.4
34,Ustka,3556,8.3,8.3
35,Ustka,4736,8.7,10.0
36,Ustka,2292,9.4,8.8
37,Ustka,1730,9.1,8.7
38,Ustka,1212,8.9,9.7
39,Ustka,2919,7.8,9.3
40,Ustka,4340,9.2,8.3
41,Ustka,3474,8.5,9.7
42,Ustka,1442,9.5,8.6
43,Ustka,3892,8.9,8.9
44,Ustka,3500,8.5,8.1
45,Ustka,6160,9.5,9.0
46,Ustka,4130,9.0,8.7
47,Ustka,1162,8.5,8.2
48,Ustka,2373,9.4,8.9
49,Ustka,8300,8.6,9.7
50,Ustka,6228,9.0,8.8
51,Ustka,3050,8.5,8.0
52,Ustka,4435,9.0,8.3
53,Ustka,3318,8.1,9.6
54,Ustka,1582,8.7,8.5
55,Ustka,2877,8.5,10.0
56,Ustka,2912,9.0,9.9
57,Ustka,5642,9.7,8.9
58,Ustka,798,8.8,8.4
59,Ustka,6717,8.4,10.0
60,Ustka,5950,8.5,8.8
61,Ustka,3094,7.7,9.0
62,Ustka,1225,9.8,8.2
63,Ustka,2310,8.4,9.6
64,Ustka,2730,9.7,8.3
65,Ustka,1960,8.1,9.8
66,Ustka,1596,10.0,9.4
67,Ustka,2660,9.4,9.4
68,Ustka,4012,8.5,9.8
69,Ustka,2920,10.0,8.9
70,Ustka,3698,9.0,9.8
71,Ustka,4283,7.9,10.0
72,Ustka,4328,9.1,8.8
73,Ustka,2660,8.5,10.0
74,Ustka,2219,9.2,9.0
75,Ustka,3570,7.6,9.0
76,Ustka,1190,8.7,9.5
77,Ustka,6382,9.7,9.2
78,Ustka,3780,9.2,9.1
79,Ustka,2030,9.5,9.2
80,Ustka,3192,9.4,9.6
81,Ustka,1380,8.7,9.5
82,Ustka,3892,9.8,8.8
83,Ustka,3682,10.0,9.0
84,Ustka,3643,8.9,9.1
85,Ustka,3430,9.8,9.8
86,Ustka,1162,9.2,9.2
87,Ustka,3533,9.1,9.7
88,Ustka,5473,9.7,9.2
89,Ustka,1952,9.2,9.0
90,Ustka,3542,9.3,9.2
91,Ustka,5600,8.9,9.7
92,Ustka,3066,9.6,8.5
93,Ustka,1540,9.8,8.1
94,Ustka,2975,9.7,9.4
95,Ustka,4970,9.1,9.1
96,Ustka,2842,9.1,9.2
97,Ustka,8470,9.9,9.3
98,Ustka,3301,8.2,8.8
99,Ustka,3402,9.3,9.6
100,Ustka,1050,9.6,9.0
101,Ustka,4382,9.2,8.6
102,Ustka,3290,9.2,8.4
103,Ustka,2650,9.3,10.0
104,Ustka,3005,9.5,10.0
105,Ustka,4300,8.1,9.1
106,Ustka,2310,8.3,9.1
107,Ustka,3203,9.5,10.0
108,Ustka,2022,9.1,9.2
109,Ustka,2520,9.4,9.4
110,Ustka,3892,9.1,10.0
111,Ustka,2842,8.1,9.2
112,Ustka,2849,9.1,8.8
113,Ustka,6185,9.6,9.4
114,Ustka,5110,9.1,8.1
115,Ustka,2870,7.5,9.8
116,Ustka,2237,8.7,9.3
117,Ustka,5685,7.5,9.0
118,Ustka,2992,8.5,8.9
119,Ustka,1820,10.0,9.3
120,Ustka,1820,10.0,9.7
121,Ustka,3953,9.3,9.5
122,Ustka,2125,9.2,8.3
123,Ustka,3150,10.0,10.0
124,Ustka,2820,9.3,9.3
125,Ustka,4270,9.0,8.6
126,Ustka,1316,9.6,9.5
127,Ustka,2100,9.2,9.8
128,Ustka,1785,9.1,9.3
129,Ustka,1386,9.1,8.9
130,Ustka,3051,8.4,10.0
131,Ustka,4172,8.0,8.2
132,Ustka,2562,9.7,9.1
133,Ustka,3411,9.1,9.2
134,Ustka,1652,9.2,9.8
135,Ustka,1780,9.0,9.0
136,Ustka,1946,9.3,9.6
137,Ustka,3892,9.4,9.9
138,Ustka,1452,9.4,9.1
139,Ustka,1820,8.4,10.0
140,Ustka,2809,8.0,10.0
141,Ustka,3031,9.5,8.8
142,Ustka,1792,8.6,8.8
143,Ustka,2282,9.7,8.1
144,Ustka,2542,9.7,9.0
145,Ustka,4382,9.3,9.1
146,Ustka,3150,9.2,9.0
147,Ustka,2710,10.0,9.6
148,Ustka,3367,8.6,9.6
149,Ustka,2590,9.1,10.0
150,Ustka,2352,9.0,9.5
151,Ustka,1668,9.7,8.8
152,Ustka,4883,8.9,10.0
153,Ustka,3251,9.6,8.8
154,Ustka,1582,9.9,9.2
155,Ustka,4592,9.1,9.3
156,Ustka,2820,10.0,9.7
