,City,Cost,Rating,Comfort
0,Ustronie Morskie,5068,9.3,9.3
1,Ustronie Morskie,1545,9.3,9.2
2,Ustronie Morskie,1693,8.0,9.2
3,Ustronie Morskie,3262,9.1,8.9
4,Ustronie Morskie,1428,9.1,9.1
5,Ustronie Morskie,2706,9.0,8.7
6,Ustronie Morskie,1333,8.5,9.2
7,Ustronie Morskie,2968,8.9,10.0
8,Ustronie Morskie,3969,9.0,9.2
9,Ustronie Morskie,3545,9.2,9.2
10,Ustronie Morskie,3748,9.2,8.2
11,Ustronie Morskie,1831,8.5,9.6
12,Ustronie Morskie,2800,9.5,9.7
13,Ustronie Morskie,1918,7.4,10.0
14,Ustronie Morskie,3091,9.7,8.4
15,Ustronie Morskie,4529,10.0,8.3
16,Ustronie Morskie,2353,8.4,8.8
17,Ustronie Morskie,2666,7.7,8.9
18,Ustronie Morskie,3808,8.8,9.0
19,Ustronie Morskie,3455,8.7,9.1
20,Ustronie Morskie,1675,8.9,8.6
21,Ustronie Morskie,1428,6.0,9.7
22,Ustronie Morskie,5222,8.7,8.7
23,Ustronie Morskie,3815,8.9,8.4
24,Ustronie Morskie,2718,8.2,9.3
25,Ustronie Morskie,5774,9.8,10.0
26,Ustronie Morskie,4302,8.7,9.8
27,Ustronie Morskie,3078,8.9,9.2
28,Ustronie Morskie,2748,9.6,8.8
29,Ustronie Morskie,2706,10.0,8.7
30,Ustronie Morskie,2114,9.6,9.4
31,Ustronie Morskie,2688,8.9,8.9
32,Ustronie Morskie,8344,8.9,9.1
33,Ustronie Morskie,5155,8.8,8.1
34,Ustronie Morskie,6571,9.4,9.0
35,Ustronie Morskie,3545,8.9,8.8
36,Ustronie Morskie,4383,9.2,10.0
37,Ustronie Morskie,2765,8.7,8.9
38,Ustronie Morskie,2478,9.0,9.1
39,Ustronie Morskie,3878,8.5,9.2
40,Ustronie Morskie,3857,10.0,9.3
41,Ustronie Morskie,2023,8.3,8.9
42,Ustronie Morskie,1428,9.1,8.7
43,Ustronie Morskie,4018,9.3,10.0
44,Ustronie Morskie,4683,8.1,10.0
45,Ustronie Morskie,13713,9.2,8.9
46,Ustronie Morskie,2698,8.6,9.3
47,Ustronie Morskie,1498,8.7,10.0
48,Ustronie Morskie,5628,9.0,9.2
49,Ustronie Morskie,4653,10.0,10.0
50,Ustronie Morskie,3828,9.0,8.8
51,Ustronie Morskie,3642,9.3,10.0
52,Ustronie Morskie,2824,9.8,9.2
53,Ustronie Morskie,1300,9.2,9.8
54,Ustronie Morskie,3748,10.0,8.6
55,Ustronie Morskie,2706,8.8,10.0
56,Ustronie Morskie,2828,7.0,10.0
57,Ustronie Morskie,1645,9.2,10.0
58,Ustronie Morskie,3390,9.8,8.7
59,Ustronie Morskie,1260,8.7,8.0
60,Ustronie Morskie,3808,9.6,8.7
61,Ustronie Morskie,1477,8.0,10.0
62,Ustronie Morskie,4668,10.0,9.2
63,Ustronie Morskie,1388,8.5,9.4
64,Ustronie Morskie,2752,8.2,9.1
65,Ustronie Morskie,6754,8.9,10.0
66,Ustronie Morskie,4386,8.8,8.5
67,Ustronie Morskie,6678,9.4,9.7
68,Ustronie Morskie,2023,9.4,9.3
69,Ustronie Morskie,2898,8.6,9.0
70,Ustronie Morskie,2243,7.7,8.3
71,Ustronie Morskie,2673,9.8,8.7
72,Ustronie Morskie,3278,9.0,9.6
73,Ustronie Morskie,4928,9.5,9.1
74,Ustronie Morskie,3503,9.1,8.6
75,Ustronie Morskie,2724,9.0,9.4
76,Ustronie Morskie,5852,8.8,9.2
77,Ustronie Morskie,6885,8.7,9.5
78,Ustronie Morskie,2224,9.4,9.2
79,Ustronie Morskie,1675,9.2,9.5
80,Ustronie Morskie,4335,8.6,10.0
81,Ustronie Morskie,5504,9.2,8.9
82,Ustronie Morskie,4955,9.3,8.2
83,Ustronie Morskie,3076,8.0,9.1
84,Ustronie Morskie,1903,9.6,9.0
85,Ustronie Morskie,1428,9.1,8.7
86,Ustronie Morskie,2472,9.5,8.9
87,Ustronie Morskie,7908,9.0,8.3
88,Ustronie Morskie,8648,8.8,9.4
89,Ustronie Morskie,1730,8.3,8.1
90,Ustronie Morskie,2800,9.3,10.0
91,Ustronie Morskie,7005,9.2,8.6
92,Ustronie Morskie,3848,8.7,9.2
93,Ustronie Morskie,3943,8.8,10.0
94,Ustronie Morskie,1798,8.8,9.0
95,Ustronie Morskie,3745,9.6,9.5
96,Ustronie Morskie,5228,8.6,8.1
97,Ustronie Morskie,1988,9.6,9.1
98,Ustronie Morskie,4459,8.7,10.0
99,Ustronie Morskie,1428,9.0,8.8
100,Ustronie Morskie,5228,6.0,9.2
101,Ustronie Morskie,1414,9.8,8.2
102,Ustronie Morskie,3950,9.4,8.8
103,Ustronie Morskie,2295,9.4,9.3
104,Ustronie Morskie,1428,8.2,9.2
105,Ustronie Morskie,1323,9.2,8.8
106,Ustronie Morskie,1498,9.6,8.1
107,Ustronie Morskie,3508,9.5,10.0
108,Ustronie Morskie,3248,9.2,9.1
109,Ustronie Morskie,5341,9.0,9.4
110,Ustronie Morskie,2718,7.0,9.5
111,Ustronie Morskie,2937,9.6,10.0
112,Ustronie Morskie,3743,8.9,9.8
113,Ustronie Morskie,6000,9.0,9.8
114,Ustronie Morskie,5628,7.5,10.0
115,Ustronie Morskie,2968,10.0,10.0
116,Ustronie Morskie,2475,9.2,9.7
117,Ustronie Morskie,1428,9.5,9.7
118,Ustronie Morskie,4783,9.6,9.4
119,Ustronie Morskie,9478,8.0,8.8
120,Ustronie Morskie,3587,9.0,8.3
121,Ustronie Morskie,2935,9.7,9.4
122,Ustronie Morskie,5792,9.6,8.9
123,Ustronie Morskie,7758,9.9,9.8
124,Ustronie Morskie,7758,9.5,9.2
125,Ustronie Morskie,8778,9.6,9.2
126,Ustronie Morskie,3628,9.5,8.9
127,Ustronie Morskie,8073,9.5,9.4
128,Ustronie Morskie,6884,8.6,9.1
129,Ustronie Morskie,8344,8.1,8.8
130,Ustronie Morskie,3928,8.8,9.0
131,Ustronie Morskie,4912,7.7,9.3
132,Ustronie Morskie,3989,9.4,9.8
133,Ustronie Morskie,7082,9.1,9.0
134,Ustronie Morskie,8427,9.6,9.5
135,Ustronie Morskie,5155,9.0,9.2
136,Ustronie Morskie,4472,9.2,9.7
137,Ustronie Morskie,4368,9.0,8.8
138,Ustronie Morskie,7828,7.5,9.4
139,Ustronie Morskie,9466,9.4,10.0
140,Ustronie Morskie,5147,9.2,9.4
141,Ustronie Morskie,17093,9.0,8.8
142,Ustronie Morskie,5502,9.2,9.2
143,Ustronie Morskie,9828,9.4,9.5
144,Ustronie Morskie,3871,9.7,8.8
145,Ustronie Morskie,4928,9.1,8.7
146,Ustronie Morskie,4928,9.5,9.5
147,Ustronie Morskie,5246,9.4,9.2
148,Ustronie Morskie,3882,9.7,9.1
149,Ustronie Morskie,4158,9.1,8.8
150,Ustronie Morskie,2107,9.6,9.7
151,Ustronie Morskie,4098,9.9,10.0
152,Ustronie Morskie,4155,9.6,9.4
153,Ustronie Morskie,7678,9.3,9.4
154,Ustronie Morskie,6574,7.4,9.6
155,Ustronie Morskie,4495,9.0,8.4
156,Ustronie Morskie,4648,9.1,8.8
157,Ustronie Morskie,3135,8.3,9.8
158,Ustronie Morskie,2100,8.5,9.7
159,Ustronie Morskie,1361,8.6,10.0
160,Ustronie Morskie,3857,8.4,10.0
161,Ustronie Morskie,2758,9.1,8.8
162,Ustronie Morskie,7100,9.2,9.4
163,Ustronie Morskie,2338,9.5,9.7
164,Ustronie Morskie,1601,9.6,10.0
165,Ustronie Morskie,4068,9.7,8.9
166,Ustronie Morskie,3038,9.2,9.0
