,City,Cost,Rating,Comfort
0,Władysławowo,2283,9.0,8.8
1,Władysławowo,915,9.0,8.8
2,Władysławowo,2472,8.8,9.0
3,Władysławowo,1388,10.0,10.0
4,Władysławowo,3748,8.3,9.2
5,Władysławowo,3338,10.0,10.0
6,Władysławowo,878,9.7,9.7
7,Władysławowo,2510,8.6,9.5
8,Władysławowo,5202,9.2,8.9
9,Władysławowo,1438,3.0,10.0
10,Władysławowo,2028,10.0,8.8
11,Władysławowo,2840,10.0,8.2
12,Władysławowo,2938,8.2,9.9
13,Władysławowo,3191,9.9,9.3
14,Władysławowo,3347,9.2,8.9
15,Władysławowo,4222,8.6,10.0
16,Władysławowo,2243,8.0,9.5
17,Władysławowo,3778,8.0,8.3
18,Władysławowo,3338,10.0,8.6
19,Władysławowo,2515,9.2,8.4
20,Władysławowo,11089,8.4,8.5
21,Władysławowo,3522,8.0,9.1
22,Władysławowo,3625,8.8,10.0
23,Władysławowo,3172,8.3,8.9
24,Władysławowo,1048,9.1,8.5
25,Władysławowo,1048,8.0,9.4
26,Władysławowo,4205,9.1,9.3
27,Władysławowo,1682,9.0,9.4
28,Władysławowo,2843,9.3,9.4
29,Władysławowo,2978,8.2,10.0
30,Władysławowo,1763,9.5,9.9
31,Władysławowo,5088,9.1,8.6
32,Władysławowo,3367,9.5,8.1
33,Władysławowo,3844,9.3,8.8
34,Władysławowo,2128,9.3,8.1
35,Władysławowo,2526,9.7,8.5
36,Władysławowo,1477,8.8,8.6
37,Władysławowo,1255,8.3,9.7
38,Władysławowo,3172,8.8,10.0
39,Władysławowo,1002,8.5,9.4
40,Władysławowo,6130,8.5,8.7
41,Władysławowo,1524,8.3,8.3
42,Władysławowo,4588,8.7,9.6
43,Władysławowo,1978,9.5,8.5
44,Władysławowo,6198,10.0,8.9
45,Władysławowo,3158,9.3,8.9
46,Władysławowo,4086,8.9,10.0
47,Władysławowo,2700,9.0,8.9
48,Władysławowo,3095,9.7,9.8
49,Władysławowo,1228,8.6,9.0
50,Władysławowo,3697,8.9,10.0
51,Władysławowo,3431,8.7,8.8
52,Władysławowo,1403,9.7,9.6
53,Władysławowo,1372,9.1,9.1
54,Władysławowo,7085,9.7,8.9
55,Władysławowo,3220,9.2,8.7
56,Władysławowo,1300,9.7,8.7
57,Władysławowo,2978,8.8,9.3
58,Władysławowo,1134,9.6,10.0
59,Władysławowo,1229,9.3,8.3
60,Władysławowo,3381,9.0,10.0
61,Władysławowo,1228,8.8,8.9
62,Władysławowo,3058,8.8,9.4
63,Władysławowo,2301,7.6,9.3
64,Władysławowo,3536,9.7,9.2
65,Władysławowo,3158,10.0,8.6
66,Władysławowo,1963,8.2,9.7
67,Władysławowo,3633,10.0,8.4
68,Władysławowo,1842,9.1,8.4
69,Władysławowo,1718,9.3,9.5
70,Władysławowo,1187,9.4,8.9
71,Władysławowo,1718,9.2,9.6
72,Władysławowo,1162,8.7,8.8
73,Władysławowo,1928,9.7,9.4
74,Władysławowo,1141,8.7,8.6
75,Władysławowo,1298,8.2,9.5
76,Władysławowo,2346,9.3,9.6
77,Władysławowo,3768,8.8,9.1
78,Władysławowo,3968,9.5,8.9
