,City,Cost,Rating,Comfort
0,Świnoujście,2613,7.2,10.0
1,Świnoujście,4158,9.7,8.8
2,Świnoujście,4856,9.2,8.8
3,Świnoujście,5434,8.7,9.0
4,Świnoujście,3558,8.4,8.2
5,Świnoujście,4010,7.8,8.2
6,Świnoujście,3696,8.4,8.5
7,Świnoujście,3436,7.0,8.3
8,Świnoujście,3646,9.0,10.0
9,Świnoujście,2544,8.0,9.4
10,Świnoujście,2386,8.5,8.8
11,Świnoujście,5396,8.0,8.8
12,Świnoujście,3128,10.0,10.0
13,Świnoujście,5646,8.8,8.4
14,Świnoujście,3220,8.8,8.2
15,Świnoujście,2753,6.6,8.5
16,Świnoujście,6276,8.3,10.0
17,Świnoujście,3506,10.0,8.5
18,Świnoujście,2880,8.5,8.2
19,Świnoujście,5406,7.6,9.0
20,Świnoujście,5165,8.4,10.0
21,Świnoujście,4666,10.0,8.7
22,Świnoujście,4946,8.4,8.2
23,Świnoujście,3117,8.1,8.8
24,Świnoujście,3681,8.9,9.5
25,Świnoujście,2711,10.0,8.9
26,Świnoujście,3161,8.5,8.4
27,Świnoujście,5067,6.9,9.7
28,Świnoujście,2526,8.1,8.0
29,Świnoujście,5434,9.2,8.0
30,Świnoujście,3940,7.7,8.6
31,Świnoujście,4138,9.0,9.0
32,Świnoujście,3388,8.7,8.5
33,Świnoujście,3379,8.3,8.8
34,Świnoujście,4728,7.0,8.3
35,Świnoujście,3558,9.6,8.5
36,Świnoujście,5718,8.0,9.4
37,Świnoujście,3068,7.9,9.0
38,Świnoujście,3476,8.0,8.3
39,Świnoujście,3436,6.5,9.1
40,Świnoujście,5086,8.8,8.5
41,Świnoujście,1890,9.1,8.8
42,Świnoujście,6494,7.3,9.3
43,Świnoujście,4106,8.6,9.2
44,Świnoujście,6610,7.1,8.2
45,Świnoujście,4776,8.7,9.2
46,Świnoujście,2876,7.8,9.6
47,Świnoujście,5722,8.7,9.4
48,Świnoujście,1491,8.0,9.5
49,Świnoujście,1742,8.4,9.3
50,Świnoujście,2300,9.2,8.6
51,Świnoujście,2439,8.4,8.5
52,Świnoujście,3976,8.3,8.6
53,Świnoujście,4768,8.9,8.1
54,Świnoujście,4010,8.4,8.6
55,Świnoujście,5194,7.9,9.2
56,Świnoujście,3687,9.5,9.1
57,Świnoujście,3913,6.6,9.3
58,Świnoujście,3976,9.0,8.6
59,Świnoujście,4416,7.8,9.2
60,Świnoujście,3696,7.5,8.7
61,Świnoujście,3225,8.7,9.3
62,Świnoujście,3897,8.0,8.8
63,Świnoujście,4315,8.3,8.0
64,Świnoujście,4456,7.4,8.5
65,Świnoujście,2167,9.5,8.9
66,Świnoujście,3267,9.2,9.2
67,Świnoujście,4615,8.0,9.5
68,Świnoujście,2433,7.0,8.7
69,Świnoujście,3300,8.0,9.5
70,Świnoujście,3716,6.7,9.7
71,Świnoujście,3706,9.0,8.8
72,Świnoujście,3226,8.6,8.6
73,Świnoujście,3383,9.0,9.3
74,Świnoujście,3348,8.3,8.3
75,Świnoujście,5588,8.8,8.9
76,Świnoujście,3766,7.8,8.1
77,Świnoujście,3567,8.6,8.9
78,Świnoujście,6052,7.8,8.1
79,Świnoujście,2544,8.7,9.0
80,Świnoujście,4061,7.6,8.5
81,Świnoujście,3073,7.7,8.2
82,Świnoujście,3544,8.7,8.2
83,Świnoujście,2684,8.8,8.3
84,Świnoujście,2772,7.8,8.1
85,Świnoujście,2386,6.4,8.5
86,Świnoujście,6836,8.3,8.8
87,Świnoujście,2167,8.8,9.3
88,Świnoujście,3696,7.7,9.1
89,Świnoujście,4144,7.4,9.7
90,Świnoujście,3359,8.4,9.0
91,Świnoujście,4677,8.2,8.8
92,Świnoujście,3164,8.0,8.5
93,Świnoujście,6757,7.7,10.0
94,Świnoujście,2687,8.5,9.0
95,Świnoujście,3346,8.4,9.5
96,Świnoujście,4357,9.0,9.4
97,Świnoujście,3419,8.7,9.2
98,Świnoujście,4221,9.1,9.4
99,Świnoujście,1616,9.5,10.0
100,Świnoujście,4171,9.7,8.0
101,Świnoujście,2815,7.6,9.0
102,Świnoujście,2062,8.2,9.2
103,Świnoujście,3780,8.6,9.2
104,Świnoujście,3128,8.6,8.8
105,Świnoujście,3931,9.2,8.1
106,Świnoujście,4030,9.0,8.3
107,Świnoujście,3156,8.8,8.9
108,Świnoujście,4908,8.1,9.5
109,Świnoujście,3628,8.8,9.6
110,Świnoujście,5646,8.1,8.7
111,Świnoujście,14496,9.0,8.1
112,Świnoujście,4225,8.8,8.5
113,Świnoujście,3692,8.5,8.8
114,Świnoujście,1812,8.1,9.0
115,Świnoujście,2911,8.2,8.3
116,Świnoujście,28067,7.8,10.0
117,Świnoujście,5246,8.0,9.4
118,Świnoujście,5089,8.4,8.0
119,Świnoujście,2695,7.3,8.9
120,Świnoujście,5631,8.6,8.6
121,Świnoujście,3826,8.2,9.1
122,Świnoujście,3563,8.0,9.8
123,Świnoujście,5530,7.9,8.8
124,Świnoujście,4276,8.7,10.0
125,Świnoujście,2686,9.2,8.8
126,Świnoujście,3817,8.8,8.8
127,Świnoujście,3498,7.5,8.8
128,Świnoujście,2600,9.7,9.2
129,Świnoujście,5646,7.5,8.5
130,Świnoujście,4926,8.6,8.7
131,Świnoujście,2915,8.7,9.1
132,Świnoujście,6609,7.6,8.8
133,Świnoujście,3005,8.5,8.8
134,Świnoujście,3226,10.0,8.1
135,Świnoujście,3220,8.9,10.0
136,Świnoujście,6387,7.6,9.2
137,Świnoujście,10180,9.5,10.0
138,Świnoujście,7176,7.7,8.6
139,Świnoujście,4120,7.4,10.0
140,Świnoujście,3881,8.8,9.2
141,Świnoujście,2845,8.8,8.8
142,Świnoujście,3781,9.3,9.4
143,Świnoujście,3739,10.0,10.0
144,Świnoujście,5958,7.9,8.8
145,Świnoujście,4826,9.0,8.4
146,Świnoujście,4716,8.5,8.2
147,Świnoujście,3725,9.2,10.0
148,Świnoujście,4117,8.3,9.4
149,Świnoujście,3356,8.2,8.6
150,Świnoujście,5207,8.1,9.1
151,Świnoujście,5107,8.7,10.0
152,Świnoujście,4559,8.8,8.4
153,Świnoujście,3416,9.4,8.8
154,Świnoujście,2753,7.0,8.9
155,Świnoujście,3254,8.9,9.4
156,Świnoujście,5591,6.8,10.0
157,Świnoujście,5404,7.9,9.2
158,Świnoujście,4876,8.4,9.3
159,Świnoujście,3506,8.8,8.5
160,Świnoujście,6276,8.9,9.9
161,Świnoujście,3520,8.2,8.8
162,Świnoujście,3409,8.3,9.6
163,Świnoujście,2736,9.3,8.5
164,Świnoujście,4556,7.9,10.0
165,Świnoujście,3721,6.6,8.7
166,Świnoujście,5186,8.0,9.1
167,Świnoujście,3940,9.2,9.7
168,Świnoujście,3297,8.5,8.0
169,Świnoujście,3913,8.8,8.8
170,Świnoujście,3677,9.7,8.2
171,Świnoujście,1801,9.2,8.3
172,Świnoujście,2982,9.7,8.8
173,Świnoujście,3204,7.9,8.2
174,Świnoujście,3639,8.0,8.0
175,Świnoujście,3012,7.5,8.5
176,Świnoujście,3131,8.9,9.3
177,Świnoujście,4116,9.1,9.6
178,Świnoujście,6700,7.7,8.8
179,Świnoujście,3506,9.2,8.5
180,Świnoujście,2756,8.9,8.4
181,Świnoujście,4526,8.9,10.0
182,Świnoujście,3567,8.9,9.5
183,Świnoujście,6597,9.0,8.4
184,Świnoujście,2382,8.3,9.4
185,Świnoujście,2880,6.6,9.5
186,Świnoujście,3781,8.2,8.3
187,Świnoujście,3217,7.2,8.9
188,Świnoujście,3674,10.0,8.1
189,Świnoujście,4347,9.0,9.6
190,Świnoujście,2735,10.0,9.0
191,Świnoujście,2517,8.7,8.6
192,Świnoujście,5812,8.3,8.8
193,Świnoujście,3904,8.1,9.2
194,Świnoujście,6434,7.5,9.1
195,Świnoujście,2838,8.4,9.0
196,Świnoujście,3547,9.1,8.1
197,Świnoujście,3365,8.5,10.0
198,Świnoujście,4926,7.6,9.2
199,Świnoujście,3894,8.6,9.6
200,Świnoujście,5587,7.9,9.2
201,Świnoujście,3506,10.0,9.4
202,Świnoujście,4136,9.2,8.7
203,Świnoujście,2401,8.1,8.1
204,Świnoujście,5406,8.9,8.8
205,Świnoujście,2736,8.2,9.0
206,Świnoujście,4256,6.7,8.8
207,Świnoujście,2517,9.0,9.2
208,Świnoujście,5733,8.5,9.5
209,Świnoujście,3196,9.0,10.0
210,Świnoujście,5165,7.8,9.2
211,Świnoujście,3264,8.6,8.7
212,Świnoujście,3350,8.8,8.2
213,Świnoujście,4169,7.6,8.1
214,Świnoujście,5987,10.0,8.7
215,Świnoujście,5443,8.7,8.8
216,Świnoujście,5927,9.2,10.0
217,Świnoujście,5219,8.4,8.9
218,Świnoujście,4603,9.8,8.2
219,Świnoujście,4360,8.4,8.5
220,Świnoujście,4250,7.5,8.7
221,Świnoujście,6986,9.4,10.0
222,Świnoujście,3223,8.5,10.0
223,Świnoujście,3026,10.0,9.9
224,Świnoujście,5263,8.8,9.1
225,Świnoujście,3329,8.5,8.6
226,Świnoujście,4057,9.2,8.4
227,Świnoujście,4976,7.7,8.4
228,Świnoujście,5353,8.8,9.7
229,Świnoujście,4666,8.0,9.5
230,Świnoujście,2740,6.5,9.6
231,Świnoujście,2434,8.9,9.0
232,Świnoujście,5531,8.9,10.0
233,Świnoujście,2797,8.1,8.8
234,Świnoujście,3481,8.2,9.5
235,Świnoujście,3681,8.7,8.3
236,Świnoujście,13536,8.9,8.7
237,Świnoujście,4000,9.4,8.6
238,Świnoujście,4410,7.4,8.6
239,Świnoujście,3026,8.8,8.5
240,Świnoujście,4989,6.3,10.0
241,Świnoujście,2067,8.6,8.9
242,Świnoujście,5252,7.0,8.8
243,Świnoujście,3089,9.0,9.5
244,Świnoujście,4755,9.2,8.5
245,Świnoujście,4126,7.3,8.9
246,Świnoujście,4851,8.4,10.0
247,Świnoujście,2822,9.2,9.0
248,Świnoujście,4344,9.4,8.9
249,Świnoujście,2661,8.1,9.0
250,Świnoujście,3896,8.5,8.9
251,Świnoujście,4374,8.2,9.8
252,Świnoujście,2548,9.0,8.7
253,Świnoujście,2666,8.8,9.7
254,Świnoujście,3161,7.5,9.0
255,Świnoujście,3351,7.5,9.8
256,Świnoujście,4533,9.0,8.9
257,Świnoujście,4567,8.2,8.3
258,Świnoujście,4317,9.1,8.9
259,Świnoujście,4626,8.4,9.0
260,Świnoujście,5067,9.0,8.7
261,Świnoujście,3567,8.2,8.5
262,Świnoujście,4278,10.0,8.1
263,Świnoujście,5041,7.3,8.4
264,Świnoujście,3704,8.9,8.5
265,Świnoujście,3624,9.5,9.2
266,Świnoujście,5662,8.9,9.3
267,Świnoujście,3438,7.4,8.2
268,Świnoujście,4241,9.1,9.2
269,Świnoujście,4032,8.5,8.6
270,Świnoujście,2596,8.7,8.8
271,Świnoujście,2751,8.4,8.2
272,Świnoujście,7080,7.2,9.1
273,Świnoujście,1848,8.0,9.2
274,Świnoujście,6999,9.2,9.5
275,Świnoujście,5136,9.0,9.7
276,Świnoujście,3335,7.1,9.7
277,Świnoujście,3217,9.7,8.5
278,Świnoujście,2839,9.1,8.3
279,Świnoujście,2526,10.0,9.7
280,Świnoujście,3707,9.0,9.3
281,Świnoujście,5774,8.5,8.2
282,Świnoujście,3326,7.6,8.7
283,Świnoujście,2726,8.2,9.7
284,Świnoujście,3466,7.7,9.6
285,Świnoujście,4138,8.5,8.0
286,Świnoujście,3567,8.0,9.0
