,City,Cost,Rating,Comfort
0,Darłowo,1366,9.7,9.6
1,Darłowo,1580,8.2,8.2
2,Darłowo,3503,8.5,8.6
3,Darłowo,2145,9.0,8.9
4,Darłowo,2519,8.8,9.6
5,Darłowo,3710,9.3,9.5
6,Darłowo,1935,9.5,9.3
7,Darłowo,3546,8.8,8.8
8,Darłowo,4839,8.8,9.2
9,Darłowo,2099,8.6,8.8
10,Darłowo,3825,9.2,9.0
11,Darłowo,4469,8.4,8.4
12,Darłowo,2005,9.0,8.8
13,Darłowo,3251,9.3,8.8
14,Darłowo,3337,9.4,9.5
15,Darłowo,2032,9.6,9.8
16,Darłowo,5123,9.6,9.7
17,Darłowo,1795,9.8,9.8
18,Darłowo,1305,7.8,9.4
19,Darłowo,1347,9.3,9.3
20,Darłowo,2439,9.0,9.5
21,Darłowo,1095,9.4,8.4
22,Darłowo,3465,8.8,8.2
23,Darłowo,2943,8.4,8.3
24,Darłowo,2095,7.3,8.6
25,Darłowo,3070,8.6,9.1
26,Darłowo,3265,8.3,8.6
27,Darłowo,2145,9.0,9.0
28,Darłowo,2883,9.1,8.1
29,Darłowo,3000,9.2,9.2
30,Darłowo,4780,8.1,9.2
31,Darłowo,1977,9.2,9.0
32,Darłowo,4156,9.5,8.0
33,Darłowo,1398,9.6,8.4
34,Darłowo,4109,8.4,9.0
35,Darłowo,2415,8.8,9.6
36,Darłowo,1515,8.9,8.6
37,Darłowo,2879,10.0,9.1
38,Darłowo,1950,8.6,9.7
39,Darłowo,4581,9.0,9.4
40,Darłowo,1725,9.5,9.8
41,Darłowo,2480,9.5,8.8
42,Darłowo,1913,9.6,9.9
43,Darłowo,2356,9.0,8.6
44,Darłowo,2220,9.8,8.9
45,Darłowo,1360,8.7,9.2
46,Darłowo,3282,8.8,8.4
47,Darłowo,1599,9.2,9.0
48,Darłowo,4505,8.4,9.7
49,Darłowo,2005,9.0,8.6
50,Darłowo,4109,9.6,8.7
51,Darłowo,2256,9.1,9.6
52,Darłowo,1809,9.2,10.0
53,Darłowo,3265,9.4,9.2
54,Darłowo,1899,9.5,8.8
55,Darłowo,2495,9.4,8.3
56,Darłowo,3316,9.4,8.8
57,Darłowo,1095,8.6,8.0
58,Darłowo,4665,9.0,9.0
59,Darłowo,3251,8.0,9.3
60,Darłowo,1515,9.1,9.0
61,Darłowo,4330,8.8,8.4
62,Darłowo,4945,9.3,9.4
63,Darłowo,3055,9.2,8.3
64,Darłowo,1680,8.6,8.2
65,Darłowo,3755,9.6,9.6
66,Darłowo,3957,8.6,9.3
67,Darłowo,2215,8.2,8.4
68,Darłowo,2670,9.4,9.4
69,Darłowo,2495,9.2,9.3
70,Darłowo,1445,8.5,10.0
71,Darłowo,3409,9.5,10.0
72,Darłowo,2879,9.6,10.0
73,Darłowo,1795,10.0,9.8
74,Darłowo,3980,10.0,8.7
75,Darłowo,3967,10.0,8.7
