,City,Cost,Rating,Comfort
0,Gdańsk,1926,8.4,8.2
1,Gdańsk,2534,9.0,8.5
2,Gdańsk,2374,9.7,9.7
3,"Centrum, Gdańsk",2471,9.8,9.8
4,"Brzeźno, Gdańsk",3162,9.7,10.0
5,Gdańsk,2737,10.0,10.0
6,"Centrum, Gdańsk",3024,10.0,10.0
7,"Przymorze, Gdańsk",2600,10.0,10.0
8,"Centrum, Gdańsk",3521,10.0,10.0
9,"Centrum, Gdańsk",4499,10.0,8.5
10,"Przymorze, Gdańsk",4519,8.3,8.6
11,"Wrzeszcz, Gdańsk",2902,8.7,10.0
12,"Wrzeszcz, Gdańsk",2678,9.0,10.0
13,"Przymorze, Gdańsk",3191,10.0,10.0
14,"Brzeźno, Gdańsk",5440,10.0,10.0
15,"Wrzeszcz, Gdańsk",2397,10.0,10.0
16,"Wrzeszcz, Gdańsk",2176,10.0,10.0
17,"Centrum, Gdańsk",3125,8.5,10.0
18,Gdańsk,2917,10.0,10.0
19,"Centrum, Gdańsk",2919,9.0,10.0
20,"Wrzeszcz, Gdańsk",2083,10.0,10.0
21,"Centrum, Gdańsk",2858,10.0,10.0
22,"Centrum, Gdańsk",3780,10.0,10.0
23,"Centrum, Gdańsk",3994,10.0,10.0
24,"Centrum, Gdańsk",5010,10.0,10.0
25,"Wrzeszcz, Gdańsk",3110,10.0,10.0
26,Gdańsk,3615,8.0,10.0
27,Gdańsk,1512,10.0,8.6
28,Gdańsk,2249,9.0,10.0
29,"Centrum, Gdańsk",2471,9.5,10.0
30,Gdańsk,2810,8.0,9.5
31,"Centrum, Gdańsk",3017,10.0,9.4
32,"Przymorze, Gdańsk",2498,8.8,8.5
33,"Centrum, Gdańsk",3221,10.0,8.8
34,Gdańsk,3664,10.0,8.5
35,"Brzeźno, Gdańsk",3162,9.3,10.0
36,"Brzeźno, Gdańsk",3113,9.4,10.0
37,Gdańsk,3675,8.2,8.7
38,"Centrum, Gdańsk",3985,9.0,9.7
39,"Centrum, Gdańsk",4833,9.0,10.0
40,"Przymorze, Gdańsk",3096,10.0,8.4
41,"Centrum, Gdańsk",3615,10.0,9.2
42,"Przymorze, Gdańsk",3698,8.9,10.0
43,"Centrum, Gdańsk",2513,8.0,10.0
44,"Wrzeszcz, Gdańsk",1925,9.7,10.0
45,"Centrum, Gdańsk",5834,10.0,8.8
46,"Przymorze, Gdańsk",2430,8.3,10.0
47,"Centrum, Gdańsk",5046,8.2,10.0
48,Gdańsk,3698,10.0,10.0
49,Gdańsk,3271,10.0,9.2
50,Gdańsk,3828,9.0,10.0
51,Gdańsk,2093,9.5,10.0
52,Gdańsk,2716,9.0,9.8
53,"Centrum, Gdańsk",5144,10.0,10.0
54,Gdańsk,2737,9.7,10.0
55,"Brzeźno, Gdańsk",4550,9.0,9.2
56,"Brzeźno, Gdańsk",2352,7.8,8.3
57,"Centrum, Gdańsk",3658,10.0,8.8
58,Gdańsk,2495,9.7,8.2
59,"Centrum, Gdańsk",2900,9.8,8.9
60,"Centrum, Gdańsk",3024,9.9,10.0
61,"Centrum, Gdańsk",2520,10.0,9.8
62,Gdańsk,2464,9.3,10.0
63,"Przymorze, Gdańsk",4480,9.2,8.8
64,"Wrzeszcz, Gdańsk",2804,3.0,10.0
65,"Przymorze, Gdańsk",3150,9.0,10.0
66,"Centrum, Gdańsk",4623,7.7,10.0
67,"Centrum, Gdańsk",3325,9.0,9.2
68,"Przymorze, Gdańsk",2927,10.0,10.0
69,Gdańsk,3238,9.7,10.0
70,Gdańsk,3350,10.0,9.3
