,City,Cost,Rating,Comfort
0,Gdynia,2774,10.0,10.0
1,Gdynia,1475,8.0,9.1
2,"Śródmieście, Gdynia",5193,9.3,10.0
3,Gdynia,2831,10.0,10.0
4,Gdynia,2566,10.0,10.0
5,"Wzgórze Świętego Maksymiliana, Gdynia",3442,10.0,9.3
6,Gdynia,1659,9.2,10.0
7,"Śródmieście, Gdynia",6346,10.0,10.0
8,"Śródmieście, Gdynia",2214,10.0,10.0
9,Gdynia,1485,9.7,10.0
10,Gdynia,1621,8.0,10.0
11,"Wzgórze Świętego Maksymiliana, Gdynia",4246,9.0,10.0
12,Gdynia,2546,10.0,9.5
13,"Redłowo, Gdynia",2719,10.0,9.5
14,Gdynia,1306,10.0,9.2
15,"Redłowo, Gdynia",5026,9.4,10.0
16,Gdynia,3070,9.3,9.1
17,Gdynia,2120,9.1,10.0
18,"Śródmieście, Gdynia",3142,8.0,10.0
19,"Wzgórze Świętego Maksymiliana, Gdynia",2846,10.0,10.0
20,Gdynia,4570,9.3,8.3
21,"Śródmieście, Gdynia",3546,10.0,8.3
22,Gdynia,2491,10.0,9.5
23,"Śródmieście, Gdynia",3946,10.0,9.5
24,"Śródmieście, Gdynia",3842,8.3,8.4
25,"Orłowo, Gdynia",4767,8.1,10.0
26,"Śródmieście, Gdynia",2846,8.7,10.0
27,Gdynia,2476,9.4,9.1
28,"Redłowo, Gdynia",6421,9.5,8.8
29,"Śródmieście, Gdynia",5193,8.4,10.0
30,Gdynia,3021,10.0,8.5
31,"Kamienna Góra, Gdynia",5926,9.0,8.9
32,"Śródmieście, Gdynia",2992,10.0,9.2
33,"Wzgórze Świętego Maksymiliana, Gdynia",4916,10.0,8.2
34,"Śródmieście, Gdynia",3188,7.6,10.0
35,Gdynia,2831,9.7,8.8
36,Gdynia,3447,7.5,9.4
37,Gdynia,2996,10.0,9.2
38,"Kamienna Góra, Gdynia",3341,8.6,8.5
39,"Śródmieście, Gdynia",2939,8.8,8.8
40,"Śródmieście, Gdynia",3246,9.0,8.3
41,"Śródmieście, Gdynia",3192,8.2,8.8
42,"Śródmieście, Gdynia",2846,10.0,10.0
43,Gdynia,2062,8.0,9.4
44,Gdynia,2393,9.5,9.5
45,"Orłowo, Gdynia",2356,9.0,9.6
46,"Śródmieście, Gdynia",4832,9.2,8.9
47,Gdynia,2566,8.4,10.0
48,Gdynia,3335,9.0,8.4
49,Gdynia,2575,8.4,10.0
50,"Redłowo, Gdynia",2724,9.1,8.5
51,Gdynia,2146,8.0,9.3
52,Gdynia,3611,9.4,9.3
53,"Redłowo, Gdynia",2878,9.4,10.0
54,Gdynia,2566,9.1,9.3
55,Gdynia,1376,8.7,10.0
56,"Wzgórze Świętego Maksymiliana, Gdynia",2679,10.0,8.6
57,"Śródmieście, Gdynia",3488,8.3,10.0
58,"Śródmieście, Gdynia",3419,10.0,8.8
59,Gdynia,2101,9.4,9.1
60,"Wzgórze Świętego Maksymiliana, Gdynia",3442,9.1,9.8
61,Gdynia,4259,9.3,10.0
62,Gdynia,3007,10.0,10.0
63,Gdynia,2098,9.2,9.4
64,Gdynia,1931,10.0,9.7
65,Gdynia,1306,8.7,9.9
66,"Śródmieście, Gdynia",1610,10.0,9.2
67,Gdynia,2275,9.0,9.0
68,"Śródmieście, Gdynia",2496,7.8,8.6
69,"Śródmieście, Gdynia",5416,6.9,8.8
70,Gdynia,10221,9.1,10.0
71,"Wzgórze Świętego Maksymiliana, Gdynia",4806,9.7,10.0
72,Gdynia,3265,10.0,10.0
73,"Śródmieście, Gdynia",3657,8.8,9.1
74,"Wzgórze Świętego Maksymiliana, Gdynia",4381,9.2,8.6
75,Gdynia,6410,9.5,10.0
76,Gdynia,2325,9.0,9.4
77,"Śródmieście, Gdynia",3126,9.0,9.9
78,"Śródmieście, Gdynia",7829,9.9,9.1
79,Gdynia,1659,9.2,9.8
80,"Śródmieście, Gdynia",4211,9.3,8.5
81,"Śródmieście, Gdynia",8736,10.0,10.0
82,"Śródmieście, Gdynia",3406,8.8,9.4
83,"Śródmieście, Gdynia",3704,8.0,10.0
84,Gdynia,3948,8.6,10.0
85,"Śródmieście, Gdynia",6346,8.0,10.0
86,Gdynia,7921,9.8,8.5
87,"Śródmieście, Gdynia",5256,9.0,9.8
88,"Kamienna Góra, Gdynia",2726,10.0,9.9
89,"Śródmieście, Gdynia",2141,9.3,9.3
90,Gdynia,2440,8.8,9.1
91,"Śródmieście, Gdynia",7196,10.0,8.7
92,"Śródmieście, Gdynia",5242,9.4,10.0
93,Gdynia,2496,10.0,10.0
94,"Kamienna Góra, Gdynia",2544,9.9,9.6
95,"Wzgórze Świętego Maksymiliana, Gdynia",3389,9.0,9.2
96,"Śródmieście, Gdynia",5825,9.6,8.3
97,Gdynia,2456,9.1,9.1
98,Gdynia,4161,9.7,10.0
99,"Śródmieście, Gdynia",3512,9.2,8.6
100,Gdynia,3222,9.5,9.1
101,Gdynia,2966,10.0,8.6
102,"Redłowo, Gdynia",4079,10.0,9.6
103,"Wzgórze Świętego Maksymiliana, Gdynia",2706,8.7,10.0
104,"Śródmieście, Gdynia",2214,10.0,9.5
105,Gdynia,2496,9.6,9.5
106,"Śródmieście, Gdynia",4408,9.3,9.8
107,Gdynia,2881,9.2,10.0
108,Gdynia,2881,9.4,9.6
109,"Śródmieście, Gdynia",3551,10.0,10.0
110,Gdynia,1485,6.5,9.2
111,"Wzgórze Świętego Maksymiliana, Gdynia",3546,9.6,9.3
112,"Wzgórze Świętego Maksymiliana, Gdynia",3664,9.0,10.0
113,"Śródmieście, Gdynia",2700,8.3,9.6
114,"Wzgórze Świętego Maksymiliana, Gdynia",2756,9.2,9.7
115,Gdynia,3968,7.8,10.0
116,"Śródmieście, Gdynia",4359,8.0,8.7
117,Gdynia,3511,8.1,9.4
118,Gdynia,3759,8.7,10.0
119,Gdynia,2609,9.2,8.9
120,"Śródmieście, Gdynia",12275,8.9,9.3
121,Gdynia,5198,9.4,8.8
122,"Śródmieście, Gdynia",4067,9.0,9.4
123,Gdynia,3190,9.5,10.0
124,Gdynia,2202,9.7,9.4
125,"Kamienna Góra, Gdynia",4420,9.7,10.0
126,Gdynia,4054,9.5,10.0
127,Gdynia,1908,9.5,9.9
128,"Śródmieście, Gdynia",2877,9.0,9.2
129,Gdynia,1621,9.4,9.3
130,"Śródmieście, Gdynia",5346,9.6,10.0
131,"Śródmieście, Gdynia",3795,8.9,9.7
132,Gdynia,2129,9.4,8.6
133,"Redłowo, Gdynia",5164,9.5,10.0
134,"Śródmieście, Gdynia",2255,10.0,9.6
135,"Wzgórze Świętego Maksymiliana, Gdynia",4246,8.6,10.0
136,"Wzgórze Świętego Maksymiliana, Gdynia",4365,9.4,9.2
137,"Śródmieście, Gdynia",3785,9.0,9.4
138,Gdynia,2846,9.4,8.6
139,Gdynia,4278,8.6,9.5
140,"Kamienna Góra, Gdynia",2240,9.1,10.0
141,Gdynia,2350,9.1,9.5
142,"Śródmieście, Gdynia",4099,9.4,9.2
143,"Śródmieście, Gdynia",5646,7.2,10.0
144,Gdynia,2411,10.0,8.2
145,"Śródmieście, Gdynia",3546,9.7,9.4
146,"Śródmieście, Gdynia",2512,10.0,9.4
147,"Śródmieście, Gdynia",4024,10.0,9.4
148,Gdynia,1866,6.7,10.0
149,Gdynia,2303,9.6,9.6
150,"Śródmieście, Gdynia",2999,8.9,9.0
151,"Kamienna Góra, Gdynia",3546,9.3,8.8
152,"Orłowo, Gdynia",3476,10.0,9.9
153,"Śródmieście, Gdynia",2800,9.5,9.8
154,Gdynia,2546,9.0,9.7
155,"Śródmieście, Gdynia",1503,10.0,10.0
156,"Śródmieście, Gdynia",4567,9.8,9.7
157,"Orłowo, Gdynia",2660,7.2,8.9
158,Gdynia,2939,10.0,8.1
159,Gdynia,2286,8.8,8.0
160,"Redłowo, Gdynia",2719,9.0,10.0
161,"Śródmieście, Gdynia",3251,8.5,8.5
162,"Śródmieście, Gdynia",2625,9.5,9.3
163,"Śródmieście, Gdynia",3406,9.8,9.4
164,"Orłowo, Gdynia",6346,9.2,9.7
165,Gdynia,4318,8.3,8.8
166,Gdynia,2750,10.0,9.5
167,Gdynia,2396,7.9,10.0
168,Gdynia,3196,9.2,9.5
