,City,Cost,Rating,Comfort
0,Jastrzębia Góra,3292,10.0,10.0
1,Jastrzębia Góra,19267,8.9,9.3
2,Jastrzębia Góra,2842,9.4,9.6
3,Jastrzębia Góra,2380,8.5,9.4
4,Jastrzębia Góra,1407,10.0,10.0
5,Jastrzębia Góra,3700,10.0,10.0
6,Jastrzębia Góra,4364,9.1,9.0
7,Jastrzębia Góra,3367,9.1,9.1
8,Jastrzębia Góra,3700,8.4,8.2
9,Jastrzębia Góra,8092,9.2,9.3
10,Jastrzębia Góra,4603,8.1,8.7
11,Jastrzębia Góra,3622,8.8,9.1
12,Jastrzębia Góra,4935,9.0,8.2
13,Jastrzębia Góra,3137,9.0,8.8
14,Jastrzębia Góra,4854,8.4,9.7
15,Jastrzębia Góra,6065,9.0,8.6
16,Jastrzębia Góra,4255,8.0,9.6
17,Jastrzębia Góra,5447,9.5,9.3
18,Jastrzębia Góra,5362,8.6,10.0
19,Jastrzębia Góra,2789,9.5,8.7
20,Jastrzębia Góra,2077,9.1,9.2
21,Jastrzębia Góra,2867,9.0,10.0
22,Jastrzębia Góra,5301,8.9,10.0
23,Jastrzębia Góra,3838,9.2,8.6
24,Jastrzębia Góra,3053,10.0,9.1
25,Jastrzębia Góra,5562,8.3,9.1
26,Jastrzębia Góra,3824,8.7,9.4
27,Jastrzębia Góra,4767,9.2,8.7
28,Jastrzębia Góra,8540,9.1,9.2
29,Jastrzębia Góra,1963,9.3,8.9
30,Jastrzębia Góra,3700,8.8,9.2
31,Jastrzębia Góra,4452,9.3,9.0
32,Jastrzębia Góra,2086,9.2,8.2
33,Jastrzębia Góra,1902,9.2,8.3
34,Jastrzębia Góra,4327,9.3,8.6
35,Jastrzębia Góra,3556,8.6,8.9
36,Jastrzębia Góra,4364,8.4,9.3
37,Jastrzębia Góra,4490,8.8,8.9
38,Jastrzębia Góra,2562,8.9,8.8
39,Jastrzębia Góra,1912,9.4,8.4
40,Jastrzębia Góra,2628,8.9,9.3
41,Jastrzębia Góra,4945,8.2,9.4
42,Jastrzębia Góra,2472,8.6,8.5
43,Jastrzębia Góra,1696,9.0,8.0
44,Jastrzębia Góra,2577,9.6,10.0
45,Jastrzębia Góra,2787,8.5,10.0
46,Jastrzębia Góra,4608,7.8,8.5
47,Jastrzębia Góra,2576,10.0,8.2
48,Jastrzębia Góra,2240,10.0,9.4
49,Jastrzębia Góra,3150,10.0,8.7
50,Jastrzębia Góra,2134,8.0,8.1
51,Jastrzębia Góra,1658,7.9,8.7
52,Jastrzębia Góra,3044,7.2,9.3
53,Jastrzębia Góra,2730,9.3,8.1
54,Jastrzębia Góra,1714,8.6,9.1
55,Jastrzębia Góra,3367,8.5,8.3
56,Jastrzębia Góra,5609,8.5,8.9
57,Jastrzębia Góra,4409,8.6,9.2
58,Jastrzębia Góra,3971,8.5,9.6
59,Jastrzębia Góra,4590,8.7,9.1
60,Jastrzębia Góra,4343,8.8,9.1
61,Jastrzębia Góra,3700,8.7,9.2
62,Jastrzębia Góra,1714,9.3,9.4
63,Jastrzębia Góra,2306,9.5,9.4
64,Jastrzębia Góra,5209,9.3,9.5
65,Jastrzębia Góra,6116,9.1,9.2
66,Jastrzębia Góra,5453,7.7,9.8
67,Jastrzębia Góra,4252,9.3,9.4
68,Jastrzębia Góra,3906,9.2,9.9
69,Jastrzębia Góra,6338,9.5,8.9
70,Jastrzębia Góra,5046,9.6,9.3
71,Jastrzębia Góra,3962,9.4,9.0
72,Jastrzębia Góra,3267,9.6,10.0
73,Jastrzębia Góra,3184,9.3,9.3
74,Jastrzębia Góra,2472,9.8,9.9
75,Jastrzębia Góra,2582,8.7,9.2
76,Jastrzębia Góra,4802,9.2,9.5
77,Jastrzębia Góra,2009,9.1,9.4
78,Jastrzębia Góra,2013,10.0,8.6
79,Jastrzębia Góra,4001,9.7,9.7
80,Jastrzębia Góra,4893,9.7,8.6
81,Jastrzębia Góra,4082,9.1,9.2
82,Jastrzębia Góra,5082,9.5,9.6
83,Jastrzębia Góra,3353,9.8,8.9
84,Jastrzębia Góra,3704,9.0,8.8
85,Jastrzębia Góra,3083,9.8,9.5
86,Jastrzębia Góra,3137,8.8,9.1
87,Jastrzębia Góra,4013,10.0,9.2
88,Jastrzębia Góra,3507,9.6,9.2
89,Jastrzębia Góra,3192,9.1,9.5
90,Jastrzębia Góra,3884,10.0,9.3
91,Jastrzębia Góra,2832,9.6,9.7
92,Jastrzębia Góra,4134,9.0,8.1
93,Jastrzębia Góra,4531,9.3,9.4
94,Jastrzębia Góra,5937,9.3,9.1
95,Jastrzębia Góra,3627,9.4,10.0
96,Jastrzębia Góra,2269,9.1,8.2
