,City,Cost,Rating,Comfort
0,Kołobrzeg,4510,9.7,8.8
1,Kołobrzeg,2226,9.6,9.7
2,Kołobrzeg,3326,9.7,10.0
3,"Dzielnica Uzdrowiskowa, Kołobrzeg",2768,10.0,10.0
4,Kołobrzeg,2502,8.5,10.0
5,Kołobrzeg,3732,10.0,10.0
6,Kołobrzeg,3818,6.0,9.7
7,Kołobrzeg,3219,9.4,10.0
8,"Dzielnica Uzdrowiskowa, Kołobrzeg",3474,9.7,8.3
9,Kołobrzeg,3729,8.1,9.2
10,Kołobrzeg,2787,7.5,9.3
11,Kołobrzeg,4362,9.0,9.5
12,Kołobrzeg,2884,8.9,9.9
13,Kołobrzeg,3190,9.4,8.8
14,Kołobrzeg,2167,9.6,9.2
15,Kołobrzeg,4636,9.7,9.3
16,"Dzielnica Uzdrowiskowa, Kołobrzeg",3334,8.8,9.7
17,Kołobrzeg,2671,9.2,8.9
18,Kołobrzeg,3357,9.4,9.4
19,Kołobrzeg,4611,9.4,9.2
20,Kołobrzeg,1625,9.1,10.0
21,"Dzielnica Uzdrowiskowa, Kołobrzeg",3144,9.3,10.0
22,Kołobrzeg,5624,10.0,9.8
23,Kołobrzeg,5783,9.4,9.0
24,"Dzielnica Uzdrowiskowa, Kołobrzeg",3615,9.6,10.0
25,Kołobrzeg,6410,8.1,10.0
26,"Dzielnica Uzdrowiskowa, Kołobrzeg",3473,10.0,10.0
27,"Dzielnica Uzdrowiskowa, Kołobrzeg",3266,7.3,8.2
28,"Dzielnica Uzdrowiskowa, Kołobrzeg",7306,9.8,9.0
29,Kołobrzeg,3326,10.0,10.0
30,Kołobrzeg,4359,8.2,9.2
31,"Dzielnica Uzdrowiskowa, Kołobrzeg",8812,10.0,8.6
32,Kołobrzeg,5397,8.7,9.0
33,"Śródmieście, Kołobrzeg",4743,10.0,10.0
34,Kołobrzeg,5830,9.0,8.1
35,"Dzielnica Uzdrowiskowa, Kołobrzeg",2768,9.1,8.3
36,"Dzielnica Uzdrowiskowa, Kołobrzeg",10398,8.8,8.1
