,City,Cost,Rating,Comfort
0,Pobierowo,3437,9.2,9.4
1,Pobierowo,2276,9.7,10.0
2,Pobierowo,6418,8.8,8.5
3,Pobierowo,2457,10.0,10.0
4,Pobierowo,2344,9.5,9.6
5,Pobierowo,3878,9.7,9.6
6,Pobierowo,2233,8.9,8.4
7,Pobierowo,4025,9.0,8.8
8,Pobierowo,2842,9.2,8.8
9,Pobierowo,3961,9.5,10.0
10,Pobierowo,3860,8.7,9.1
11,Pobierowo,4242,9.6,9.6
12,Pobierowo,5942,9.3,9.3
13,Pobierowo,4663,8.1,8.4
14,Pobierowo,4515,9.0,9.0
15,Pobierowo,6265,9.3,9.3
16,Pobierowo,4102,8.2,8.1
17,Pobierowo,14999,9.5,9.2
18,Pobierowo,4143,9.3,9.5
19,Pobierowo,3192,9.2,8.0
20,Pobierowo,4893,8.8,8.5
21,Pobierowo,6278,9.0,9.7
22,Pobierowo,9563,8.8,8.9
23,Pobierowo,3792,8.1,10.0
24,Pobierowo,3402,8.7,10.0
25,Pobierowo,7608,10.0,9.0
26,Pobierowo,2072,7.8,8.5
27,Pobierowo,3546,7.7,9.5
28,Pobierowo,3531,9.3,8.9
29,Pobierowo,2344,8.9,9.2
30,Pobierowo,6965,9.1,9.3
31,Pobierowo,3500,9.5,9.4
32,Pobierowo,3552,7.0,8.4
33,Pobierowo,2562,9.4,8.8
34,Pobierowo,6919,8.3,9.1
35,Pobierowo,3878,8.7,9.2
36,Pobierowo,9967,9.2,9.4
37,Pobierowo,5202,8.7,9.2
38,Pobierowo,5145,7.4,8.6
39,Pobierowo,3542,9.7,8.2
40,Pobierowo,3457,9.3,9.8
41,Pobierowo,3892,8.5,8.8
42,Pobierowo,3822,7.5,9.6
43,Pobierowo,3892,9.0,9.3
44,Pobierowo,5723,8.0,9.3
45,Pobierowo,7245,9.8,9.5
46,Pobierowo,3322,8.8,8.9
47,Pobierowo,2450,9.7,8.4
48,Pobierowo,5424,9.7,9.2
49,Pobierowo,3382,8.1,9.1
50,Pobierowo,4452,9.5,8.3
51,Pobierowo,3298,9.2,8.9
52,Pobierowo,3937,8.8,8.7
53,Pobierowo,2678,8.6,8.7
54,Pobierowo,4025,8.7,8.5
55,Pobierowo,3500,9.2,8.5
56,Pobierowo,3617,9.2,8.6
57,Pobierowo,4732,6.3,9.3
58,Pobierowo,4092,8.9,8.3
59,Pobierowo,3587,8.7,9.7
60,Pobierowo,2842,8.6,8.0
61,Pobierowo,4600,7.9,8.0
62,Pobierowo,3674,8.7,9.2
63,Pobierowo,3962,8.6,9.4
64,Pobierowo,3500,9.1,9.6
65,Pobierowo,3973,8.7,9.2
66,Pobierowo,4673,9.9,9.2
67,Pobierowo,4482,8.8,9.2
68,Pobierowo,3283,8.2,9.0
69,Pobierowo,4031,7.3,9.4
70,Pobierowo,2313,9.5,8.8
71,Pobierowo,10658,9.4,9.2
72,Pobierowo,3593,7.9,9.7
73,Pobierowo,4644,9.4,8.2
74,Pobierowo,1873,9.4,9.2
75,Pobierowo,4206,8.8,9.4
76,Pobierowo,3052,8.5,8.4
77,Pobierowo,3552,9.1,8.0
78,Pobierowo,4305,8.2,9.2
79,Pobierowo,3961,9.1,9.3
80,Pobierowo,4292,9.2,8.8
81,Pobierowo,2572,9.4,8.8
82,Pobierowo,4942,9.5,8.6
83,Pobierowo,5200,7.9,9.4
84,Pobierowo,3773,9.1,9.7
85,Pobierowo,5942,9.5,8.5
86,Pobierowo,3822,8.7,9.4
87,Pobierowo,2653,8.3,10.0
88,Pobierowo,3588,9.1,9.1
89,Pobierowo,5488,9.5,8.9
90,Pobierowo,4502,9.0,8.9
91,Pobierowo,5463,8.7,10.0
92,Pobierowo,4317,8.8,9.2
93,Pobierowo,4688,6.8,10.0
94,Pobierowo,2408,9.2,9.6
95,Pobierowo,2467,9.6,8.7
96,Pobierowo,4242,8.8,9.0
97,Pobierowo,4347,9.5,8.9
98,Pobierowo,3122,9.9,10.0
99,Pobierowo,5712,9.0,9.3
100,Pobierowo,6089,8.4,9.4
101,Pobierowo,3270,8.8,9.5
102,Pobierowo,9354,9.5,8.7
103,Pobierowo,7745,9.3,9.5
104,Pobierowo,4663,9.5,9.2
105,Pobierowo,3763,7.7,9.0
106,Pobierowo,7042,9.5,9.8
107,Pobierowo,4998,9.0,10.0
108,Pobierowo,5642,7.8,10.0
109,Pobierowo,4182,9.1,9.5
110,Pobierowo,4515,8.1,9.6
111,Pobierowo,5425,8.8,8.2
112,Pobierowo,3362,9.7,10.0
113,Pobierowo,4050,9.6,9.1
114,Pobierowo,5250,8.7,8.3
115,Pobierowo,4343,9.6,9.3
116,Pobierowo,3644,8.8,10.0
117,Pobierowo,5744,9.1,10.0
118,Pobierowo,1913,9.0,9.1
119,Pobierowo,3332,9.0,9.5
120,Pobierowo,4732,9.1,10.0
121,Pobierowo,3500,9.3,9.8
122,Pobierowo,4452,9.5,9.2
123,Pobierowo,4242,9.5,8.9
124,Pobierowo,4062,7.0,9.7
125,Pobierowo,5090,9.3,9.1
126,Pobierowo,6630,8.3,8.4
127,Pobierowo,3440,9.7,8.4
128,Pobierowo,4353,8.9,9.0
129,Pobierowo,6265,8.9,9.4
130,Pobierowo,3311,9.3,8.4
131,Pobierowo,4165,7.7,9.0
132,Pobierowo,3661,10.0,9.4
133,Pobierowo,3140,9.8,9.1
134,Pobierowo,3542,9.3,10.0
135,Pobierowo,4102,9.5,8.8
