,City,Cost,Rating,Comfort
0,Rewal,4610,9.5,8.8
1,Rewal,3315,10.0,10.0
2,Rewal,2042,9.5,8.8
3,Rewal,5091,9.0,10.0
4,Rewal,3453,9.3,9.2
5,Rewal,3063,8.0,8.1
6,Rewal,4891,8.2,8.3
7,Rewal,1996,9.2,10.0
8,Rewal,4955,10.0,8.9
9,Rewal,10340,8.1,9.0
10,Rewal,2850,9.0,9.4
11,Rewal,3483,9.2,9.5
12,Rewal,2006,9.5,9.3
13,Rewal,7906,9.4,9.3
14,Rewal,3052,8.7,9.5
15,Rewal,3829,9.0,9.2
16,Rewal,7658,9.3,8.9
17,Rewal,4040,9.4,8.0
18,Rewal,2974,8.7,8.4
19,Rewal,8506,7.0,8.9
20,Rewal,6826,8.0,9.1
21,Rewal,4477,8.3,9.0
22,Rewal,5148,9.1,8.3
23,Rewal,7552,9.1,8.8
24,Rewal,5879,9.1,9.4
25,Rewal,1885,8.5,8.6
26,Rewal,4613,8.2,8.6
27,Rewal,3173,8.7,8.7
28,Rewal,2989,9.2,9.3
29,Rewal,2111,8.7,9.5
30,Rewal,2348,8.8,9.2
31,Rewal,2142,8.9,8.3
32,Rewal,3033,9.1,9.0
33,Rewal,2788,7.5,9.3
34,Rewal,2235,9.3,8.4
35,Rewal,5190,7.9,9.2
36,Rewal,4390,9.5,9.6
37,Rewal,3315,8.0,8.5
38,Rewal,2153,8.6,9.2
39,Rewal,4914,9.2,9.6
40,Rewal,8453,8.1,8.3
41,Rewal,3247,9.4,8.9
42,Rewal,4235,8.3,9.3
43,Rewal,1819,7.7,9.5
44,Rewal,3969,9.3,8.0
45,Rewal,2932,9.2,9.5
46,Rewal,2467,8.0,8.1
47,Rewal,3500,8.9,9.1
48,Rewal,5723,9.5,9.4
49,Rewal,2474,7.8,8.0
50,Rewal,2790,8.9,8.4
51,Rewal,4331,8.9,9.1
52,Rewal,4178,7.4,8.6
53,Rewal,7332,9.5,8.7
54,Rewal,6887,8.2,9.1
55,Rewal,4924,9.4,8.3
56,Rewal,4719,8.1,8.8
57,Rewal,6202,9.0,8.0
58,Rewal,4951,7.8,8.6
59,Rewal,3969,9.1,9.8
60,Rewal,7965,8.0,9.1
61,Rewal,4152,8.3,9.5
62,Rewal,3053,9.1,8.9
63,Rewal,5247,8.9,8.4
64,Rewal,4393,8.7,9.2
65,Rewal,5110,9.1,9.7
66,Rewal,7346,7.9,9.4
67,Rewal,4246,9.0,8.8
68,Rewal,3453,8.2,9.2
69,Rewal,9772,8.6,9.7
70,Rewal,3386,9.6,10.0
71,Rewal,1942,9.1,8.4
72,Rewal,5098,9.4,8.6
73,Rewal,4296,8.5,8.2
74,Rewal,2660,8.4,8.3
75,Rewal,4037,9.3,8.7
76,Rewal,2169,9.7,9.4
77,Rewal,4679,9.7,9.3
78,Rewal,2202,9.0,9.2
79,Rewal,4717,9.1,9.5
80,Rewal,1564,9.9,8.1
81,Rewal,4470,7.6,9.6
82,Rewal,5072,9.6,9.6
83,Rewal,4242,8.8,9.3
84,Rewal,2671,9.1,9.8
85,Rewal,5135,8.1,9.6
86,Rewal,2602,8.5,8.8
87,Rewal,3979,8.3,8.9
88,Rewal,2016,8.6,8.1
89,Rewal,4765,9.2,9.1
90,Rewal,6412,9.2,9.0
91,Rewal,7998,6.3,9.8
92,Rewal,1316,7.7,9.0
93,Rewal,2631,9.8,8.2
94,Rewal,4456,6.0,8.0
95,Rewal,1842,9.0,10.0
96,Rewal,1837,9.4,8.0
97,Rewal,3969,9.4,8.2
98,Rewal,6146,8.8,8.4
99,Rewal,4393,9.5,8.7
100,Rewal,5397,9.4,8.1
101,Rewal,10715,9.2,10.0
102,Rewal,2987,7.4,8.6
103,Rewal,5256,7.8,8.5
104,Rewal,6565,8.7,8.9
105,Rewal,6444,8.6,8.3
106,Rewal,6566,8.9,10.0
107,Rewal,7955,8.8,8.5
108,Rewal,6556,8.2,9.3
109,Rewal,6389,9.6,8.9
110,Rewal,3212,9.3,9.0
111,Rewal,3595,8.4,8.6
112,Rewal,4369,8.4,9.5
113,Rewal,3707,9.2,9.0
114,Rewal,1479,8.6,8.9
115,Rewal,2006,8.9,9.6
116,Rewal,5251,8.3,8.6
117,Rewal,3184,8.5,8.9
118,Rewal,4632,8.0,8.9
119,Rewal,5830,10.0,9.3
120,Rewal,3112,9.0,8.4
121,Rewal,4977,8.9,9.0
122,Rewal,4826,8.9,8.2
123,Rewal,3962,8.8,9.2
124,Rewal,2502,10.0,8.8
125,Rewal,5135,8.6,9.3
126,Rewal,8564,9.5,8.3
127,Rewal,4128,7.9,8.1
128,Rewal,2315,8.7,9.5
129,Rewal,3027,9.1,9.3
130,Rewal,2147,8.4,8.7
131,Rewal,3490,9.5,8.9
132,Rewal,4754,8.8,8.8
133,Rewal,2219,8.6,9.2
134,Rewal,2510,9.2,8.9
135,Rewal,3570,8.9,9.2
136,Rewal,2422,8.9,8.2
137,Rewal,9172,9.1,9.0
138,Rewal,4019,9.2,10.0
139,Rewal,1868,7.9,9.4
140,Rewal,1809,9.0,8.8
141,Rewal,2936,8.3,9.5
142,Rewal,3190,9.7,9.5
143,Rewal,5123,8.9,8.9
144,Rewal,2595,9.4,10.0
145,Rewal,4640,8.5,10.0
146,Rewal,5199,8.0,8.8
147,Rewal,3315,9.4,10.0
148,Rewal,5123,8.7,10.0
149,Rewal,2787,9.4,9.5
150,Rewal,3652,9.1,9.5
151,Rewal,2125,8.8,9.2
152,Rewal,3315,8.7,9.2
153,Rewal,5135,8.5,10.0
154,Rewal,2784,9.1,9.5
155,Rewal,7186,8.5,8.4
156,Rewal,4110,8.5,10.0
157,Rewal,5946,9.0,10.0
