,City,Cost,Rating,Comfort
0,Stegna,3790,9.3,10.0
1,Stegna,3348,9.7,10.0
2,Stegna,6023,9.7,9.8
3,Stegna,2565,8.1,8.1
4,Stegna,3661,7.8,8.8
5,Stegna,2481,9.1,8.6
6,Stegna,1928,8.7,8.6
7,Stegna,3445,8.9,8.5
8,Stegna,1858,8.9,8.0
9,Stegna,1858,8.2,10.0
10,Stegna,1487,10.0,9.3
11,Stegna,4902,9.3,8.4
12,Stegna,2590,8.9,9.3
13,Stegna,3030,9.2,8.6
14,Stegna,2520,7.0,9.7
15,Stegna,1648,8.8,9.3
16,Stegna,3883,9.6,8.2
17,Stegna,2793,9.5,8.2
18,Stegna,2529,8.5,9.2
19,Stegna,2660,8.4,8.6
20,Stegna,1788,9.3,8.4
21,Stegna,3652,7.6,8.8
22,Stegna,3237,8.8,10.0
23,Stegna,2534,8.6,9.6
24,Stegna,2313,5.0,9.0
25,Stegna,3444,9.2,9.0
26,Stegna,2565,9.7,9.8
27,Stegna,2896,9.5,8.5
28,Stegna,3258,8.9,8.1
29,Stegna,6023,9.2,10.0
30,Stegna,3500,9.4,9.0
31,Stegna,1888,9.2,10.0
32,Stegna,1879,8.1,9.1
33,Stegna,3458,9.8,8.6
34,Stegna,3500,9.0,8.9
35,Stegna,3661,7.6,8.8
36,Stegna,3870,9.7,8.5
37,Stegna,4185,9.6,8.8
38,Stegna,5510,8.2,9.3
39,Stegna,4109,9.5,9.6
40,Stegna,3381,8.8,10.0
41,Stegna,3182,8.1,9.5
42,Stegna,2896,8.8,9.2
43,Stegna,2278,9.2,8.6
44,Stegna,3048,9.3,8.5
45,Stegna,2053,9.7,9.4
46,Stegna,3720,10.0,9.0
47,Stegna,2450,9.7,9.4
48,Stegna,3780,9.2,9.1
49,Stegna,1718,7.8,8.3
50,Stegna,4000,8.7,8.2
51,Stegna,4388,8.8,9.1
52,Stegna,3176,9.2,9.1
53,Stegna,2138,8.6,9.2
54,Stegna,3445,9.5,9.1
55,Stegna,3671,7.8,8.6
56,Stegna,2180,9.1,8.9
57,Stegna,3958,8.7,10.0
58,Stegna,2138,8.2,9.3
59,Stegna,2138,8.9,9.0
60,Stegna,4902,7.0,9.6
61,Stegna,4116,9.1,9.6
62,Stegna,1998,8.0,9.5
63,Stegna,1835,9.2,8.0
64,Stegna,4588,8.1,9.6
65,Stegna,2838,7.9,8.7
66,Stegna,3000,8.9,8.3
67,Stegna,3866,8.8,8.6
68,Stegna,3771,8.8,9.2
69,Stegna,3888,1.0,8.2
70,Stegna,2085,10.0,9.9
