,City,Cost,Rating,Comfort
0,Ustronie Morskie,5082,9.3,9.3
1,Ustronie Morskie,3327,9.3,9.2
2,Ustronie Morskie,3598,8.0,8.2
3,Ustronie Morskie,1932,8.5,10.0
4,Ustronie Morskie,5732,10.0,10.0
5,Ustronie Morskie,2569,10.0,8.8
6,Ustronie Morskie,3822,8.5,10.0
7,Ustronie Morskie,4032,10.0,9.2
8,Ustronie Morskie,13727,9.1,10.0
9,Ustronie Morskie,4697,9.0,9.2
10,Ustronie Morskie,2856,9.2,8.8
11,Ustronie Morskie,5942,8.8,9.7
12,Ustronie Morskie,3378,9.8,10.0
13,Ustronie Morskie,1652,10.0,8.9
14,Ustronie Morskie,2872,8.3,9.2
15,Ustronie Morskie,2720,8.0,8.7
16,Ustronie Morskie,3112,9.3,8.9
17,Ustronie Morskie,4562,8.7,8.7
18,Ustronie Morskie,5942,7.7,10.0
19,Ustronie Morskie,4400,9.0,10.0
20,Ustronie Morskie,6692,8.5,9.3
21,Ustronie Morskie,3656,10.0,10.0
22,Ustronie Morskie,6768,9.8,9.5
23,Ustronie Morskie,4478,9.2,8.8
24,Ustronie Morskie,5642,7.4,9.2
25,Ustronie Morskie,2293,10.0,8.2
26,Ustronie Morskie,2439,9.6,8.7
27,Ustronie Morskie,2842,8.5,8.9
28,Ustronie Morskie,3292,8.9,8.9
29,Ustronie Morskie,3822,9.0,10.0
30,Ustronie Morskie,3476,8.7,9.1
31,Ustronie Morskie,4942,8.9,9.4
32,Ustronie Morskie,4529,8.6,10.0
33,Ustronie Morskie,2769,10.0,9.0
34,Ustronie Morskie,3957,9.2,8.6
35,Ustronie Morskie,4032,9.4,9.3
36,Ustronie Morskie,4078,9.6,9.4
37,Ustronie Morskie,3642,9.2,9.8
38,Ustronie Morskie,3950,8.7,9.4
39,Ustronie Morskie,8470,9.3,9.1
40,Ustronie Morskie,3506,9.6,8.9
41,Ustronie Morskie,4822,9.8,10.0
42,Ustronie Morskie,4269,9.7,9.5
43,Ustronie Morskie,2842,9.1,8.8
44,Ustronie Morskie,3522,8.8,9.5
45,Ustronie Morskie,7790,10.0,10.0
46,Ustronie Morskie,2037,9.5,9.0
47,Ustronie Morskie,2013,7.5,9.5
48,Ustronie Morskie,4767,9.5,9.1
49,Ustronie Morskie,3122,9.4,8.7
50,Ustronie Morskie,2917,9.8,9.5
51,Ustronie Morskie,3633,9.1,10.0
52,Ustronie Morskie,2198,9.1,8.9
53,Ustronie Morskie,2507,9.2,9.3
54,Ustronie Morskie,13727,8.9,9.0
55,Ustronie Morskie,3402,9.6,9.2
56,Ustronie Morskie,2352,9.9,9.5
57,Ustronie Morskie,2100,8.8,9.2
58,Ustronie Morskie,5642,9.4,9.0
59,Ustronie Morskie,4822,9.2,8.0
60,Ustronie Morskie,4697,9.0,8.7
61,Ustronie Morskie,7845,8.4,8.7
62,Ustronie Morskie,3013,9.3,9.1
63,Ustronie Morskie,2016,9.4,8.6
64,Ustronie Morskie,3578,8.2,9.7
65,Ustronie Morskie,1652,8.9,9.2
66,Ustronie Morskie,5547,8.6,10.0
67,Ustronie Morskie,7842,9.0,8.4
68,Ustronie Morskie,7392,8.2,9.3
69,Ustronie Morskie,2898,9.7,10.0
70,Ustronie Morskie,1615,9.0,8.8
71,Ustronie Morskie,2310,9.0,8.4
72,Ustronie Morskie,5727,8.9,8.4
73,Ustronie Morskie,8166,9.6,10.0
74,Ustronie Morskie,8243,9.6,10.0
75,Ustronie Morskie,3833,8.8,9.2
76,Ustronie Morskie,5166,8.7,8.8
77,Ustronie Morskie,3670,8.4,8.1
