,City,Cost,Rating,Comfort
0,Władysławowo,1832,9.0,8.8
1,Władysławowo,1479,9.2,9.5
2,Władysławowo,2694,9.0,8.8
3,Władysławowo,2484,9.9,9.9
4,Władysławowo,1562,9.2,8.9
5,Władysławowo,1791,3.0,10.0
6,Władysławowo,3767,10.0,9.1
7,Władysławowo,10856,9.1,9.2
8,Władysławowo,4549,8.3,9.6
9,Władysławowo,5020,9.7,9.6
10,Władysławowo,4486,9.6,8.5
11,Władysławowo,5284,8.9,8.8
12,Władysławowo,1692,10.0,8.9
13,Władysławowo,1774,8.9,8.6
14,Władysławowo,2157,8.8,8.8
15,Władysławowo,1632,9.1,8.2
16,Władysławowo,1994,8.2,8.6
17,Władysławowo,2677,8.8,8.8
18,Władysławowo,3349,8.8,9.0
19,Władysławowo,2318,8.8,8.8
20,Władysławowo,3386,8.5,10.0
21,Władysławowo,4795,9.0,10.0
22,Władysławowo,4957,10.0,8.5
23,Władysławowo,3371,8.0,8.4
24,Władysławowo,4193,10.0,8.8
25,Władysławowo,7130,9.1,9.1
26,Władysławowo,3898,8.0,9.3
27,Władysławowo,1422,8.3,9.5
28,Władysławowo,2855,8.8,8.8
29,Władysławowo,3767,9.3,10.0
30,Władysławowo,3359,9.2,8.1
31,Władysławowo,3026,9.3,8.9
32,Władysławowo,3184,9.2,9.6
33,Władysławowo,1377,10.0,8.7
34,Władysławowo,4216,8.5,8.6
35,Władysławowo,5020,9.3,8.6
36,Władysławowo,2673,9.6,10.0
37,Władysławowo,5100,8.6,10.0
38,Władysławowo,2711,8.5,10.0
39,Władysławowo,2147,8.7,8.3
40,Władysławowo,1417,9.0,8.6
41,Władysławowo,1737,9.3,9.4
42,Władysławowo,3534,10.0,8.5
43,Władysławowo,1947,8.3,9.2
44,Władysławowo,1457,8.7,8.5
45,Władysławowo,2997,9.6,9.7
46,Władysławowo,3729,8.0,10.0
47,Władysławowo,1798,9.3,10.0
48,Władysławowo,2717,8.3,10.0
49,Władysławowo,2034,8.6,9.3
50,Władysławowo,2632,9.7,8.7
51,Władysławowo,1597,10.0,8.3
52,Władysławowo,3184,8.3,9.4
53,Władysławowo,3562,10.0,9.1
54,Władysławowo,5284,10.0,9.7
55,Władysławowo,3362,9.3,9.8
56,Władysławowo,4340,8.9,9.8
57,Władysławowo,6520,9.0,8.3
58,Władysławowo,3374,9.4,8.8
59,Władysławowo,1767,9.1,8.9
60,Władysławowo,2157,9.5,9.8
61,Władysławowo,7252,9.6,9.3
62,Władysławowo,3058,9.7,8.9
63,Władysławowo,2697,8.2,9.2
64,Władysławowo,3979,10.0,9.6
65,Władysławowo,7097,8.6,9.4
66,Władysławowo,1597,9.9,8.8
67,Władysławowo,1784,8.5,8.8
68,Władysławowo,4341,7.1,9.8
69,Władysławowo,3457,7.3,8.7
70,Władysławowo,3487,9.5,9.3
71,Władysławowo,2458,7.4,9.2
