,City,Cost,Rating,Comfort
0,Łeba,5640,9.7,10.0
1,Łeba,2713,9.0,9.0
2,Łeba,1252,8.6,8.4
3,Łeba,3900,7.0,9.0
4,Łeba,4253,8.0,9.2
5,Łeba,1510,9.1,10.0
6,Łeba,2149,9.3,9.4
7,Łeba,7177,9.8,8.7
8,Łeba,2483,9.2,9.2
9,Łeba,4020,9.4,8.5
10,Łeba,3680,9.2,8.2
11,Łeba,4603,8.9,9.4
12,Łeba,1489,8.3,9.1
13,Łeba,2440,9.3,8.4
14,Łeba,5334,5.6,9.7
15,Łeba,4170,8.6,9.2
16,Łeba,2820,8.6,8.7
17,Łeba,3640,10.0,8.8
18,Łeba,2345,9.1,9.1
19,Łeba,4030,8.9,9.8
20,Łeba,1140,8.9,9.0
21,Łeba,7843,9.0,8.9
22,Łeba,1571,8.1,8.8
23,Łeba,5078,9.8,9.1
24,Łeba,3716,9.2,9.4
25,Łeba,1834,9.0,9.8
26,Łeba,3946,8.9,10.0
27,Łeba,2121,9.1,9.8
28,Łeba,2511,9.3,9.1
29,Łeba,3192,9.6,9.2
30,Łeba,4233,9.7,8.1
31,Łeba,4579,9.5,9.6
32,Łeba,16638,8.9,9.6
33,Łeba,2524,9.4,8.2
34,Łeba,2140,8.2,9.9
35,Łeba,2140,9.1,9.3
36,Łeba,2940,9.7,9.3
37,Łeba,4786,8.2,9.5
38,Łeba,1792,9.5,8.8
39,Łeba,2825,9.3,8.3
40,Łeba,2695,9.1,9.3
41,Łeba,2040,9.3,8.5
42,Łeba,3316,8.9,9.3
43,Łeba,5338,8.4,8.6
44,Łeba,2517,9.1,8.3
45,Łeba,3878,8.0,9.1
46,Łeba,4800,8.7,8.7
47,Łeba,4844,9.3,8.9
48,Łeba,9262,9.4,9.5
49,Łeba,6245,8.1,8.4
50,Łeba,11323,9.1,8.8
51,Łeba,3190,8.7,9.2
52,Łeba,4466,9.0,9.4
53,Łeba,4492,9.5,8.8
54,Łeba,4809,8.3,8.8
55,Łeba,2845,8.3,9.2
56,Łeba,5034,9.4,9.2
57,Łeba,4558,9.4,9.3
58,Łeba,8527,8.8,9.6
59,Łeba,3933,9.1,9.4
60,Łeba,5320,9.2,8.8
61,Łeba,4043,9.3,8.7
62,Łeba,3532,9.0,9.3
63,Łeba,3780,9.2,8.2
64,Łeba,4116,9.3,8.8
65,Łeba,2898,8.8,8.8
66,Łeba,1700,8.9,8.7
67,Łeba,2348,9.3,9.1
68,Łeba,4583,8.1,9.9
69,Łeba,2352,7.9,8.6
70,Łeba,1825,8.5,9.1
71,Łeba,2457,8.9,8.3
72,Łeba,2110,9.0,9.3
73,Łeba,3764,9.3,9.7
74,Łeba,2223,9.7,9.7
75,Łeba,5174,8.3,9.4
76,Łeba,4205,7.3,9.2
77,Łeba,1370,9.0,9.0
78,Łeba,1701,8.3,9.8
79,Łeba,1736,9.3,8.9
80,Łeba,1580,9.5,8.8
81,Łeba,2562,9.6,9.1
82,Łeba,3333,9.3,9.2
83,Łeba,2120,9.2,8.1
84,Łeba,4837,9.1,9.6
85,Łeba,3540,9.6,9.3
86,Łeba,1720,9.1,9.6
87,Łeba,1642,9.0,9.4
88,Łeba,3500,9.0,8.6
89,Łeba,2072,9.2,8.8
90,Łeba,1930,8.4,8.5
91,Łeba,6440,8.1,9.4
92,Łeba,3140,7.9,10.0
93,Łeba,7647,8.2,8.9
94,Łeba,2514,7.4,8.9
95,Łeba,3680,9.6,8.3
96,Łeba,2677,9.4,8.3
97,Łeba,4887,9.6,9.2
98,Łeba,1440,9.2,8.9
99,Łeba,6328,8.9,8.4
100,Łeba,3680,8.9,8.7
101,Łeba,3742,9.0,8.9
102,Łeba,1405,9.5,9.2
103,Łeba,3540,7.5,9.0
104,Łeba,2457,9.9,8.9
105,Łeba,5267,9.2,9.2
106,Łeba,3304,9.0,9.1
107,Łeba,5942,8.7,8.5
108,Łeba,5607,8.4,8.7
109,Łeba,1965,9.2,9.9
110,Łeba,3476,8.7,9.2
111,Łeba,6997,5.9,8.1
112,Łeba,8440,8.5,9.5
113,Łeba,3710,8.8,9.5
114,Łeba,4306,9.3,8.8
115,Łeba,3273,9.2,8.7
116,Łeba,3506,7.4,8.5
117,Łeba,3586,9.1,9.2
118,Łeba,9583,9.0,9.3
119,Łeba,1853,9.6,9.9
120,Łeba,1750,7.3,9.7
121,Łeba,2252,9.0,8.7
122,Łeba,1405,8.9,9.0
123,Łeba,2906,8.9,8.5
124,Łeba,1750,9.7,8.4
125,Łeba,6318,9.6,10.0
126,Łeba,2748,8.1,8.3
127,Łeba,1803,7.6,9.4
128,Łeba,2282,9.5,8.3
129,Łeba,1810,9.5,9.4
130,Łeba,2853,9.0,9.3
131,Łeba,2667,8.9,9.1
132,Łeba,3553,8.7,8.9
133,Łeba,2840,9.0,8.7
134,Łeba,5456,9.2,8.6
135,Łeba,1890,6.8,9.5
136,Łeba,1582,9.6,10.0
137,Łeba,4240,9.5,10.0
138,Łeba,6965,9.2,8.8
139,Łeba,4393,9.4,9.7
140,Łeba,3420,8.9,10.0
141,Łeba,1890,8.3,9.7
142,Łeba,2860,9.9,9.6
143,Łeba,3430,8.3,9.4
144,Łeba,2082,9.1,8.8
145,Łeba,5992,8.6,9.7
146,Łeba,5600,9.2,10.0
147,Łeba,2140,9.1,10.0
148,Łeba,4240,8.0,9.6
149,Łeba,2200,9.2,8.1
150,Łeba,4872,8.3,8.9
151,Łeba,5488,9.0,9.4
152,Łeba,3000,9.2,9.0
153,Łeba,1720,9.6,8.8
154,Łeba,2919,10.0,8.0
155,Łeba,4760,10.0,8.9
156,Łeba,3942,8.7,8.9
157,Łeba,4086,5.2,9.8
158,Łeba,2168,9.4,8.9
159,Łeba,3260,10.0,8.8
160,Łeba,3290,9.3,9.4
161,Łeba,2420,9.5,9.2
162,Łeba,4043,9.0,9.1
163,Łeba,6340,7.9,9.3
164,Łeba,6500,9.0,9.3
165,Łeba,6234,9.5,9.8
166,Łeba,2554,9.5,9.2
167,Łeba,3651,8.0,9.6
168,Łeba,3551,5.0,9.3
169,Łeba,3049,8.5,8.5
170,Łeba,4940,9.5,9.0
171,Łeba,3483,9.0,8.0
172,Łeba,4393,8.8,9.7
173,Łeba,14909,9.5,8.4
174,Łeba,4093,9.1,9.0
175,Łeba,3133,8.7,9.1
176,Łeba,2770,7.8,9.5
177,Łeba,4242,8.9,9.4
178,Łeba,1405,9.1,8.8
179,Łeba,3301,6.5,8.9
180,Łeba,4240,9.6,9.9
181,Łeba,4732,8.9,9.5
182,Łeba,4233,9.1,8.3
183,Łeba,6353,9.5,9.2
184,Łeba,3944,9.2,9.8
185,Łeba,1965,9.1,8.9
186,Łeba,3133,9.2,9.0
187,Łeba,3710,9.3,9.2
188,Łeba,3148,9.7,8.8
189,Łeba,2912,9.3,8.0
190,Łeba,4576,9.6,9.2
191,Łeba,3890,9.2,8.5
192,Łeba,6340,9.0,8.8
193,Łeba,3120,9.0,8.3
194,Łeba,10721,8.6,9.6
195,Łeba,3060,9.6,8.7
196,Łeba,4046,8.4,9.0
197,Łeba,2704,7.4,8.9
198,Łeba,2667,8.9,8.7
199,Łeba,5562,9.1,8.6
200,Łeba,4620,9.4,8.2
201,Łeba,4276,6.4,9.3
202,Łeba,2490,9.6,8.9
203,Łeba,3540,9.0,9.2
204,Łeba,5232,8.9,9.4
205,Łeba,3211,9.8,8.4
206,Łeba,4485,9.3,9.4
207,Łeba,3190,8.5,10.0
208,Łeba,1860,9.3,9.5
209,Łeba,1574,8.8,8.5
210,Łeba,4173,9.1,10.0
211,Łeba,3260,9.3,9.4
212,Łeba,2856,9.6,9.1
213,Łeba,2772,9.0,9.4
214,Łeba,3850,8.5,9.8
215,Łeba,2846,9.0,9.3
216,Łeba,3850,8.6,8.0
217,Łeba,2030,8.8,8.8
218,Łeba,4172,8.3,8.9
219,Łeba,6300,9.5,8.6
220,Łeba,2720,7.5,9.5
221,Łeba,2006,8.5,9.3
222,Łeba,2273,9.2,8.4
223,Łeba,3190,9.2,8.8
224,Łeba,2275,8.6,9.5
225,Łeba,4240,7.7,9.7
226,Łeba,4856,8.7,9.8
227,Łeba,2807,8.6,9.4
228,Łeba,2656,9.4,8.6
229,Łeba,6040,7.2,8.6
230,Łeba,4942,9.1,9.1
231,Łeba,2856,7.4,9.5
232,Łeba,3696,8.8,9.1
233,Łeba,2975,9.4,8.5
234,Łeba,3746,7.7,8.9
235,Łeba,2380,8.8,10.0
236,Łeba,6130,9.3,10.0
237,Łeba,4673,9.5,10.0
238,Łeba,2002,9.4,10.0
239,Łeba,2270,8.4,8.8
240,Łeba,3703,9.6,9.5
241,Łeba,4408,9.3,9.6
242,Łeba,2772,9.2,10.0
243,Łeba,3253,9.3,8.8
244,Łeba,3600,8.9,9.7
245,Łeba,3944,9.3,8.3
246,Łeba,2120,7.1,9.7
247,Łeba,4453,8.2,9.3
248,Łeba,2973,8.9,9.6
249,Łeba,3540,8.5,8.5
250,Łeba,1427,8.8,8.8
251,Łeba,4193,9.3,9.6
252,Łeba,3682,9.3,8.7
253,Łeba,3500,8.7,8.2
254,Łeba,5434,9.1,9.9
255,Łeba,3700,9.4,9.7
256,Łeba,2013,9.8,10.0
257,Łeba,1190,8.8,9.0
258,Łeba,1832,9.5,9.3
259,Łeba,2423,8.5,9.4
260,Łeba,2477,8.7,9.0
261,Łeba,2800,8.9,9.7
262,Łeba,3540,9.6,9.3
263,Łeba,3482,9.0,10.0
264,Łeba,2706,8.4,8.5
265,Łeba,2440,9.2,9.2
266,Łeba,2953,10.0,9.0
267,Łeba,4240,10.0,8.5
268,Łeba,3892,10.0,8.2
269,Łeba,2560,9.5,9.8
270,Łeba,4362,9.3,8.9
271,Łeba,1879,9.6,9.2
272,Łeba,4697,7.5,9.2
273,Łeba,2562,9.3,10.0
274,Łeba,4112,10.0,8.9
275,Łeba,5082,9.0,8.9
276,Łeba,3190,9.6,8.4
277,Łeba,3610,8.3,8.9
278,Łeba,6190,9.7,10.0
279,Łeba,3400,8.9,9.7
280,Łeba,2875,9.5,8.8
281,Łeba,4172,8.6,9.7
282,Łeba,6353,8.8,9.5
283,Łeba,4240,9.4,8.8
284,Łeba,2783,8.2,9.7
285,Łeba,2310,8.9,9.4
286,Łeba,4046,8.4,8.8
287,Łeba,5726,9.9,8.2
288,Łeba,3960,9.5,8.7
