,City,Cost,Rating,Comfort
0,Świnoujście,4423,9.7,10.0
1,Świnoujście,4856,7.2,10.0
2,Świnoujście,3578,10.0,10.0
3,Świnoujście,5873,10.0,10.0
4,Świnoujście,3933,10.0,8.8
5,Świnoujście,4822,7.8,8.6
6,Świnoujście,3473,9.2,8.8
7,Świnoujście,3586,8.8,8.2
8,Świnoujście,5642,8.8,8.8
9,Świnoujście,4555,8.1,9.5
10,Świnoujście,1729,8.7,8.8
11,Świnoujście,3543,9.0,10.0
12,Świnoujście,3530,7.7,8.2
13,Świnoujście,3505,8.3,8.8
14,Świnoujście,4047,6.6,8.8
15,Świnoujście,3106,10.0,8.8
16,Świnoujście,3807,8.0,8.5
17,Świnoujście,2201,9.0,10.0
18,Świnoujście,5443,8.0,9.6
19,Świnoujście,3053,6.4,9.2
20,Świnoujście,2880,9.5,8.5
21,Świnoujście,5629,8.4,8.3
22,Świnoujście,4615,10.0,10.0
23,Świnoujście,2772,7.0,8.6
24,Świnoujście,5167,9.5,10.0
25,Świnoujście,4750,8.8,8.8
26,Świnoujście,2423,8.6,9.0
27,Świnoujście,4652,8.0,9.1
28,Świnoujście,2748,10.0,9.4
29,Świnoujście,5873,8.8,8.6
30,Świnoujście,2544,10.0,10.0
31,Świnoujście,3943,8.8,9.0
32,Świnoujście,3126,8.4,9.2
33,Świnoujście,4873,9.0,8.6
34,Świnoujście,4166,8.8,10.0
35,Świnoujście,3933,9.2,9.6
36,Świnoujście,4313,8.6,8.7
37,Świnoujście,2201,9.7,10.0
38,Świnoujście,3618,8.8,8.8
39,Świnoujście,2695,8.8,9.2
40,Świnoujście,6203,8.6,10.0
41,Świnoujście,3526,10.0,9.7
42,Świnoujście,4863,9.4,8.8
43,Świnoujście,3601,9.1,8.6
44,Świnoujście,5668,10.0,9.9
45,Świnoujście,3305,8.9,8.8
46,Świnoujście,5842,8.3,8.7
47,Świnoujście,2600,9.0,9.2
48,Świnoujście,5707,9.7,8.2
49,Świnoujście,5224,9.2,9.0
50,Świnoujście,2721,8.6,8.7
51,Świnoujście,5506,7.4,9.4
52,Świnoujście,3386,6.5,9.8
53,Świnoujście,1842,9.8,9.2
54,Świnoujście,4822,8.6,8.5
55,Świnoujście,3387,8.0,8.3
56,Świnoujście,3547,8.9,8.8
57,Świnoujście,4204,9.4,8.7
58,Świnoujście,3835,8.0,10.0
59,Świnoujście,3758,8.9,9.3
60,Świnoujście,3586,6.7,9.3
61,Świnoujście,5073,7.5,9.2
62,Świnoujście,3814,7.7,9.5
63,Świnoujście,6163,8.9,8.8
64,Świnoujście,3063,7.2,9.3
65,Świnoujście,3045,9.2,8.3
66,Świnoujście,4143,9.7,8.5
67,Świnoujście,3704,7.8,10.0
68,Świnoujście,3042,9.0,9.4
69,Świnoujście,8093,8.7,9.5
70,Świnoujście,10791,8.1,9.3
71,Świnoujście,3641,8.3,8.8
72,Świnoujście,3161,8.5,9.8
73,Świnoujście,3703,10.0,8.5
74,Świnoujście,2838,7.9,8.8
75,Świnoujście,4963,9.0,8.2
76,Świnoujście,4241,5.0,8.2
77,Świnoujście,2551,8.2,10.0
78,Świnoujście,4453,8.7,9.3
79,Świnoujście,5642,8.8,8.6
80,Świnoujście,2825,9.0,9.3
81,Świnoujście,2744,7.3,10.0
82,Świnoujście,3364,8.9,9.2
83,Świnoujście,4577,8.9,8.9
84,Świnoujście,3352,8.5,8.9
85,Świnoujście,4555,10.0,8.8
86,Świnoujście,3331,9.3,8.4
87,Świnoujście,1512,9.1,8.6
88,Świnoujście,3263,9.2,10.0
89,Świnoujście,2621,8.8,8.9
90,Świnoujście,3300,9.6,8.4
91,Świnoujście,2622,8.6,8.9
92,Świnoujście,3371,8.8,9.3
93,Świnoujście,3613,7.5,8.8
94,Świnoujście,3352,8.1,9.5
95,Świnoujście,4468,8.1,9.7
96,Świnoujście,2899,6.5,8.5
97,Świnoujście,5101,8.0,9.0
98,Świnoujście,2845,8.5,8.9
99,Świnoujście,3444,7.5,9.3
100,Świnoujście,3923,9.0,8.6
101,Świnoujście,3932,9.0,8.0
102,Świnoujście,6781,8.8,9.0
103,Świnoujście,3863,9.2,9.4
104,Świnoujście,3543,9.2,8.6
105,Świnoujście,3863,7.5,8.5
106,Świnoujście,4158,8.4,9.5
107,Świnoujście,3601,8.7,8.0
108,Świnoujście,2097,9.1,8.8
109,Świnoujście,4963,8.4,9.1
110,Świnoujście,3530,8.2,9.4
111,Świnoujście,5086,8.6,8.5
112,Świnoujście,4963,8.8,9.5
113,Świnoujście,4803,7.6,8.7
114,Świnoujście,4730,9.2,8.2
115,Świnoujście,3234,7.0,8.3
116,Świnoujście,2876,8.5,8.6
117,Świnoujście,3463,9.2,8.3
118,Świnoujście,3001,8.7,9.3
119,Świnoujście,3940,9.3,8.7
120,Świnoujście,3251,9.2,9.6
121,Świnoujście,15163,8.5,8.4
122,Świnoujście,6026,8.9,9.5
123,Świnoujście,6121,7.9,8.5
124,Świnoujście,3365,8.8,8.8
125,Świnoujście,4241,9.2,9.4
126,Świnoujście,4091,7.8,8.8
127,Świnoujście,2926,7.8,9.2
128,Świnoujście,5657,8.3,9.2
129,Świnoujście,3505,8.0,8.4
130,Świnoujście,3256,9.0,9.1
131,Świnoujście,3881,9.5,8.9
132,Świnoujście,4150,8.5,9.2
133,Świnoujście,3846,8.5,9.0
134,Świnoujście,4578,9.0,10.0
135,Świnoujście,4047,8.0,9.4
