,City,Cost,Rating,Comfort
0,Dębki,6667,9.0,10.0
1,Dębki,4245,10.0,10.0
2,Dębki,5242,10.0,10.0
3,Dębki,8234,9.4,10.0
4,Dębki,5726,10.0,8.6
5,Dębki,8445,9.1,9.0
6,Dębki,3685,9.1,8.1
7,Dębki,2345,8.7,8.5
8,Dębki,3587,8.8,8.6
9,Dębki,2285,8.7,8.1
10,Dębki,4246,7.7,9.3
11,Dębki,3536,8.4,9.0
12,Dębki,5598,7.9,8.4
13,Dębki,1865,8.0,9.4
14,Dębki,2450,8.9,9.2
15,Dębki,2285,9.1,9.4
16,Dębki,6644,8.9,9.4
17,Dębki,5295,9.5,8.6
18,Dębki,3048,9.2,8.5
19,Dębki,5320,9.3,9.4
20,Dębki,3830,9.4,10.0
21,Dębki,3495,8.7,8.3
22,Dębki,4595,8.9,9.5
23,Dębki,3185,9.3,10.0
24,Dębki,2845,10.0,10.0
25,Dębki,5020,8.7,9.3
26,Dębki,4395,9.6,8.7
27,Dębki,2990,10.0,8.4
28,Dębki,4435,10.0,8.2
29,Dębki,8445,9.3,8.1
30,Dębki,6905,8.6,8.9
31,Dębki,5586,8.4,8.7
32,Dębki,3698,8.8,8.4
33,Dębki,4862,8.7,9.4
