,City,Cost,Rating,Comfort
0,Hel,4179,10.0,10.0
1,Hel,3724,8.4,8.3
2,Hel,3714,8.9,9.0
3,Hel,4956,9.1,8.9
4,Hel,3329,8.2,8.3
5,Hel,3558,8.8,8.8
6,Hel,3604,9.2,9.0
7,Hel,4370,9.7,9.2
8,Hel,4638,9.3,9.3
9,Hel,3066,8.1,8.2
10,Hel,5331,8.4,8.0
11,Hel,3918,8.7,8.4
12,Hel,4179,8.2,9.1
13,Hel,5463,8.8,9.7
14,Hel,11134,9.6,8.1
15,Hel,3506,8.2,9.4
16,Hel,5170,9.1,8.4
17,Hel,4646,8.6,10.0
18,Hel,3794,10.0,9.4
19,Hel,6140,9.4,8.6
20,Hel,4384,8.5,8.8
21,Hel,6012,9.1,8.5
22,Hel,3957,8.7,9.8
23,Hel,3920,9.5,9.7
24,Hel,4501,9.5,10.0
25,Hel,4487,9.5,9.7
26,Hel,9136,9.6,8.7
27,Hel,6916,8.6,8.3
28,Hel,4195,8.4,9.2
29,Hel,3714,9.2,10.0
30,Hel,4837,10.0,9.6
31,Hel,3656,9.3,9.0
32,Hel,4592,7.8,8.8
33,Hel,2615,8.9,8.4
34,Hel,5463,8.0,9.3
35,Hel,4956,6.9,9.0
36,Hel,14455,8.5,9.1
37,Hel,5246,7.7,9.1
38,Hel,3944,8.6,10.0
39,Hel,3081,9.1,9.2
40,Hel,2870,8.9,9.1
