,City,Cost,Rating,Comfort
0,Jarosławiec,5240,9.0,10.0
1,Jarosławiec,4838,8.6,8.6
2,Jarosławiec,2860,10.0,10.0
3,Jarosławiec,4960,8.8,9.0
4,Jarosławiec,2095,8.8,8.6
5,Jarosławiec,2346,8.8,8.5
6,Jarosławiec,3228,8.8,8.0
7,Jarosławiec,13828,8.6,8.9
8,Jarosławiec,11845,8.4,8.4
9,Jarosławiec,3278,8.7,8.4
10,Jarosławiec,4622,8.2,8.1
11,Jarosławiec,4050,9.5,9.5
12,Jarosławiec,7856,8.9,9.2
13,Jarosławiec,4053,9.2,9.0
14,Jarosławiec,3329,9.6,9.5
15,Jarosławiec,3530,9.2,9.5
16,Jarosławiec,3939,9.5,9.5
17,Jarosławiec,3105,8.9,9.0
18,Jarosławiec,2846,8.8,8.8
19,Jarosławiec,2100,9.1,8.7
20,Jarosławiec,2728,9.0,8.8
21,Jarosławiec,5707,9.7,9.6
22,Jarosławiec,2806,8.8,9.1
23,Jarosławiec,3957,9.2,9.2
24,Jarosławiec,3370,9.1,8.8
25,Jarosławiec,4247,9.5,9.3
26,Jarosławiec,3998,9.6,9.7
27,Jarosławiec,3280,9.5,9.4
28,Jarosławiec,4230,8.6,9.0
29,Jarosławiec,3235,9.6,9.7
30,Jarosławiec,3190,8.0,8.6
31,Jarosławiec,4138,8.5,8.6
32,Jarosławiec,9121,9.2,9.0
33,Jarosławiec,4186,9.0,8.2
34,Jarosławiec,3231,8.9,9.1
35,Jarosławiec,2018,8.1,8.2
36,Jarosławiec,3228,9.5,8.8
37,Jarosławiec,3140,8.7,8.5
38,Jarosławiec,2178,9.1,8.9
39,Jarosławiec,3004,8.8,9.2
40,Jarosławiec,1950,8.0,8.0
41,Jarosławiec,5415,8.0,10.0
42,Jarosławiec,3654,8.0,10.0
43,Jarosławiec,1740,7.9,8.4
44,Jarosławiec,5065,8.4,9.5
45,Jarosławiec,7117,9.7,8.3
46,Jarosławiec,4068,9.2,8.9
47,Jarosławiec,4499,8.2,8.9
48,Jarosławiec,5099,8.8,8.7
49,Jarosławiec,2160,8.8,8.9
50,Jarosławiec,3588,8.9,8.6
51,Jarosławiec,4428,9.3,9.1
52,Jarosławiec,2510,8.5,8.9
53,Jarosławiec,2720,9.1,9.4
54,Jarosławiec,3018,9.0,8.7
55,Jarosławiec,3998,8.7,8.0
56,Jarosławiec,2878,7.8,9.1
57,Jarosławiec,4900,9.2,9.1
58,Jarosławiec,2934,8.5,8.8
59,Jarosławiec,2405,9.3,9.1
60,Jarosławiec,2528,9.2,9.1
61,Jarosławiec,2778,8.9,8.5
62,Jarosławiec,7738,9.0,9.3
63,Jarosławiec,2580,9.5,8.8
64,Jarosławiec,3224,8.7,9.8
65,Jarosławiec,1880,8.7,10.0
66,Jarosławiec,6868,9.3,9.6
67,Jarosławiec,2870,8.8,8.5
68,Jarosławiec,3220,9.7,9.1
69,Jarosławiec,2510,10.0,9.4
70,Jarosławiec,3733,9.7,8.8
71,Jarosławiec,1810,8.7,9.3
72,Jarosławiec,6360,9.1,9.1
73,Jarosławiec,3575,7.0,8.6
74,Jarosławiec,3240,9.4,9.7
75,Jarosławiec,3105,8.7,9.6
76,Jarosławiec,3220,7.1,9.4
77,Jarosławiec,3955,8.6,9.1
78,Jarosławiec,4610,9.3,9.3
79,Jarosławiec,5781,8.7,8.0
80,Jarosławiec,5781,9.7,9.2
81,Jarosławiec,6346,8.9,8.8
82,Jarosławiec,6346,9.2,8.3
83,Jarosławiec,6346,8.0,9.5
84,Jarosławiec,4656,9.1,8.7
85,Jarosławiec,4380,9.5,8.9
86,Jarosławiec,4918,8.6,8.8
87,Jarosławiec,7056,9.1,8.7
88,Jarosławiec,5678,9.0,8.8
89,Jarosławiec,26004,8.7,8.4
90,Jarosławiec,2881,9.3,8.3
