,City,Cost,Rating,Comfort
0,Karwia,2330,9.6,9.6
1,Karwia,2284,9.7,9.8
2,Karwia,3289,8.2,8.0
3,Karwia,2310,7.9,9.8
4,Karwia,4777,9.5,9.8
5,Karwia,2703,9.7,8.8
6,Karwia,3010,7.9,9.0
7,Karwia,2752,9.2,9.1
8,Karwia,3850,9.0,8.5
9,Karwia,3147,9.1,9.5
10,Karwia,1817,8.2,8.8
11,Karwia,3200,9.2,9.1
12,Karwia,3282,9.0,9.0
13,Karwia,2948,8.9,9.7
14,Karwia,2273,7.4,8.0
15,Karwia,1977,9.1,8.9
16,Karwia,2259,8.8,9.1
17,Karwia,3016,9.5,8.7
18,Karwia,7616,8.1,8.0
19,Karwia,3430,9.1,8.3
20,Karwia,3290,9.3,9.1
21,Karwia,5236,8.8,8.6
22,Karwia,3786,8.4,8.5
23,Karwia,3195,8.6,9.1
24,Karwia,1977,9.3,8.8
25,Karwia,3710,8.1,9.7
26,Karwia,3230,8.8,8.9
27,Karwia,2337,8.7,10.0
28,Karwia,2318,9.0,9.8
29,Karwia,5228,8.8,9.9
30,Karwia,3354,9.5,8.7
31,Karwia,3877,9.0,9.1
32,Karwia,6400,9.0,8.8
33,Karwia,5544,9.8,9.2
34,Karwia,2918,9.7,8.5
35,Karwia,4115,8.9,9.0
36,Karwia,4907,9.0,9.2
37,Karwia,3115,9.1,9.2
38,Karwia,2880,9.3,8.2
39,Karwia,4550,8.5,10.0
40,Karwia,3938,8.2,9.2
41,Karwia,3522,9.0,8.9
42,Karwia,3992,9.3,8.0
43,Karwia,3934,8.8,8.6
44,Karwia,3517,8.5,8.5
45,Karwia,6163,7.8,9.1
46,Karwia,2792,9.5,8.8
47,Karwia,4703,8.9,9.7
48,Karwia,9298,7.9,8.9
49,Karwia,7750,8.1,10.0
50,Karwia,3710,8.8,9.8
51,Karwia,3230,8.7,9.9
52,Karwia,2337,9.0,8.7
53,Karwia,2318,8.8,9.1
54,Karwia,5228,9.5,8.8
55,Karwia,3354,9.0,9.2
56,Karwia,3877,9.0,8.5
57,Karwia,6400,9.8,9.0
58,Karwia,5544,9.7,9.2
59,Karwia,2918,8.9,9.2
60,Karwia,4115,9.0,8.2
61,Karwia,4907,9.1,10.0
62,Karwia,3115,9.3,9.2
63,Karwia,2880,8.5,8.9
64,Karwia,4550,8.2,8.0
