,City,Cost,Rating,Comfort
0,Kopalino,4942,9.0,10.0
1,Kopalino,3976,8.7,8.5
2,Kopalino,1442,9.3,9.2
3,Kopalino,2268,9.6,9.6
4,Kopalino,3542,9.3,9.5
5,Kopalino,3903,9.9,10.0
6,Kopalino,3193,9.3,9.0
7,Kopalino,4676,9.5,9.1
8,Kopalino,4902,9.7,9.4
9,Kopalino,3630,9.4,9.5
10,Kopalino,7676,8.7,8.6
11,Kopalino,3122,7.7,8.6
12,Kopalino,4392,8.6,8.7
13,Kopalino,3292,8.6,8.9
14,Kopalino,2503,9.1,9.4
15,Kopalino,3150,9.5,9.2
16,Kopalino,3212,9.3,8.8
17,Kopalino,4242,9.1,9.6
18,Kopalino,3369,9.5,10.0
19,Kopalino,4200,10.0,10.0
20,Kopalino,4019,10.0,9.2
21,Kopalino,4942,9.2,9.2
22,Kopalino,4452,9.4,9.6
