,City,Cost,Rating,Comfort
0,Mielno,2629,10.0,10.0
1,Mielno,3213,10.0,10.0
2,Mielno,3286,10.0,10.0
3,Mielno,3065,10.0,10.0
4,Mielno,3660,8.5,8.2
5,Mielno,2240,10.0,10.0
6,Mielno,3728,8.2,8.0
7,Mielno,3642,9.3,8.3
8,Mielno,2069,8.4,8.4
9,Mielno,2870,7.1,9.8
10,Mielno,3794,6.7,8.0
11,Mielno,7562,9.3,9.1
12,Mielno,4478,7.6,9.7
13,Mielno,3288,8.7,9.3
14,Mielno,2976,9.0,9.1
15,Mielno,656,9.6,8.6
16,Mielno,3619,9.4,8.5
17,Mielno,6822,9.1,10.0
18,Mielno,2236,7.5,9.4
19,Mielno,3472,9.0,9.1
20,Mielno,7702,8.9,8.1
21,Mielno,8917,8.0,10.0
22,Mielno,3156,10.0,8.8
23,Mielno,2550,9.6,8.9
24,Mielno,4089,5.0,8.9
25,Mielno,5522,9.0,9.0
26,Mielno,1845,8.5,8.1
27,Mielno,3648,10.0,10.0
28,Mielno,3553,8.2,9.7
29,Mielno,3660,8.6,8.3
30,Mielno,2695,9.4,10.0
31,Mielno,4488,6.9,9.8
32,Mielno,5737,7.3,8.3
33,Mielno,5878,8.9,8.4
34,Mielno,2718,8.6,8.1
35,Mielno,3728,8.1,9.2
36,Mielno,6070,9.0,9.1
37,Mielno,5780,9.2,9.4
38,Mielno,4208,8.4,9.3
39,Mielno,3240,7.8,9.3
40,Mielno,2702,9.7,8.0
41,Mielno,4897,8.1,9.4
42,Mielno,3737,9.5,9.2
43,Mielno,2864,8.4,9.7
44,Mielno,3570,8.1,9.3
45,Mielno,4079,8.5,9.5
46,Mielno,4632,8.1,9.8
47,Mielno,4371,7.8,9.3
48,Mielno,4278,7.5,10.0
49,Mielno,3772,8.9,9.1
50,Mielno,2745,7.6,8.8
51,Mielno,4881,8.7,8.3
52,Mielno,7039,9.2,8.3
53,Mielno,3882,9.2,9.2
54,Mielno,3642,9.2,8.0
55,Mielno,10639,8.3,8.9
56,Mielno,7794,9.7,9.4
57,Mielno,7291,9.3,9.4
58,Mielno,2871,10.0,9.0
59,Mielno,2935,9.1,8.9
60,Mielno,2870,9.4,9.5
61,Mielno,2678,9.6,9.0
62,Mielno,6095,9.3,9.1
63,Mielno,6932,10.0,8.9
64,Mielno,4678,8.7,8.9
65,Mielno,2780,9.0,8.3
66,Mielno,2628,8.2,8.8
67,Mielno,3910,8.5,9.4
68,Mielno,3589,9.3,8.2
69,Mielno,3910,9.0,9.0
70,Mielno,4387,8.3,9.5
71,Mielno,2394,9.2,9.6
72,Mielno,4819,9.2,9.4
73,Mielno,3745,9.3,9.7
74,Mielno,3920,8.9,9.1
75,Mielno,4468,7.8,9.1
76,Mielno,3690,8.9,9.8
77,Mielno,3500,9.6,9.7
78,Mielno,3678,8.8,9.1
79,Mielno,3794,9.0,8.4
80,Mielno,4368,8.5,8.7
81,Mielno,2443,8.6,9.4
82,Mielno,2518,8.5,8.2
83,Mielno,3388,8.7,9.6
84,Mielno,4270,9.6,8.9
85,Mielno,4478,8.5,9.3
86,Mielno,8852,8.8,8.3
87,Mielno,1755,9.7,8.8
88,Mielno,3660,9.3,8.7
89,Mielno,3912,9.0,8.5
90,Mielno,4470,9.6,8.5
91,Mielno,4089,9.1,8.9
92,Mielno,6596,9.2,10.0
93,Mielno,4418,9.5,10.0
94,Mielno,3854,9.5,9.8
95,Mielno,4255,9.3,8.4
96,Mielno,3175,7.1,10.0
97,Mielno,5055,8.4,9.3
98,Mielno,2471,8.5,9.5
99,Mielno,4408,9.6,8.5
100,Mielno,4532,8.5,8.8
101,Mielno,3957,9.4,9.8
102,Mielno,3857,9.1,8.7
103,Mielno,4607,9.3,8.4
104,Mielno,3288,8.4,9.8
105,Mielno,3620,8.7,9.2
106,Mielno,5371,8.8,9.5
107,Mielno,6910,7.8,9.2
108,Mielno,17620,8.8,8.1
109,Mielno,3814,7.1,9.2
110,Mielno,2976,8.1,8.0
111,Mielno,3488,8.8,10.0
112,Mielno,3075,8.6,9.7
113,Mielno,3810,10.0,8.9
114,Mielno,3177,10.0,10.0
115,Mielno,4380,9.3,8.0
116,Mielno,4970,8.9,10.0
117,Mielno,16929,10.0,10.0
118,Mielno,5666,9.4,9.8
119,Mielno,5429,9.3,9.6
120,Mielno,5758,8.7,9.0
121,Mielno,10806,7.6,10.0
122,Mielno,4570,8.8,9.2
123,Mielno,7249,9.7,8.3
124,Mielno,6878,8.8,9.3
125,Mielno,2310,8.7,10.0
