,City,Cost,Rating,Comfort
0,Międzyzdroje,4685,9.8,10.0
1,Międzyzdroje,6996,10.0,10.0
2,Międzyzdroje,4931,9.8,9.5
3,Międzyzdroje,11256,8.9,8.9
4,Międzyzdroje,4436,8.5,8.5
5,Międzyzdroje,4366,8.0,8.4
6,Międzyzdroje,3287,8.3,8.0
7,Międzyzdroje,2716,8.1,9.1
8,Międzyzdroje,5201,9.0,9.3
9,Międzyzdroje,9337,6.4,8.0
10,Międzyzdroje,4445,9.0,8.9
11,Międzyzdroje,4724,8.0,9.3
12,Międzyzdroje,3936,8.1,9.7
13,Międzyzdroje,5631,9.0,10.0
14,Międzyzdroje,2850,7.7,10.0
15,Międzyzdroje,7328,9.0,9.2
16,Międzyzdroje,5700,9.4,8.9
17,Międzyzdroje,4674,9.0,8.8
18,Międzyzdroje,4157,7.6,8.8
19,Międzyzdroje,4908,8.5,10.0
20,Międzyzdroje,3374,9.0,10.0
21,Międzyzdroje,3324,8.7,9.0
22,Międzyzdroje,10251,8.5,9.2
23,Międzyzdroje,4075,9.5,8.8
24,Międzyzdroje,4839,10.0,9.5
25,Międzyzdroje,4318,10.0,10.0
26,Międzyzdroje,3923,6.6,9.1
27,Międzyzdroje,2870,9.0,8.4
28,Międzyzdroje,3993,8.6,8.5
29,Międzyzdroje,4931,9.0,9.0
30,Międzyzdroje,9978,9.8,8.4
31,Międzyzdroje,2094,3.0,8.9
32,Międzyzdroje,4048,10.0,9.1
33,Międzyzdroje,8410,8.9,9.3
34,Międzyzdroje,10156,8.4,9.5
35,Międzyzdroje,11256,8.7,8.8
36,Międzyzdroje,7721,9.0,10.0
37,Międzyzdroje,3556,7.4,9.6
38,Międzyzdroje,6286,8.1,9.8
39,Międzyzdroje,5200,9.2,8.5
40,Międzyzdroje,3906,8.2,9.7
41,Międzyzdroje,7764,9.1,9.7
42,Międzyzdroje,5217,9.1,9.3
43,Międzyzdroje,3898,8.8,8.8
44,Międzyzdroje,4569,10.0,9.5
45,Międzyzdroje,5118,9.3,10.0
46,Międzyzdroje,7556,9.4,8.6
47,Międzyzdroje,3206,8.4,8.5
48,Międzyzdroje,3968,9.5,10.0
49,Międzyzdroje,6293,9.6,9.2
50,Międzyzdroje,9378,9.3,10.0
51,Międzyzdroje,3886,8.6,8.8
52,Międzyzdroje,9812,9.3,8.7
53,Międzyzdroje,9156,6.3,8.8
54,Międzyzdroje,4366,9.0,9.5
55,Międzyzdroje,7556,8.3,9.2
56,Międzyzdroje,4700,8.1,8.5
57,Międzyzdroje,9180,10.0,8.9
58,Międzyzdroje,3563,9.0,10.0
59,Międzyzdroje,1831,9.8,9.2
60,Międzyzdroje,5201,8.0,8.6
61,Międzyzdroje,5700,7.2,9.0
62,Międzyzdroje,5520,8.7,9.4
63,Międzyzdroje,4324,8.4,8.8
64,Międzyzdroje,6906,8.5,8.6
65,Międzyzdroje,4648,8.9,8.4
66,Międzyzdroje,4476,8.7,9.0
67,Międzyzdroje,5738,8.4,9.5
68,Międzyzdroje,4285,8.6,9.5
69,Międzyzdroje,3434,9.5,8.3
70,Międzyzdroje,11193,9.2,9.1
71,Międzyzdroje,4840,7.6,8.5
72,Międzyzdroje,4184,8.0,8.7
73,Międzyzdroje,4791,9.0,8.7
74,Międzyzdroje,5805,9.1,9.7
75,Międzyzdroje,5043,9.2,9.0
76,Międzyzdroje,5142,8.5,8.8
77,Międzyzdroje,4956,8.8,9.0
78,Międzyzdroje,3290,8.3,9.3
79,Międzyzdroje,9337,9.1,8.6
80,Międzyzdroje,3117,9.4,8.9
81,Międzyzdroje,4213,9.4,9.5
82,Międzyzdroje,5047,8.7,8.6
