,City,Cost,Rating,Comfort
0,Rowy,3009,9.4,9.4
1,Rowy,4052,7.7,8.8
2,Rowy,4941,9.0,9.8
3,Rowy,1926,8.4,8.9
4,Rowy,3832,9.7,9.5
5,Rowy,3492,8.8,8.8
6,Rowy,1497,9.4,9.5
7,Rowy,4060,9.0,8.8
8,Rowy,1242,9.5,9.2
9,Rowy,3352,8.6,9.0
10,Rowy,3453,9.1,9.4
11,Rowy,2380,9.3,8.1
12,Rowy,2794,9.3,9.1
13,Rowy,2393,8.0,9.8
14,Rowy,3975,9.2,9.7
15,Rowy,2842,9.7,8.0
16,Rowy,2862,9.6,8.9
17,Rowy,2022,8.2,8.1
18,Rowy,3282,9.0,8.8
19,Rowy,4262,8.1,8.5
20,Rowy,4682,8.7,8.7
21,Rowy,5197,8.6,8.7
22,Rowy,4158,8.1,9.0
23,Rowy,3639,9.0,8.5
24,Rowy,3353,8.6,9.6
25,Rowy,1812,9.2,8.3
26,Rowy,3413,8.7,8.8
27,Rowy,2162,9.7,8.4
28,Rowy,3030,8.6,10.0
29,Rowy,4941,8.6,9.2
30,Rowy,3632,8.6,8.6
31,Rowy,3858,10.0,8.9
32,Rowy,7046,9.3,8.3
33,Rowy,3116,8.7,8.0
34,Rowy,3111,9.1,9.6
35,Rowy,3832,8.6,8.4
36,Rowy,2920,8.4,8.9
37,Rowy,2512,9.3,8.4
38,Rowy,3923,8.2,9.7
39,Rowy,5288,8.7,10.0
40,Rowy,3562,8.4,9.4
41,Rowy,3416,8.2,9.8
42,Rowy,2274,9.6,8.9
43,Rowy,4220,10.0,10.0
44,Rowy,2862,9.4,8.8
45,Rowy,3000,9.8,8.2
46,Rowy,3327,8.9,9.3
47,Rowy,3362,10.0,9.1
48,Rowy,3072,9.0,9.7
49,Rowy,4157,9.0,8.2
50,Rowy,4542,8.3,8.9
51,Rowy,5710,8.8,8.9
52,Rowy,4068,7.8,8.0
53,Rowy,3870,8.9,8.2
54,Rowy,3492,9.5,8.0
55,Rowy,3212,8.0,9.5
56,Rowy,2268,9.2,8.8
57,Rowy,4045,9.1,8.4
58,Rowy,2092,9.2,9.5
59,Rowy,2316,8.2,9.2
60,Rowy,4060,8.6,9.8
61,Rowy,3702,8.5,8.8
62,Rowy,4785,9.2,8.3
63,Rowy,5483,8.8,9.0
64,Rowy,6123,8.6,9.7
65,Rowy,6292,9.2,10.0
66,Rowy,3737,9.2,9.6
67,Rowy,4242,9.7,10.0
68,Rowy,4200,9.0,10.0
69,Rowy,4090,8.7,10.0
70,Rowy,5662,9.2,8.6
71,Rowy,1656,9.7,8.3
72,Rowy,2932,10.0,8.8
73,Rowy,2155,9.2,8.9
74,Rowy,4612,10.0,8.6
75,Rowy,2595,9.0,8.3
76,Rowy,4185,9.0,9.5
77,Rowy,3158,8.5,9.9
78,Rowy,2716,8.7,9.4
79,Rowy,3352,8.6,9.5
80,Rowy,4384,8.4,9.1
81,Rowy,2897,8.9,9.3
82,Rowy,3640,8.7,8.7
83,Rowy,4255,7.9,9.3
84,Rowy,2702,8.5,8.2
85,Rowy,3453,9.4,8.8
