,City,Cost,Rating,Comfort
0,"Dolny Sopot, Sopot",16873,9.1,9.5
1,"Kamienny Potok, Sopot",2861,9.5,9.6
2,"Kamienny Potok, Sopot",11340,9.8,10.0
3,"Kamienny Potok, Sopot",3939,10.0,10.0
4,Sopot,3029,10.0,10.0
5,"Górny Sopot, Sopot",4215,9.3,9.2
6,"Dolny Sopot, Sopot",6427,10.0,10.0
7,"Karlikowo, Sopot",2450,10.0,10.0
8,"Górny Sopot, Sopot",3210,10.0,8.8
9,"Karlikowo, Sopot",3471,10.0,10.0
10,"Dolny Sopot, Sopot",4851,9.2,9.5
11,"Kamienny Potok, Sopot",3820,4.9,9.6
12,Sopot,2577,9.6,10.0
13,"Karlikowo, Sopot",4085,10.0,9.4
14,"Dolny Sopot, Sopot",3456,9.3,8.9
15,Sopot,4562,9.2,10.0
16,"Karlikowo, Sopot",2976,10.0,10.0
17,"Dolny Sopot, Sopot",4798,7.4,10.0
18,"Dolny Sopot, Sopot",6886,9.8,8.1
19,"Górny Sopot, Sopot",4494,10.0,10.0
20,"Karlikowo, Sopot",3558,7.4,9.5
21,Sopot,3978,8.8,10.0
22,"Górny Sopot, Sopot",3765,10.0,8.8
23,"Kamienny Potok, Sopot",3061,9.6,9.8
24,"Dolny Sopot, Sopot",4817,10.0,8.7
25,Sopot,2570,8.8,10.0
26,"Dolny Sopot, Sopot",3044,9.5,9.4
27,"Górny Sopot, Sopot",3460,8.7,10.0
28,"Górny Sopot, Sopot",2220,10.0,9.3
29,"Kamienny Potok, Sopot",3939,9.7,8.9
30,"Dolny Sopot, Sopot",6046,10.0,9.2
31,"Dolny Sopot, Sopot",3930,8.0,8.5
32,"Górny Sopot, Sopot",3836,8.9,8.8
33,"Dolny Sopot, Sopot",7076,8.8,9.6
34,"Karlikowo, Sopot",7592,8.3,9.5
35,Sopot,3029,8.8,8.7
36,"Dolny Sopot, Sopot",3870,9.5,10.0
37,"Dolny Sopot, Sopot",9917,9.5,9.2
38,"Dolny Sopot, Sopot",4712,9.4,10.0
39,Sopot,4514,8.7,8.1
40,"Dolny Sopot, Sopot",4729,10.0,8.2
41,"Dolny Sopot, Sopot",4497,9.1,9.4
42,"Kamienny Potok, Sopot",2570,9.3,9.7
43,"Górny Sopot, Sopot",6130,7.9,8.6
44,"Karlikowo, Sopot",6530,8.4,8.4
45,Sopot,4610,9.2,8.8
46,"Dolny Sopot, Sopot",14988,9.8,8.8
47,"Dolny Sopot, Sopot",13204,7.0,8.1
48,"Karlikowo, Sopot",7175,8.8,10.0
49,"Dolny Sopot, Sopot",3746,8.8,8.7
50,"Dolny Sopot, Sopot",3820,7.4,9.3
51,"Karlikowo, Sopot",3500,8.6,9.1
52,"Karlikowo, Sopot",4547,8.8,9.1
53,"Dolny Sopot, Sopot",5870,8.5,9.6
54,"Górny Sopot, Sopot",4215,7.5,9.3
55,"Kamienny Potok, Sopot",5271,9.5,8.5
56,"Karlikowo, Sopot",3120,9.3,8.4
57,"Dolny Sopot, Sopot",4502,8.8,9.1
58,"Dolny Sopot, Sopot",4707,9.2,10.0
59,"Dolny Sopot, Sopot",3791,8.7,8.9
60,"Dolny Sopot, Sopot",6427,9.4,9.3
61,"Kamienny Potok, Sopot",2946,9.6,9.5
62,"Górny Sopot, Sopot",4870,9.3,9.7
63,"Kamienny Potok, Sopot",3850,7.9,8.9
64,"Dolny Sopot, Sopot",4670,8.8,10.0
65,"Górny Sopot, Sopot",5670,8.2,10.0
66,"Górny Sopot, Sopot",5443,8.8,9.2
67,"Karlikowo, Sopot",4014,7.5,9.2
68,Sopot,3254,8.8,9.1
69,"Dolny Sopot, Sopot",5196,9.1,8.3
70,"Dolny Sopot, Sopot",3792,9.3,10.0
71,Sopot,4753,9.6,8.9
72,"Dolny Sopot, Sopot",7460,5.0,9.5
73,"Dolny Sopot, Sopot",4693,9.1,8.8
74,"Kamienny Potok, Sopot",3423,8.0,9.1
75,Sopot,3463,9.7,9.0
76,Sopot,3520,8.3,9.4
77,"Dolny Sopot, Sopot",3812,10.0,8.2
78,"Dolny Sopot, Sopot",6313,9.3,8.7
79,"Karlikowo, Sopot",2450,7.7,8.8
80,"Dolny Sopot, Sopot",12029,9.5,8.5
81,Sopot,3412,9.0,9.1
82,"Dolny Sopot, Sopot",7700,8.1,8.3
83,"Karlikowo, Sopot",4640,8.3,10.0
84,"Górny Sopot, Sopot",3770,10.0,8.2
85,"Górny Sopot, Sopot",3210,9.0,8.5
86,Sopot,3778,9.6,8.8
87,"Dolny Sopot, Sopot",2920,8.8,9.5
88,"Górny Sopot, Sopot",3445,9.3,8.8
89,"Górny Sopot, Sopot",2580,9.4,8.7
90,Sopot,3970,8.2,9.2
91,"Karlikowo, Sopot",3650,9.4,9.5
92,"Karlikowo, Sopot",4676,8.7,8.2
93,"Dolny Sopot, Sopot",4900,9.0,9.1
94,"Dolny Sopot, Sopot",5088,8.8,10.0
95,"Karlikowo, Sopot",6670,9.0,9.2
96,"Dolny Sopot, Sopot",4130,8.5,8.1
97,"Dolny Sopot, Sopot",8159,9.3,8.1
98,"Dolny Sopot, Sopot",11478,9.0,9.4
99,"Dolny Sopot, Sopot",5608,8.1,8.2
100,"Karlikowo, Sopot",3585,10.0,9.0
101,"Dolny Sopot, Sopot",7231,8.6,8.2
102,"Dolny Sopot, Sopot",2720,8.5,10.0
103,"Dolny Sopot, Sopot",5012,8.5,9.6
104,"Karlikowo, Sopot",3471,9.5,9.0
105,"Dolny Sopot, Sopot",4920,10.0,8.9
106,"Karlikowo, Sopot",5277,8.6,9.4
107,"Dolny Sopot, Sopot",6241,8.8,9.0
108,"Dolny Sopot, Sopot",3744,9.4,8.6
109,"Dolny Sopot, Sopot",5629,8.2,8.8
110,"Dolny Sopot, Sopot",4851,8.9,9.7
111,"Dolny Sopot, Sopot",4514,7.0,8.3
112,"Górny Sopot, Sopot",4108,10.0,9.2
113,Sopot,2570,9.1,8.9
114,"Karlikowo, Sopot",4609,8.1,9.3
115,"Karlikowo, Sopot",3518,7.7,10.0
116,"Dolny Sopot, Sopot",5540,8.2,8.0
117,"Karlikowo, Sopot",3493,9.3,9.2
118,"Dolny Sopot, Sopot",5800,8.2,9.1
119,"Dolny Sopot, Sopot",12916,9.1,9.2
120,"Kamienny Potok, Sopot",2784,7.4,9.2
121,"Dolny Sopot, Sopot",3842,8.3,9.4
122,"Dolny Sopot, Sopot",4570,10.0,8.9
123,"Dolny Sopot, Sopot",6154,9.3,9.2
124,"Dolny Sopot, Sopot",5324,8.6,8.4
125,"Kamienny Potok, Sopot",4980,9.2,8.9
126,"Dolny Sopot, Sopot",4230,9.5,8.8
127,"Dolny Sopot, Sopot",5711,8.6,9.5
128,"Górny Sopot, Sopot",3080,8.7,8.9
129,"Kamienny Potok, Sopot",3820,8.7,8.8
130,"Dolny Sopot, Sopot",4009,9.6,9.5
131,"Dolny Sopot, Sopot",4824,8.4,9.1
132,"Górny Sopot, Sopot",7831,9.0,10.0
133,"Karlikowo, Sopot",4200,8.9,9.6
134,"Dolny Sopot, Sopot",4500,9.1,8.7
135,Sopot,2577,10.0,8.8
136,"Dolny Sopot, Sopot",5186,8.0,8.6
137,"Dolny Sopot, Sopot",5340,8.3,9.5
138,"Karlikowo, Sopot",4678,8.7,10.0
139,"Górny Sopot, Sopot",4345,7.1,9.2
140,"Dolny Sopot, Sopot",3924,8.4,9.6
141,"Górny Sopot, Sopot",4262,9.2,9.3
142,"Dolny Sopot, Sopot",4605,9.3,8.9
143,"Karlikowo, Sopot",5770,9.0,9.1
144,"Dolny Sopot, Sopot",3729,8.8,8.5
145,"Karlikowo, Sopot",4778,8.7,8.3
146,"Karlikowo, Sopot",4053,9.1,9.8
147,"Dolny Sopot, Sopot",4050,8.3,8.9
148,"Górny Sopot, Sopot",3645,8.8,8.5
149,"Kamienny Potok, Sopot",7920,9.0,8.3
150,"Karlikowo, Sopot",4290,9.2,8.8
151,"Górny Sopot, Sopot",3735,8.6,8.9
152,"Karlikowo, Sopot",9346,7.7,8.7
153,Sopot,5430,6.9,8.8
154,"Karlikowo, Sopot",4085,8.9,8.1
155,"Dolny Sopot, Sopot",9272,9.3,9.7
156,Sopot,5652,8.1,9.2
157,"Dolny Sopot, Sopot",4971,9.1,9.6
158,"Karlikowo, Sopot",5790,9.8,8.2
159,"Dolny Sopot, Sopot",4620,9.2,8.0
160,Sopot,4562,8.9,8.5
161,"Karlikowo, Sopot",3017,6.0,8.5
162,"Kamienny Potok, Sopot",9344,9.0,9.4
163,"Karlikowo, Sopot",3694,8.1,8.1
164,"Dolny Sopot, Sopot",5170,9.0,9.2
165,"Karlikowo, Sopot",4215,9.0,8.5
166,"Górny Sopot, Sopot",4230,9.0,9.3
167,"Karlikowo, Sopot",4163,9.1,8.6
168,"Karlikowo, Sopot",7820,9.6,9.6
169,"Górny Sopot, Sopot",4551,8.5,8.8
170,"Karlikowo, Sopot",4996,9.6,8.8
171,"Karlikowo, Sopot",4459,9.1,9.2
172,"Górny Sopot, Sopot",4050,9.0,8.7
173,"Karlikowo, Sopot",4206,8.4,8.2
174,"Dolny Sopot, Sopot",6724,8.2,9.8
175,"Górny Sopot, Sopot",4984,9.7,9.6
176,"Dolny Sopot, Sopot",7830,9.0,8.9
177,Sopot,3760,8.3,10.0
178,"Dolny Sopot, Sopot",4850,7.6,9.2
179,"Karlikowo, Sopot",2976,8.4,8.5
180,"Dolny Sopot, Sopot",4292,9.0,9.8
181,"Dolny Sopot, Sopot",5938,9.0,8.6
182,"Dolny Sopot, Sopot",3936,8.3,9.4
183,"Dolny Sopot, Sopot",5000,7.2,8.8
184,"Górny Sopot, Sopot",5017,8.1,8.9
185,"Dolny Sopot, Sopot",4798,8.5,8.5
186,"Dolny Sopot, Sopot",4058,8.4,8.1
187,"Górny Sopot, Sopot",4500,9.6,8.9
188,"Karlikowo, Sopot",3072,9.3,9.2
189,"Dolny Sopot, Sopot",4826,9.6,9.1
190,"Dolny Sopot, Sopot",5077,8.8,9.2
191,"Dolny Sopot, Sopot",4876,7.8,9.6
192,"Karlikowo, Sopot",4443,8.0,9.0
193,"Górny Sopot, Sopot",4250,9.0,8.7
194,"Karlikowo, Sopot",4684,6.5,8.9
195,"Karlikowo, Sopot",3446,6.9,8.0
196,"Dolny Sopot, Sopot",5172,9.4,8.4
197,"Karlikowo, Sopot",3045,7.8,9.1
198,"Dolny Sopot, Sopot",4810,9.2,9.1
199,"Karlikowo, Sopot",4200,8.6,8.9
200,"Kamienny Potok, Sopot",3286,9.0,9.3
201,"Dolny Sopot, Sopot",3664,8.7,9.7
202,"Dolny Sopot, Sopot",4550,9.5,8.8
203,"Dolny Sopot, Sopot",4810,8.9,8.7
204,"Dolny Sopot, Sopot",6886,9.0,8.3
205,"Dolny Sopot, Sopot",6373,8.7,8.9
206,"Karlikowo, Sopot",4550,8.6,9.7
207,"Dolny Sopot, Sopot",4340,7.2,8.2
208,"Dolny Sopot, Sopot",4783,8.4,9.0
209,"Dolny Sopot, Sopot",5660,9.5,10.0
210,"Górny Sopot, Sopot",4494,9.4,10.0
211,"Dolny Sopot, Sopot",9396,8.0,8.4
212,"Karlikowo, Sopot",3826,8.4,8.4
213,"Karlikowo, Sopot",3526,10.0,9.5
214,"Kamienny Potok, Sopot",3618,8.8,9.5
215,"Górny Sopot, Sopot",4823,8.2,8.3
216,"Dolny Sopot, Sopot",6036,8.4,9.0
217,"Dolny Sopot, Sopot",5194,9.0,9.1
218,"Górny Sopot, Sopot",4212,7.9,8.7
219,"Dolny Sopot, Sopot",5870,9.3,9.0
220,"Dolny Sopot, Sopot",3689,8.0,8.3
221,"Dolny Sopot, Sopot",4732,8.5,9.3
222,Sopot,3401,9.2,8.0
223,"Dolny Sopot, Sopot",2952,8.0,9.2
224,"Karlikowo, Sopot",5030,7.5,9.5
225,"Kamienny Potok, Sopot",2610,7.6,10.0
226,"Dolny Sopot, Sopot",4645,8.6,8.5
227,Sopot,9858,8.6,9.2
228,"Kamienny Potok, Sopot",5035,8.2,8.9
229,Sopot,3978,9.0,10.0
230,"Dolny Sopot, Sopot",7317,7.8,8.9
231,"Dolny Sopot, Sopot",5631,9.1,8.8
232,"Karlikowo, Sopot",3676,7.3,9.6
233,"Dolny Sopot, Sopot",3885,9.0,9.2
234,"Dolny Sopot, Sopot",4732,9.0,8.8
235,"Górny Sopot, Sopot",3765,6.9,9.0
236,Sopot,4314,9.5,8.8
237,"Karlikowo, Sopot",6408,8.8,9.6
238,"Dolny Sopot, Sopot",5000,7.1,8.6
239,"Karlikowo, Sopot",3270,8.8,10.0
240,"Dolny Sopot, Sopot",4763,7.0,8.9
241,"Dolny Sopot, Sopot",10366,7.8,10.0
242,Sopot,3063,7.7,8.5
243,"Górny Sopot, Sopot",5250,9.2,8.8
244,"Dolny Sopot, Sopot",11486,8.2,8.1
245,"Dolny Sopot, Sopot",9118,8.1,9.2
246,"Karlikowo, Sopot",9647,9.1,9.4
247,"Dolny Sopot, Sopot",6082,9.1,9.2
248,"Dolny Sopot, Sopot",4960,8.9,8.1
