,City,Cost,Rating,Comfort
0,Trzęsacz,10318,10.0,10.0
1,Trzęsacz,2970,10.0,10.0
2,Trzęsacz,2758,9.2,9.5
3,Trzęsacz,6580,8.1,9.3
4,Trzęsacz,5726,9.3,9.3
5,Trzęsacz,4550,9.3,10.0
6,Trzęsacz,3261,9.5,9.6
7,Trzęsacz,3150,9.3,9.6
8,Trzęsacz,3850,9.3,8.9
9,Trzęsacz,4165,9.0,8.9
10,Trzęsacz,4070,9.0,8.2
11,Trzęsacz,5930,8.3,8.4
12,Trzęsacz,6860,8.3,8.8
13,Trzęsacz,3983,9.0,8.5
14,Trzęsacz,3290,8.7,9.4
15,Trzęsacz,5090,9.5,9.1
16,Trzęsacz,4839,7.9,9.2
17,Trzęsacz,2550,9.5,9.4
18,Trzęsacz,3500,9.1,8.3
19,Trzęsacz,9050,9.1,8.5
20,Trzęsacz,6870,8.5,8.3
21,Trzęsacz,7490,9.0,9.5
22,Trzęsacz,4830,8.7,9.8
23,Trzęsacz,5600,9.4,10.0
24,Trzęsacz,7756,9.5,8.5
25,Trzęsacz,7700,10.0,8.3
