,City,Cost,Rating,Comfort
0,Ustka,5084,8.0,10.0
1,Ustka,2538,8.0,10.0
2,Ustka,2735,9.5,10.0
3,Ustka,3834,10.0,10.0
4,Ustka,2748,9.3,10.0
5,Ustka,3684,8.2,8.4
6,Ustka,4666,7.0,8.4
7,Ustka,10199,8.5,8.0
8,Ustka,5278,7.0,8.7
9,Ustka,3878,6.9,9.5
10,Ustka,2213,8.2,8.9
11,Ustka,2964,8.5,8.4
12,Ustka,3579,9.3,9.0
13,Ustka,2202,9.0,8.7
14,Ustka,2702,8.3,8.8
15,Ustka,2302,9.1,9.7
16,Ustka,2910,8.7,8.2
17,Ustka,9469,9.0,9.3
18,Ustka,3934,9.5,9.2
19,Ustka,5171,8.5,10.0
20,Ustka,4678,9.5,9.4
21,Ustka,8260,8.9,9.0
22,Ustka,2905,8.0,9.8
23,Ustka,4131,7.7,10.0
24,Ustka,2702,9.3,8.4
25,Ustka,3743,9.0,9.6
26,Ustka,4558,9.4,8.1
27,Ustka,1884,9.9,9.2
28,Ustka,2593,8.5,9.4
29,Ustka,2735,9.8,9.1
30,Ustka,4658,8.4,10.0
31,Ustka,3385,9.4,9.2
32,Ustka,5290,9.5,9.8
33,Ustka,2884,9.1,9.0
34,Ustka,5171,9.5,8.9
35,Ustka,3834,7.9,8.2
36,Ustka,2440,9.0,9.4
37,Ustka,3793,8.1,10.0
38,Ustka,3780,9.8,9.3
39,Ustka,2937,8.3,10.0
40,Ustka,2989,9.4,9.7
41,Ustka,3338,8.7,9.0
42,Ustka,1792,9.5,9.1
43,Ustka,5040,9.5,10.0
44,Ustka,5860,9.7,9.1
45,Ustka,2735,9.6,9.0
46,Ustka,3636,9.4,9.4
47,Ustka,2188,9.1,9.2
48,Ustka,2240,9.2,8.1
49,Ustka,3291,10.0,8.9
50,Ustka,4947,7.7,9.2
51,Ustka,3487,9.1,9.7
52,Ustka,3469,9.1,8.2
53,Ustka,2711,9.1,9.2
54,Ustka,3684,9.3,9.0
55,Ustka,2875,8.3,9.4
56,Ustka,3706,8.7,10.0
57,Ustka,8692,8.9,9.9
58,Ustka,5648,9.7,8.8
59,Ustka,3990,8.6,8.8
60,Ustka,4666,9.0,9.1
61,Ustka,8571,9.2,8.3
62,Ustka,3085,9.2,8.0
63,Ustka,4704,9.8,8.0
64,Ustka,21620,10.0,9.1
65,Ustka,3758,8.8,8.4
66,Ustka,6300,9.7,8.9
67,Ustka,13205,9.1,9.7
68,Ustka,13531,8.7,8.1
69,Ustka,2487,8.4,9.2
70,Ustka,2792,8.7,9.5
71,Ustka,4340,9.3,8.5
72,Ustka,2767,8.2,9.5
73,Ustka,2744,9.2,9.5
74,Ustka,4531,9.6,9.3
75,Ustka,4452,8.5,8.3
76,Ustka,3684,9.3,9.6
77,Ustka,2184,9.7,8.2
78,Ustka,2702,8.1,8.3
79,Ustka,5278,9.8,9.9
80,Ustka,2230,9.7,10.0
81,Ustka,3265,9.3,10.0
82,Ustka,3385,8.5,8.8
83,Ustka,2146,9.2,9.2
84,Ustka,3061,8.5,9.4
85,Ustka,3878,8.5,8.6
86,Ustka,2076,9.8,9.7
87,Ustka,5373,10.0,9.9
88,Ustka,2964,10.0,9.1
89,Ustka,3357,9.1,9.9
90,Ustka,4027,9.1,8.8
91,Ustka,2031,9.3,8.6
92,Ustka,3684,8.6,9.9
93,Ustka,4340,9.6,10.0
94,Ustka,2884,9.8,9.4
95,Ustka,2627,7.0,9.3
96,Ustka,2381,9.1,8.6
97,Ustka,3357,9.9,10.0
98,Ustka,2414,8.8,9.5
99,Ustka,2967,7.1,9.7
100,Ustka,2945,8.9,9.0
101,Ustka,3282,9.9,10.0
102,Ustka,2564,10.0,9.2
103,Ustka,2833,9.1,9.5
104,Ustka,2213,9.0,8.4
105,Ustka,3555,8.6,9.1
106,Ustka,5411,9.5,9.6
107,Ustka,2618,9.4,9.3
108,Ustka,5926,9.4,8.8
109,Ustka,5210,9.2,8.6
110,Ustka,2964,9.8,8.8
111,Ustka,8540,9.2,10.0
112,Ustka,2945,9.4,8.8
113,Ustka,4053,7.5,9.7
114,Ustka,2420,8.5,9.8
115,Ustka,5740,9.3,9.6
116,Ustka,3880,9.3,9.1
117,Ustka,3684,9.1,9.7
