,City,Cost,Rating,Comfort
0,Szydłowice,2109,9.3,9.2
1,Szczedrzyk,3222,8.7,8.4
2,Opole,3640,8.4,8.7
3,Opole,5626,9.0,9.2
4,Gorz,3430,8.5,8.6
5,Opole,4366,8.7,8.9
6,Wilków,5268,9.1,9.1
7,Prudnik,4548,8.3,8.4
8,Kolonowskie,2801,9.4,9.4
9,Nysa,2268,8.3,8.4
10,Opole,3024,8.4,8.5
11,Stradunia,2030,8.4,8.2
12,Kędzierzyn-Koźle,4430,8.7,8.7
13,Pokój,3864,7.8,8.3
14,Opole,5740,9.1,9.2
15,Namysłów,2695,8.4,8.6
16,Grodziec,8295,8.8,9.0
17,Stare Siołkowice,2344,9.0,9.0
18,Turawa,2548,8.8,8.6
19,Turawa,4540,8.4,8.4
20,Nysa,2100,9.4,9.6
21,Opole,3920,8.7,8.7
22,Paczków,2447,8.8,9.5
23,Kluczbork,3955,8.4,8.5
24,Brzeg,5025,8.8,9.0
25,Turawa,3640,7.8,9.4
26,Opole,3060,7.7,9.6
27,Nysa,3454,9.6,8.6
28,Lipniki,1461,7.8,8.3
29,Nysa,2100,9.4,8.2
30,Głuchołazy,3080,8.0,9.4
31,Olesno,1828,8.9,9.5
32,Walidrogi,1910,8.4,8.9
33,Brzeg,3745,8.4,8.4
34,Głuchołazy,6053,9.0,8.1
35,Paczków,2447,8.8,8.4
36,Brzezie,2383,8.2,8.9
37,Opole,2580,8.3,8.8
38,Jarnołtówek,3783,7.5,8.9
39,Góra Świętej Anny,2800,8.4,9.0
40,Bogacica,3430,8.6,9.1
41,Turawa,2940,9.0,9.1
42,Gogolin,4480,8.8,9.1
43,Nysa,5306,8.7,8.5
44,Brzeg,4860,9.0,9.0
45,Opole,2705,9.1,8.7
46,Kędzierzyn-Koźle,3990,7.1,9.1
47,Opole,3057,9.0,8.3
48,Jarnołtówek,2240,9.3,9.1
49,Nysa,3486,8.3,8.4
50,Byczyna,3966,8.9,8.1
51,Chrząstowice,2730,8.8,9.7
52,Głogówek,1865,9.1,8.6
53,Jarnołtówek,4200,8.3,9.1
54,Opole,3057,9.0,8.9
55,Głuchołazy,1618,8.3,8.7
56,Brzeg,2660,8.2,9.0
57,Opole,1876,9.7,8.3
58,Opole,2061,8.6,8.7
59,Głubczyce,1673,7.8,9.6
60,Nysa,3900,9.1,8.3
61,Nysa,4200,9.0,9.0
62,Mechnica,1453,8.6,8.2
63,Raszowa,2800,9.4,8.9
64,Kędzierzyn-Koźle,2678,8.2,8.5
65,Prudnik,4060,8.7,8.6
66,Opole,3677,8.3,9.0
67,Brzeg,2730,9.6,9.6
68,Głuchołazy,3080,8.4,8.5
69,Opole,1470,9.0,9.4
70,Skorochów,3059,8.2,8.9
71,Biała,1694,6.8,9.3
72,Opole,1960,8.8,9.1
73,Namysłów,1900,8.7,9.0
74,Pawłowiczki,3710,8.5,8.9
75,Kędzierzyn-Koźle,4410,9.1,8.7
76,Szczedrzyk,2492,9.5,8.9
77,Opole,2357,8.5,9.2
78,Murów,3349,9.4,8.9
79,Skarbimierz Osiedle,2450,8.7,9.5
80,Malnia,3640,9.5,9.8
81,Dobrzeń Wielki,1813,9.1,9.9
82,Opole,2396,8.4,9.1
83,Turawa,2940,9.0,8.8
84,Dębska Kuźnia,4256,9.0,8.6
85,Głuchołazy,3080,8.6,10.0
86,Łubniany,3212,9.0,9.3
87,Prudnik,2240,9.7,10.0
88,Turawa,3326,7.5,9.0
89,Prudnik,2646,8.7,9.3
90,Jemielnica,2940,9.5,8.9
91,Nysa,3150,9.9,9.4
92,Strzelce Opolskie,2121,9.7,8.8
93,Turawa,2930,8.6,8.7
94,Opole,2800,9.0,9.1
95,Lubiatow,1288,8.6,9.1
96,Olesno,4060,7.9,9.3
97,Kędzierzyn-Koźle,4200,9.8,9.8
98,Głuchołazy,2800,9.3,8.8
99,Nysa,2832,7.9,8.5
100,Kędzierzyn-Koźle,4200,9.8,9.8
101,Głuchołazy,2800,9.3,10.0
102,Głuchołazy,2135,9.3,8.5
103,Nysa,2832,9.0,8.4
104,Głuchołazy,2380,7.7,10.0
105,Głuchołazy,2380,9.3,8.5
106,Opole,2338,8.7,9.6
107,Opole,2800,8.8,9.6
108,Opole,2330,9.7,10.0
109,Kadłub Wolny,2660,9.1,8.5
110,Głogówek,1865,9.3,9.6
111,Prudnik,2380,9.8,9.6
112,Otmuchów,3500,9.2,9.0
113,Głogówek,1904,8.6,10.0
114,Opole,3290,9.8,10.0
115,Paczków,3696,9.8,8.4
116,Grabczak,3863,6.9,9.7
117,Paczków,1960,8.8,8.9
118,Lewin Brzeski,1989,8.3,8.3
119,Opole,2576,8.0,10.0
120,Opole,2048,9.6,9.8
121,Opole,4186,8.4,8.1
122,Kędzierzyn-Koźle,6650,9.6,9.4
123,Góra Świętej Anny,2090,9.5,8.2
124,Suchy Bór,3439,9.6,9.2
125,Opole,4186,8.4,9.9
126,Kędzierzyn-Koźle,6650,9.6,10.0
127,Góra Świętej Anny,2090,9.5,8.4
128,Suchy Bór,3439,8.8,9.5
129,Głuchołazy,1618,10.0,9.7
130,Opole,3150,10.0,9.9
131,Opole,2053,8.0,10.0
132,Skorochów,4543,9.7,8.6
133,Głuchołazy,2925,8.0,9.2
134,Opole,2450,9.0,10.0
135,Opole,2061,7.9,8.7
136,Opole,2048,10.0,8.9
137,Czarkowice,1610,9.5,8.3
138,Kędzierzyn-Koźle,7560,8.3,8.4
139,Góra Świętej Anny,4158,9.3,10.0
140,Paczków,2520,8.1,8.6
141,Opole,1859,6.9,9.4
142,Pilszcz,2800,9.3,9.6
143,Opole,2100,9.6,8.6
144,Opole,2142,10.0,8.9
145,Dobrzeń Wielki,1790,8.4,8.9
146,Opole,3040,9.7,8.7
147,Opole,2310,9.8,8.3
148,Opole,2142,7.0,10.0
149,Paczków,3696,9.7,8.9
150,Opole,4022,9.0,10.0
151,Głubczyce,1890,8.6,10.0
152,Prudnik,4283,7.3,8.3
153,Opole,2310,7.8,10.0
154,Głubczyce,1673,9.2,8.8
155,Pokrzywna,3640,10.0,9.1
156,Dębska Kuźnia,3430,9.0,8.5
157,Pokrzywna,3430,9.0,8.6
158,Kamienica,5403,8.3,9.9
159,Dziergowice,3354,7.8,8.8
160,Mechnica,1453,8.6,9.0
