,City,Cost,Rating,Comfort
0,Lutowiska,3685,9.0,9.2
1,Mielec,4130,9.6,9.8
2,Ustrzyki Dolne,1974,9.7,9.7
3,Ustrzyki Dolne,9399,9.8,9.8
4,Przemyśl,2100,9.1,9.0
5,Solina,3377,9.3,9.2
6,Bystre,6930,9.9,9.9
7,Rzeszów,1695,7.5,10.0
8,Bystre,5936,10.0,9.9
9,Ustrzyki Dolne,2478,9.9,9.6
10,Ropienka,2083,9.7,9.9
11,Baligród,5607,9.8,9.9
12,Przemyśl,2376,9.8,9.6
13,Mielec,2090,9.5,9.8
14,Niwiska,3992,10.0,9.8
15,Przemyśl,3430,9.5,9.3
16,Przemyśl,3290,9.2,9.7
17,Wetlina,3276,9.5,9.0
18,Zawóz,3647,9.1,9.6
19,Lesko,3920,9.6,9.6
20,Sanok,2800,9.6,8.2
21,Olchowiec,2632,7.9,9.0
22,Dubiecko,2450,9.4,9.3
23,Przemyśl,1716,9.2,9.4
24,Polańczyk,7700,9.4,9.4
25,Nowy Łupków,1147,9.4,9.4
26,Lesko,2386,9.5,8.2
27,Solina,1708,8.7,9.4
28,Przemyśl,2856,9.5,9.6
29,Baligród,3045,9.4,9.5
30,Dukla,1912,9.5,9.2
31,Medyka,2520,9.1,10.0
32,Łańcut,2148,9.9,10.0
33,Ustrzyki Dolne,2758,9.9,10.0
34,Mielec,1867,10.0,9.6
35,Cisna,2940,9.6,9.1
36,Przemyśl,3010,8.8,8.8
37,Krosno,1365,9.0,9.3
38,Łańcut,2590,9.3,9.2
39,Radawa,1890,9.4,9.5
40,Ustrzyki Dolne,2996,9.5,9.8
41,Sanok,2100,9.7,9.8
42,Lutowiska,3965,9.9,10.0
43,Lesko,4798,10.0,9.6
44,Ustrzyki Dolne,2765,9.5,9.7
45,Ustrzyki Dolne,2828,9.5,9.9
46,Ustrzyki Dolne,2190,9.8,9.0
47,Futoma,2478,9.5,9.8
48,Ustrzyki Dolne,2436,9.8,10.0
49,Tyrawa Solna,3321,9.8,10.0
50,Mielec,1966,9.8,10.0
51,Przemyśl,3890,9.3,9.3
52,Rymanów,2065,9.2,9.3
53,Wetlina,4606,9.4,9.9
54,Iwonicz-Zdrój,2136,9.7,9.2
55,Stalowa Wola,1662,9.5,9.5
56,Ustrzyki Dolne,1820,9.6,9.8
57,Strzyżów,3564,9.7,9.3
58,Przemyśl,2083,9.3,9.8
59,Przemyśl,2240,9.7,9.7
60,Kalnica,3990,9.6,8.6
61,Polańczyk,2842,9.1,9.8
62,Sanok,2138,9.7,9.7
63,Dukla,2447,9.6,9.6
64,Krosno,2240,9.8,9.1
65,Sanok,2660,9.0,9.5
66,Dębica,2793,9.6,9.6
67,Rymanów,2259,9.5,9.5
68,Lutowiska,2892,9.4,9.7
69,Sanok,2160,9.7,9.4
70,Zawóz,5404,9.4,9.9
71,Rymanów-Zdrój,2632,9.7,9.7
72,Rajskie Sakowczyk,4620,9.5,9.4
73,Sanok,1914,9.5,9.8
74,Przemyśl,2737,9.7,10.0
75,Brzozów,2410,10.0,9.7
76,Zalesie,3960,9.8,9.1
77,Ustrzyki Dolne,2156,9.4,9.7
78,Krosno,2100,9.7,9.4
79,Zagórz,4620,9.6,9.6
80,Rymanów-Zdrój,2737,9.4,10.0
81,Krosno,2023,10.0,9.5
82,Przemyśl,3143,9.3,9.2
83,Solina,7731,9.3,9.4
84,Ustrzyki Dolne,2156,9.6,10.0
85,Stalowa Wola,1400,8.0,9.1
86,Łańcut,2310,9.0,9.6
87,Polańczyk,3822,9.6,9.1
88,Przemyśl,2660,8.8,10.0
89,Terka,2303,10.0,9.9
90,Ustrzyki Dolne,3178,9.9,10.0
91,Ustrzyki Dolne,2366,9.9,9.3
92,Zawóz,3283,9.4,9.6
93,Tarnobrzeg,2934,7.0,9.2
94,Komańcza,3035,9.6,9.3
95,Polańczyk,4340,9.2,8.9
96,Rozpucie,4589,9.2,9.7
97,Łańcut,2470,9.1,9.8
98,Ustrzyki Dolne,2296,9.7,10.0
99,Przemyśl,3546,9.6,8.6
100,Ustrzyki Dolne,3878,9.8,9.1
101,Tyczyn,1428,9.1,9.7
102,Sanok,2940,9.2,9.6
103,Ustrzyki Dolne,2148,9.8,10.0
104,Mielec,1764,9.6,10.0
105,Mielec,1971,9.9,9.8
106,Ustrzyki Dolne,2828,9.6,9.2
107,Dukla,2524,9.7,9.1
108,Bukowiec,2111,9.0,9.9
109,Krosno,2023,9.0,9.2
110,Średnia Wieś,2520,9.7,9.0
111,Polańczyk,4242,9.0,8.9
112,Solina,3556,9.4,9.6
113,Przemyśl,1989,9.0,10.0
114,Ustrzyki Dolne,2506,9.5,9.8
115,Olszanica,4074,10.0,9.9
116,Huta Różaniecka,2753,9.9,9.7
117,Jasionka,3255,9.8,9.9
118,Stalowa Wola,1355,6.8,9.9
119,Ustrzyki Dolne,1946,9.8,9.4
120,Ustrzyki Dolne,1729,9.9,9.4
121,Ustrzyki Dolne,3840,9.9,9.7
122,Stalowa Wola,1680,8.1,10.0
123,Narol,1868,9.4,9.8
124,Bystre,5600,9.0,9.3
125,Ustrzyki Dolne,2828,9.7,9.0
126,Jarosław,2645,10.0,9.6
127,Olszanica,1947,9.6,8.7
128,Solina,3178,9.4,9.2
129,Lesko,1820,9.3,10.0
130,Polańczyk,3892,9.8,9.5
131,Narol,2205,8.9,9.5
132,Stalowa Wola,1820,8.9,9.4
133,Ustrzyki Dolne,2821,10.0,9.4
134,Sanok,2170,9.5,8.8
135,Rzeszów,2800,9.4,9.5
136,Berezka,2461,9.4,9.0
137,Krempna,2380,9.5,9.8
138,Krempna,2793,8.9,10.0
