,City,Cost,Rating,Comfort
0,Łomża,2580,7.5,9.8
1,Tykocin,3063,9.9,9.5
2,Hajnówka,3413,9.1,8.8
3,Supraśl,3220,8.9,8.6
4,Łomża,3500,8.6,8.7
5,Klewinowo,9800,8.5,9.5
6,Zelwa,1955,9.6,8.9
7,Narewka,5236,8.9,9.6
8,Kaletnik,2450,9.6,9.3
9,Białystok,2255,7.8,9.8
10,Sejny,3780,9.5,9.0
11,Kiermusy,4130,9.8,9.3
12,Rajgród,4331,8.9,9.4
13,Sokółka,2940,9.1,8.1
14,Suwałki,4270,8.0,8.7
15,Białowieża,3928,9.4,8.3
16,Bielsk Podlaski,3990,8.1,8.7
17,Drohiczyn,2940,8.6,9.0
18,Wólka Nadbużna,3087,9.1,8.5
19,Białowieża,4830,9.0,9.1
20,Augustów,2660,9.0,8.6
21,Łuka,3349,8.3,8.6
22,Augustów,2240,7.8,8.1
23,Bielsk Podlaski,4480,8.9,9.4
24,Białystok,3570,8.6,9.0
25,Białystok,3570,8.6,9.5
26,Sejny,1960,8.4,9.5
27,"Old Town, Białystok",6180,9.1,9.2
28,Suwałki,4480,9.1,9.1
29,Zelwa,2961,9.6,9.6
30,Suwałki,6580,9.3,9.6
31,"Old Town, Białystok",5460,8.9,8.4
32,Białystok,3626,8.9,9.2
33,"Old Town, Białystok",5098,9.4,8.7
34,Supraśl,5580,7.5,9.1
35,Kaletnik,2450,9.6,9.1
36,Tykocin,4480,8.7,8.7
37,Sokółka,2520,9.0,9.4
38,Wysokie Mazowieckie,2545,8.6,9.1
39,Wiżajny,2095,9.3,8.3
40,"Old Town, Białystok",4130,8.9,9.3
41,Goniądz,2220,8.7,9.7
42,Klepaczew,3320,9.3,9.8
43,Łomża,3360,8.8,9.1
44,Bakałarzewo,1960,8.5,9.7
45,Łomża,2163,9.3,8.9
46,Białystok,10083,9.5,9.6
47,Mielnik,3676,9.9,8.8
48,Wólka Ratowiecka,4011,9.5,8.2
49,Łuka,3150,9.7,9.3
50,Pawłówka,2100,9.2,8.6
51,Goniądz,3111,9.7,8.6
52,Czerlonka,2170,9.3,9.0
53,Suwałki,3510,8.4,8.4
54,Sokółka,2962,9.1,9.3
55,Białowieża,10098,8.4,9.1
56,Dubicze Cerkiewne,1862,6.8,8.2
57,Choroszcz,1680,8.9,9.0
58,"Old Town, Białystok",4410,8.8,9.7
59,Sejny,3920,8.2,9.2
60,Drohiczyn,5600,9.3,9.8
61,Komaszówka,2800,9.6,9.3
62,Supraśl,6006,8.0,9.5
63,Augustów,6300,9.0,9.4
64,Wroceń,2294,9.8,9.5
65,Białowieża,7558,9.2,9.3
66,Sokółka,2255,9.7,9.8
67,Mońki,2555,9.2,8.4
68,Białowieża,11200,9.6,8.7
69,Królowy Most,3824,9.5,10.0
70,Siemiatycze,2030,9.4,8.3
71,Mońki,1820,8.0,9.3
