,City,Cost,Rating,Comfort
0,"Centrum, Gdańsk",5190,8.9,9.0
1,"Karlikowo, Sopot",6836,9.3,8.9
2,"Centrum, Gdańsk",5293,9.8,9.9
3,Jastarnia,6998,9.3,9.5
4,Sominy,4170,9.9,10.0
5,Podiazy,5711,9.4,9.4
6,"Dolny Sopot, Sopot",14671,8.9,8.9
7,Kwidzyn,2816,9.3,9.4
8,"Dolny Sopot, Sopot",5123,9.0,9.0
9,Władysławowo,6236,9.3,9.4
10,Rowy,4472,9.8,9.8
11,Wiślinka,5929,9.5,9.5
12,Lębork,3220,9.6,9.6
13,"Dolny Sopot, Sopot",5870,8.7,8.7
14,Ustka,3719,8.5,8.4
15,Bytów,2310,9.0,8.7
16,Sztutowo,3486,9.4,9.2
17,Gołubie,1540,7.7,9.3
18,Ulinia,5468,9.5,9.4
19,"Centrum, Gdańsk",4043,9.3,10.0
20,Ustka,5593,9.9,9.5
21,Rozewie,4589,9.6,8.5
22,"Centrum, Gdańsk",3497,8.5,9.9
23,Słupsk,2345,9.9,9.9
24,Wiele,2520,9.9,9.5
25,Gdańsk,8331,9.6,9.5
26,"Przymorze, Gdańsk",3236,9.3,9.2
27,"Centrum, Gdańsk",10803,9.1,9.0
28,"Centrum, Gdańsk",4304,8.9,9.8
29,Charzykowy,8400,9.6,9.5
30,Słupsk,2310,9.3,9.5
31,Krzeszna,5110,9.4,8.8
32,Kąty Rybackie,3978,8.8,8.1
33,Kwidzyn,1820,7.9,9.0
34,Ustka,5347,9.0,10.0
35,Nowecin,3806,10.0,9.1
36,Hel,4956,8.9,9.7
37,"Śródmieście, Gdynia",5925,9.7,9.0
38,Jastrzębia Góra,10576,8.9,8.7
39,"Dolny Sopot, Sopot",15600,8.8,8.9
40,Sopot,5886,8.6,9.8
41,Ostrzyce,6359,9.8,9.5
42,"Karlikowo, Sopot",4747,9.4,9.6
43,Osłonino,9800,9.7,9.7
44,Gdynia,3248,9.6,9.5
45,Pierszczewko,5885,9.5,9.0
46,"Centrum, Gdańsk",4290,8.8,8.5
47,Barwik,11150,8.2,9.3
48,"Dolny Sopot, Sopot",8092,9.2,9.0
