,City,Cost,Rating,Comfort
0,Bydgoszcz,1020,8.7,8.8
1,Bydgoszcz,525,7.6,9.7
2,Bydgoszcz,1237,9.2,8.9
3,Bydgoszcz,1400,8.0,8.7
4,Bydgoszcz,1287,8.8,10.0
5,Bydgoszcz,420,8.9,8.2
6,Bydgoszcz,875,9.7,9.5
7,Bydgoszcz,888,7.9,9.3
8,Bydgoszcz,1119,8.7,8.4
9,Bydgoszcz,963,9.0,10.0
10,Bydgoszcz,1575,9.5,8.2
11,Bydgoszcz,1190,8.4,9.5
12,Bydgoszcz,2618,9.9,9.1
13,Bydgoszcz,1392,8.2,9.7
14,Bydgoszcz,1253,9.4,8.8
15,Bydgoszcz,2100,8.6,8.0
16,Bydgoszcz,1480,9.7,10.0
17,Bydgoszcz,1330,9.0,9.0
18,Bydgoszcz,973,9.0,8.1
19,Bydgoszcz,1676,8.0,8.3
20,Bydgoszcz,1297,9.8,8.9
21,Bydgoszcz,1285,9.2,8.7
22,Bydgoszcz,1260,8.1,8.3
23,Bydgoszcz,1365,7.9,8.2
24,Bydgoszcz,1449,8.6,8.3
25,Bydgoszcz,1260,8.8,8.0
26,Bydgoszcz,903,8.5,8.3
27,Bydgoszcz,980,7.2,8.9
28,Bydgoszcz,1773,8.3,8.1
29,Bydgoszcz,1154,8.5,9.3
30,Bydgoszcz,1155,8.2,8.7
31,Bydgoszcz,735,8.0,8.2
32,Bydgoszcz,1540,7.9,9.1
33,Bydgoszcz,1125,8.4,9.1
34,Bydgoszcz,995,9.1,8.5
35,Bydgoszcz,1257,8.0,9.1
36,Bydgoszcz,973,9.3,9.4
37,Bydgoszcz,1260,7.6,9.6
38,Bydgoszcz,992,8.6,9.5
39,Bydgoszcz,1527,8.1,9.2
40,Bydgoszcz,945,9.0,9.0
41,Bydgoszcz,1051,9.1,8.1
42,Bydgoszcz,1024,8.0,9.7
43,Bydgoszcz,1362,8.8,9.4
44,Bydgoszcz,1190,9.2,10.0
45,Bydgoszcz,1262,9.3,8.8
46,Bydgoszcz,2048,9.4,8.4
47,Bydgoszcz,1120,9.2,9.1
48,Bydgoszcz,1134,9.0,9.4
49,Bydgoszcz,1392,8.0,8.4
50,Bydgoszcz,1113,1.0,8.0
51,Bydgoszcz,1049,9.7,9.6
52,Bydgoszcz,1435,7.6,9.4
53,Bydgoszcz,1344,9.6,9.4
54,Bydgoszcz,1250,9.8,8.9
55,Bydgoszcz,945,8.8,9.5
56,Bydgoszcz,2192,8.5,9.4
57,Bydgoszcz,1356,9.1,8.2
58,Bydgoszcz,1260,9.3,8.4
59,Bydgoszcz,1506,7.4,9.4
60,Bydgoszcz,1820,8.5,8.4
61,Bydgoszcz,1890,7.9,8.7
62,Bydgoszcz,1050,9.6,9.3
63,Bydgoszcz,1040,9.4,8.1
64,Bydgoszcz,1300,9.4,9.3
65,Bydgoszcz,1178,8.7,9.7
66,Bydgoszcz,1632,9.2,8.1
67,Bydgoszcz,1335,8.5,8.9
68,Bydgoszcz,2012,7.9,9.7
69,Bydgoszcz,2058,8.2,8.8
70,Bydgoszcz,1142,8.6,9.1
71,Bydgoszcz,1393,9.0,9.2
72,Bydgoszcz,973,8.5,8.2
73,Bydgoszcz,1143,8.8,8.6
74,Bydgoszcz,1400,9.0,8.7
75,Bydgoszcz,973,8.4,8.7
76,Bydgoszcz,1435,9.3,10.0
77,Bydgoszcz,1890,9.7,9.2
78,Bydgoszcz,1750,8.6,9.9
79,Bydgoszcz,1287,8.9,9.7
80,Bydgoszcz,1932,9.6,9.2
81,Bydgoszcz,1350,8.8,9.2
82,Bydgoszcz,1636,9.1,8.7
83,Bydgoszcz,1093,8.9,8.9
84,Bydgoszcz,2310,6.3,8.6
85,Bydgoszcz,1443,8.1,9.3
86,Bydgoszcz,1432,8.4,9.3
87,Bydgoszcz,1410,8.7,9.3
88,Bydgoszcz,1120,8.5,9.5
89,Bydgoszcz,1375,9.3,8.6
90,Bydgoszcz,1475,9.1,8.5
91,Bydgoszcz,1400,9.7,9.4
92,Bydgoszcz,1868,9.7,9.2
93,Bydgoszcz,2092,8.9,9.8
94,Bydgoszcz,1770,9.3,8.9
95,Bydgoszcz,1638,8.8,9.7
96,Bydgoszcz,1229,8.7,9.5
97,Bydgoszcz,1689,7.4,9.8
98,Bydgoszcz,1890,8.4,9.3
99,Bydgoszcz,1750,9.4,9.3
100,Bydgoszcz,2100,9.4,9.3
101,Bydgoszcz,1515,9.2,8.8
102,Bydgoszcz,1638,9.4,9.3
103,Bydgoszcz,1740,8.6,8.0
104,Bydgoszcz,1837,8.6,9.0
105,Bydgoszcz,1750,9.2,9.4
106,Bydgoszcz,1314,9.1,8.8
107,Bydgoszcz,1470,9.6,8.4
108,Bydgoszcz,1278,8.9,9.0
109,Bydgoszcz,1488,9.6,8.6
110,Bydgoszcz,1820,9.7,9.3
111,Bydgoszcz,2205,4.8,9.3
112,Bydgoszcz,1874,9.8,9.7
113,Bydgoszcz,1176,9.2,9.2
114,Bydgoszcz,2017,9.3,10.0
115,Bydgoszcz,1890,9.4,8.0
116,Bydgoszcz,973,8.8,8.5
117,Bydgoszcz,1750,9.2,9.9
118,Bydgoszcz,1874,7.9,9.6
119,Bydgoszcz,1890,9.0,10.0
120,Bydgoszcz,1825,9.3,8.9
121,Bydgoszcz,1638,8.7,10.0
122,Bydgoszcz,1607,8.4,9.8
123,Bydgoszcz,1186,8.9,9.4
124,Bydgoszcz,1890,8.7,9.4
125,Bydgoszcz,1883,9.2,9.0
126,Bydgoszcz,1811,9.3,9.4
127,Bydgoszcz,2152,9.2,9.5
128,Bydgoszcz,1570,9.7,8.1
129,Bydgoszcz,1260,9.7,8.6
130,Bydgoszcz,2786,7.8,8.6
131,Bydgoszcz,1446,8.6,9.1
132,Bydgoszcz,2629,9.8,8.4
133,Bydgoszcz,1754,9.7,8.3
134,Bydgoszcz,2296,9.7,9.4
135,Bydgoszcz,2380,8.9,9.4
136,Bydgoszcz,1607,9.0,9.3
137,Bydgoszcz,2155,9.5,9.5
138,Bydgoszcz,1695,9.4,9.2
139,Bydgoszcz,2651,9.3,9.4
140,Bydgoszcz,3500,8.8,8.9
141,Bydgoszcz,1811,9.4,9.4
142,Bydgoszcz,2410,9.4,8.8
143,Bydgoszcz,1820,8.6,8.8
144,Bydgoszcz,3430,8.7,9.2
145,Bydgoszcz,1790,8.5,9.2
146,Bydgoszcz,3110,9.1,9.4
147,Bydgoszcz,1890,8.4,9.8
148,Bydgoszcz,1386,8.3,9.4
149,Bydgoszcz,2900,9.5,8.7
150,Bydgoszcz,3228,9.2,9.3
151,Bydgoszcz,2200,9.2,10.0
152,Bydgoszcz,3027,9.5,9.5
153,Bydgoszcz,1932,9.3,9.2
154,Bydgoszcz,2310,9.5,9.2
155,Bydgoszcz,5019,9.0,8.7
156,Bydgoszcz,1569,9.3,9.4
