,City,Cost,Rating,Comfort
0,Gliwice,1130,10.0,10.0
1,Gliwice,1980,8.5,9.0
2,Gliwice,1399,8.4,8.5
3,Gliwice,1449,9.0,9.3
4,Gliwice,875,8.1,8.2
5,Gliwice,1130,8.5,8.8
6,Gliwice,1461,9.1,9.3
7,Gliwice,1400,10.0,10.0
8,Gliwice,2115,8.4,8.4
9,Gliwice,1309,8.4,8.5
10,Gliwice,1879,7.5,8.3
11,Gliwice,2975,8.7,9.4
12,Gliwice,772,9.2,10.0
13,Gliwice,904,10.0,9.2
14,Gliwice,1330,7.5,9.1
15,Gliwice,1369,9.1,8.7
16,Gliwice,1260,8.7,10.0
17,Gliwice,2128,8.5,9.1
18,Gliwice,840,10.0,8.0
19,Gliwice,1203,9.0,8.8
20,Gliwice,1687,8.1,8.1
21,Gliwice,1750,8.9,8.8
22,Gliwice,1337,7.9,8.0
23,Gliwice,1548,8.8,9.2
24,Gliwice,1365,8.0,9.4
25,Gliwice,1440,9.3,9.1
26,Gliwice,990,9.5,8.6
27,Gliwice,1755,9.0,8.3
28,Gliwice,1260,7.1,9.1
29,Gliwice,840,8.4,9.2
30,Gliwice,1225,8.3,9.4
31,Gliwice,1250,8.9,8.7
32,Gliwice,1400,9.0,8.4
33,Gliwice,1393,9.3,8.3
34,Gliwice,1323,8.6,8.2
35,Gliwice,1190,8.4,9.0
36,Gliwice,2350,8.4,10.0
37,Gliwice,1015,8.2,9.3
38,Gliwice,1680,8.8,9.1
39,Gliwice,2905,9.7,9.3
40,Gliwice,1540,9.4,8.8
41,Gliwice,945,9.2,10.0
42,Gliwice,1900,9.2,9.6
43,Gliwice,1190,8.8,8.7
44,Gliwice,2335,9.9,8.4
45,Gliwice,1624,9.4,10.0
46,Gliwice,1317,8.8,9.5
47,Gliwice,1481,8.3,9.6
48,Gliwice,1428,10.0,9.3
49,Gliwice,1928,9.3,8.4
50,Gliwice,1746,9.7,9.6
51,Gliwice,910,9.2,9.5
52,Gliwice,1922,8.5,9.3
53,Gliwice,1911,9.3,9.7
54,Gliwice,1764,9.4,9.2
55,Gliwice,1610,9.3,9.0
56,Gliwice,1588,9.0,9.5
57,Gliwice,1540,9.2,9.7
58,Gliwice,1554,8.9,8.9
59,Gliwice,1610,9.3,9.4
60,Gliwice,1943,9.9,9.5
61,Gliwice,1707,8.7,9.6
62,Gliwice,1755,9.3,8.4
63,Gliwice,3100,9.5,9.7
64,Gliwice,1579,9.2,9.1
65,Gliwice,2016,8.3,9.2
66,Gliwice,2402,7.9,9.8
67,Gliwice,1911,9.5,9.5
68,Gliwice,2195,9.1,9.1
69,Gliwice,1350,9.2,10.0
70,Gliwice,2895,9.9,9.3
71,Gliwice,1610,9.5,9.1
72,Gliwice,735,9.2,9.8
73,Gliwice,1888,9.0,10.0
74,Gliwice,1453,9.5,9.5
75,Gliwice,1352,9.2,9.1
76,Gliwice,2854,7.3,9.8
77,Gliwice,3305,9.4,10.0
78,Gliwice,1690,9.7,9.7
79,Gliwice,3867,9.3,8.9
80,Gliwice,1719,9.2,9.5
81,Gliwice,1960,9.7,10.0
82,Gliwice,2793,9.0,9.5
83,Gliwice,1687,9.6,9.8
84,Gliwice,2318,8.7,9.5
85,Gliwice,2325,9.7,9.6
86,Gliwice,3536,10.0,9.8
87,Gliwice,2730,9.4,9.4
88,Gliwice,1824,9.7,9.9
89,Gliwice,1388,9.5,9.0
90,Gliwice,2100,9.5,8.3
91,Gliwice,2125,9.5,9.8
92,Gliwice,1584,9.3,9.7
93,Gliwice,1575,9.7,8.8
94,Gliwice,2314,9.0,9.6
95,Gliwice,3257,8.2,9.6
96,Gliwice,2520,9.5,9.8
97,Gliwice,2100,9.7,9.7
98,Gliwice,2197,7.7,9.8
99,Gliwice,2664,8.9,9.4
100,Gliwice,4900,9.6,10.0
101,Gliwice,2673,8.7,9.2
