,City,Cost,Rating,Comfort
0,Jelenia Góra,1852,9.7,9.6
1,Jelenia Góra,1365,8.0,8.1
2,Jelenia Góra,1400,8.1,8.3
3,Jelenia Góra,560,8.0,10.0
4,Jelenia Góra,2303,9.4,9.1
5,"Cieplice, Jelenia Góra",1890,9.1,8.7
6,"Cieplice, Jelenia Góra",1485,8.8,9.6
7,Jelenia Góra,2072,9.5,8.6
8,Jelenia Góra,1558,8.7,8.4
9,"Cieplice, Jelenia Góra",1928,5.6,10.0
10,"Cieplice, Jelenia Góra",1459,8.6,9.4
11,Jelenia Góra,630,10.0,9.8
12,Jelenia Góra,560,9.2,9.4
13,"Cieplice, Jelenia Góra",1673,9.9,8.9
14,Jelenia Góra,1332,9.2,9.6
15,Jelenia Góra,2100,9.0,9.6
16,Jelenia Góra,980,9.5,10.0
17,Jelenia Góra,1458,9.5,10.0
18,"Cieplice, Jelenia Góra",1268,7.5,9.3
19,Jelenia Góra,1252,10.0,8.3
20,Jelenia Góra,1225,10.0,10.0
21,"Cieplice, Jelenia Góra",1960,9.3,9.8
22,Jelenia Góra,1809,8.0,9.7
23,Jelenia Góra,1190,8.3,9.9
24,"Cieplice, Jelenia Góra",1017,10.0,9.3
25,"Cieplice, Jelenia Góra",1705,9.7,9.1
26,Jelenia Góra,1809,9.5,9.1
27,Jelenia Góra,1887,9.7,9.1
28,Jelenia Góra,1276,9.2,9.4
29,"Cieplice, Jelenia Góra",1130,8.9,9.6
30,Jelenia Góra,1568,9.0,10.0
31,Jelenia Góra,1597,9.2,9.1
32,"Cieplice, Jelenia Góra",1230,9.4,9.0
33,Jelenia Góra,1120,9.6,9.4
34,Jelenia Góra,1727,10.0,8.8
35,Jelenia Góra,1225,9.3,9.2
36,Jelenia Góra,2170,9.0,8.2
37,"Cieplice, Jelenia Góra",970,9.5,9.4
38,Jelenia Góra,490,8.9,9.6
39,Jelenia Góra,1601,9.3,9.7
40,"Cieplice, Jelenia Góra",1533,8.5,8.7
41,Jelenia Góra,1360,9.3,9.7
42,"Cieplice, Jelenia Góra",1085,9.3,9.0
43,Jelenia Góra,1120,9.4,10.0
44,Jelenia Góra,1617,8.7,9.1
45,"Cieplice, Jelenia Góra",2204,9.6,8.9
46,"Cieplice, Jelenia Góra",1718,8.9,10.0
47,Jelenia Góra,1393,9.8,10.0
48,"Cieplice, Jelenia Góra",970,9.1,9.0
49,Jelenia Góra,1400,9.8,10.0
50,Jelenia Góra,2219,10.0,8.9
51,Jelenia Góra,1821,9.7,9.5
52,"Cieplice, Jelenia Góra",3675,9.8,9.7
53,Jelenia Góra,3490,10.0,10.0
54,"Cieplice, Jelenia Góra",2259,8.9,9.8
55,Jelenia Góra,2660,9.3,9.4
56,Jelenia Góra,2225,9.5,9.6
57,"Cieplice, Jelenia Góra",2590,10.0,9.2
58,Jelenia Góra,2514,9.7,8.9
59,"Cieplice, Jelenia Góra",2800,9.4,9.1
60,Jelenia Góra,2800,9.5,9.0
61,Jelenia Góra,2134,9.3,9.5
62,"Cieplice, Jelenia Góra",2030,8.8,9.3
63,Jelenia Góra,2590,9.0,9.5
64,Jelenia Góra,2075,8.9,9.4
65,Jelenia Góra,2106,9.5,9.5
66,Jelenia Góra,3723,9.3,9.2
67,Jelenia Góra,1120,9.4,9.7
68,Jelenia Góra,764,9.2,9.2
69,Jelenia Góra,1960,9.5,9.7
70,Jelenia Góra,1533,9.2,9.4
71,Jelenia Góra,1549,9.7,9.7
72,Jelenia Góra,1120,9.0,9.5
73,Jelenia Góra,1575,9.6,9.6
