,City,Cost,Rating,Comfort
0,Lublin,1099,7.2,9.0
1,Lublin,918,9.6,8.3
2,Lublin,2071,8.5,8.8
3,Lublin,1460,8.6,9.7
4,"Stare Miasto, Lublin",1693,9.6,8.8
5,Lublin,1077,8.7,8.6
6,Lublin,980,8.6,10.0
7,Lublin,1392,10.0,9.2
8,Lublin,1290,7.9,9.0
9,Lublin,1049,8.7,8.5
10,"Stare Miasto, Lublin",1610,9.1,9.0
11,Lublin,595,8.4,8.7
12,Lublin,3090,8.7,9.5
13,Lublin,1578,8.6,9.4
14,Lublin,3893,9.6,8.6
15,Lublin,2516,9.1,8.5
16,"Stare Miasto, Lublin",4099,8.6,9.1
17,Lublin,1190,8.6,9.2
18,Lublin,1320,9.1,9.5
19,Lublin,2079,9.0,9.6
20,Lublin,3024,9.4,8.6
21,Lublin,1210,9.5,8.3
22,Lublin,1183,8.0,8.1
23,Lublin,1190,8.7,8.7
24,Lublin,686,7.6,9.5
25,Lublin,840,1.0,9.3
26,Lublin,1869,8.1,9.5
27,Lublin,1323,8.1,8.8
28,Lublin,693,8.7,9.1
29,Lublin,2145,9.5,10.0
30,Lublin,1249,9.2,9.4
31,"Stare Miasto, Lublin",1153,9.3,9.4
32,"Stare Miasto, Lublin",2217,8.6,9.5
33,Lublin,1539,9.1,9.2
34,Lublin,1260,10.0,8.1
35,Lublin,1251,9.5,10.0
36,Lublin,1734,9.0,9.2
37,Lublin,2362,9.6,9.2
38,Lublin,1416,9.1,9.7
39,"Stare Miasto, Lublin",1260,8.2,8.8
40,Lublin,612,10.0,8.1
41,Lublin,1818,9.1,9.2
42,Lublin,2011,9.0,8.5
43,Lublin,2306,9.6,9.0
44,Lublin,1280,8.8,9.2
45,Lublin,1400,8.2,8.1
46,Lublin,1225,7.3,9.1
47,Lublin,315,9.0,8.0
48,Lublin,770,8.5,9.1
49,Lublin,1715,9.0,9.3
50,Lublin,1610,9.2,8.8
51,Lublin,1528,7.9,9.0
52,Lublin,560,9.1,8.4
53,Lublin,1740,7.9,9.3
54,Lublin,1365,8.8,9.4
55,Lublin,1701,7.2,8.6
56,"Stare Miasto, Lublin",1309,9.1,8.3
57,Lublin,2193,8.6,9.4
58,Lublin,1853,9.0,9.8
59,Lublin,390,8.7,8.7
60,Lublin,1008,9.1,8.6
61,Lublin,2201,9.0,8.1
62,Lublin,1979,8.9,9.4
63,Lublin,1285,8.0,9.3
64,Lublin,1435,9.3,8.8
65,Lublin,1648,9.1,9.5
66,Lublin,1870,8.7,9.1
67,Lublin,1645,8.6,8.9
68,Lublin,1015,7.8,8.8
69,Lublin,1662,9.5,10.0
70,Lublin,1512,9.3,8.8
71,Lublin,1229,8.8,9.0
72,Lublin,833,9.5,9.4
73,Lublin,1485,9.1,8.6
74,"Stare Miasto, Lublin",1383,7.3,9.1
75,Lublin,840,8.9,8.6
76,"Stare Miasto, Lublin",1383,8.0,9.9
77,"Stare Miasto, Lublin",818,8.7,9.7
78,Lublin,1042,10.0,8.4
79,Lublin,1904,8.6,9.6
80,Lublin,1449,8.8,8.4
81,Lublin,2235,9.2,8.6
82,"Stare Miasto, Lublin",1547,8.4,9.0
83,Lublin,1709,9.1,8.4
84,Lublin,2024,8.8,8.9
85,Lublin,1381,9.9,9.4
86,Lublin,3714,9.6,8.9
87,"Stare Miasto, Lublin",3540,8.5,9.0
88,Lublin,2033,9.6,8.2
89,Lublin,1921,8.3,8.5
90,Lublin,1651,8.5,10.0
91,Lublin,1508,9.1,8.4
92,Lublin,2401,8.4,8.4
93,Lublin,2318,9.0,9.6
94,Lublin,2468,9.5,9.1
95,"Stare Miasto, Lublin",2455,9.0,10.0
96,Lublin,2254,9.1,9.8
97,Lublin,4710,8.2,9.1
98,Lublin,2440,8.5,8.9
99,Lublin,1494,7.7,9.9
100,Lublin,1512,6.3,9.2
101,Lublin,700,9.0,10.0
102,Lublin,2079,9.0,9.6
103,Lublin,1552,8.5,8.1
104,"Stare Miasto, Lublin",1603,9.2,9.5
105,Lublin,2061,9.0,9.3
106,"Stare Miasto, Lublin",2093,7.8,9.0
107,Lublin,2163,7.7,9.6
108,Lublin,1330,9.5,9.6
109,Lublin,2450,7.9,9.6
110,Lublin,720,9.9,10.0
111,Lublin,1947,5.0,8.0
112,Lublin,1607,8.7,8.0
113,Lublin,1568,9.1,8.8
114,Lublin,1357,9.7,8.2
115,Lublin,2625,9.4,8.9
116,Lublin,1383,8.0,9.1
117,Lublin,1612,9.9,9.2
118,Lublin,2981,9.5,9.6
119,"Stare Miasto, Lublin",1575,8.1,9.1
120,Lublin,700,9.5,8.5
121,Lublin,2205,9.2,9.7
122,Lublin,1926,8.8,10.0
123,Lublin,2715,9.4,9.4
124,Lublin,1566,9.8,9.3
125,Lublin,2210,9.5,8.3
126,"Stare Miasto, Lublin",1750,9.4,8.4
127,Lublin,2362,7.8,9.1
128,Lublin,825,8.1,9.2
129,Lublin,993,7.7,9.6
130,Lublin,1400,9.0,9.3
131,Lublin,1666,8.2,9.2
132,Lublin,818,8.8,9.3
133,Lublin,2065,9.2,9.6
134,Lublin,1265,9.3,9.5
135,Lublin,2210,9.5,8.9
136,Lublin,3060,8.9,8.7
137,Lublin,2060,8.3,8.3
138,Lublin,1017,9.8,8.2
139,Lublin,2210,10.0,9.6
140,Lublin,3014,9.2,8.4
141,Lublin,2038,9.1,9.1
142,Lublin,1623,8.4,9.6
143,Lublin,1521,8.6,9.3
144,Lublin,1414,8.9,9.6
145,"Stare Miasto, Lublin",1738,8.9,9.1
146,Lublin,1682,9.5,9.3
147,Lublin,1630,9.7,8.9
148,Lublin,2123,9.0,9.8
149,Lublin,2210,9.1,10.0
150,Lublin,2410,9.5,9.1
151,Lublin,2550,9.4,9.3
152,Lublin,2190,8.8,9.6
153,"Stare Miasto, Lublin",1575,8.7,9.6
154,Lublin,1718,8.1,9.9
155,Lublin,930,8.4,9.5
156,Lublin,1169,9.2,9.4
157,Lublin,1733,8.5,9.9
158,"Stare Miasto, Lublin",4522,9.1,8.7
159,Lublin,2053,9.6,9.3
160,Lublin,2170,9.0,8.8
161,Lublin,2660,9.6,9.3
162,"Stare Miasto, Lublin",2169,8.7,9.4
163,"Stare Miasto, Lublin",2390,9.3,8.4
164,Lublin,1610,7.9,9.3
165,Lublin,1159,8.8,8.9
166,Lublin,1523,10.0,8.5
167,Lublin,2205,10.0,9.5
168,"Stare Miasto, Lublin",2016,8.9,9.3
169,Lublin,2088,9.1,8.6
170,Lublin,1521,9.0,9.4
171,Lublin,1512,9.3,10.0
172,Lublin,2550,9.5,8.9
173,Lublin,2132,9.5,8.9
174,Lublin,2360,7.6,9.9
175,Lublin,1339,9.4,9.4
176,Lublin,2113,9.8,9.9
177,Lublin,1821,8.3,8.8
178,"Stare Miasto, Lublin",1680,8.0,9.7
179,"Stare Miasto, Lublin",1573,9.3,9.5
180,Lublin,1933,8.7,9.1
181,Lublin,2170,9.3,9.2
182,Lublin,2560,9.3,9.7
183,Lublin,1663,8.4,9.0
184,Lublin,1882,6.8,9.0
185,Lublin,1507,9.0,8.7
186,Lublin,728,8.8,8.4
187,Lublin,1957,8.5,8.4
188,Lublin,1795,8.0,8.9
189,Lublin,1855,9.4,9.0
190,Lublin,2073,9.3,9.3
191,"Stare Miasto, Lublin",1575,2.3,9.7
192,Lublin,2210,8.6,9.2
193,Lublin,2800,9.2,8.8
194,Lublin,1254,7.8,9.3
195,"Stare Miasto, Lublin",2049,9.9,9.5
196,"Stare Miasto, Lublin",3019,9.2,9.7
197,Lublin,2118,9.2,9.8
198,Lublin,1934,9.7,9.4
199,Lublin,8479,9.4,8.0
200,Lublin,8479,9.8,9.2
201,Lublin,2975,8.7,8.7
202,Lublin,1814,9.6,9.1
203,Lublin,2080,9.3,9.6
204,Lublin,3361,8.8,8.1
205,Lublin,2362,9.6,10.0
206,Lublin,2958,9.8,9.1
207,Lublin,2550,9.1,9.1
208,Lublin,2210,8.7,9.3
209,"Stare Miasto, Lublin",2619,8.1,9.9
210,Lublin,2410,9.0,9.9
211,Lublin,2550,8.8,9.0
212,Lublin,3227,8.3,8.5
213,Lublin,998,8.7,9.6
214,Lublin,1109,9.0,8.8
215,Lublin,1190,9.2,9.5
216,Lublin,998,9.5,8.8
217,Lublin,2118,9.3,9.6
218,Lublin,1795,8.8,9.9
219,Lublin,2380,9.3,8.8
220,Lublin,2625,9.5,9.1
221,"Stare Miasto, Lublin",2048,9.8,8.9
222,Lublin,2170,9.5,9.6
223,Lublin,2345,7.7,9.2
224,Lublin,2590,9.2,9.4
225,Lublin,2599,8.1,9.2
226,Lublin,2213,8.9,8.5
227,Lublin,2410,8.7,9.6
228,Lublin,2073,9.4,8.8
229,Lublin,2800,9.4,9.7
230,Lublin,2210,8.2,9.4
231,Lublin,3126,9.9,8.8
232,Lublin,2940,9.1,8.9
233,Lublin,1098,9.1,9.1
234,Lublin,1706,8.9,9.4
235,Lublin,1521,9.9,8.2
236,Lublin,2169,6.9,9.5
237,Lublin,2169,9.9,8.4
