,City,Cost,Rating,Comfort
0,Nowy Sącz,1661,9.3,9.2
1,Nowy Sącz,1540,9.8,10.0
2,Nowy Sącz,1043,9.3,9.3
3,Nowy Sącz,1017,8.6,8.5
4,Nowy Sącz,1715,8.9,9.0
5,Nowy Sącz,665,9.3,9.4
6,Nowy Sącz,1260,9.0,9.4
7,Nowy Sącz,1155,9.9,10.0
8,Nowy Sącz,1540,9.0,9.6
9,Nowy Sącz,2056,8.8,9.1
10,Nowy Sącz,1955,9.4,9.4
11,Nowy Sącz,2025,9.6,9.9
12,Nowy Sącz,1725,9.2,9.4
13,Nowy Sącz,3010,9.8,9.8
14,Nowy Sącz,1496,8.5,8.4
15,Nowy Sącz,1327,9.6,9.5
16,Nowy Sącz,1400,9.7,9.4
17,Nowy Sącz,2083,9.7,9.9
18,Nowy Sącz,3348,9.7,9.8
19,Nowy Sącz,624,8.3,8.5
20,Nowy Sącz,1929,10.0,10.0
21,Nowy Sącz,1327,9.7,9.7
22,Nowy Sącz,2262,9.7,9.7
23,Nowy Sącz,1963,9.3,9.4
24,Nowy Sącz,2625,9.6,9.7
25,Nowy Sącz,4284,9.5,9.6
26,Nowy Sącz,1832,8.8,8.6
27,Nowy Sącz,1736,9.8,9.8
28,Nowy Sącz,2175,9.0,9.2
29,Nowy Sącz,1155,9.9,10.0
30,Nowy Sącz,5273,9.8,9.6
31,Nowy Sącz,2010,9.8,9.7
32,Nowy Sącz,1257,9.4,10.0
33,Nowy Sącz,1610,10.0,10.0
34,Nowy Sącz,2408,9.8,9.9
35,Nowy Sącz,6195,9.6,9.6
36,Nowy Sącz,1996,9.8,10.0
