,City,Cost,Rating,Comfort
0,Olsztyn,2723,8.7,8.7
1,Olsztyn,1212,8.0,8.6
2,Olsztyn,540,8.5,8.4
3,Olsztyn,1672,8.0,9.4
4,Olsztyn,1485,8.3,8.8
5,Olsztyn,2391,9.6,10.0
6,Olsztyn,1120,7.8,10.0
7,Olsztyn,1035,7.7,8.4
8,Olsztyn,989,9.8,8.4
9,Olsztyn,1496,8.0,9.0
10,Olsztyn,1482,8.6,8.8
11,Olsztyn,2115,8.3,9.4
12,Olsztyn,1450,8.8,10.0
13,Olsztyn,1245,8.8,9.8
14,Olsztyn,1040,8.9,9.2
15,Olsztyn,645,9.9,10.0
16,Olsztyn,2045,9.7,9.1
17,Olsztyn,8052,9.3,9.5
18,Olsztyn,2217,10.0,8.7
19,Olsztyn,1270,8.4,10.0
20,Olsztyn,2371,9.6,8.4
21,Olsztyn,1236,8.5,10.0
22,Olsztyn,2362,8.0,10.0
23,Olsztyn,2004,9.5,10.0
24,Olsztyn,2080,8.6,8.8
25,Olsztyn,1268,10.0,9.5
26,Olsztyn,2377,9.8,9.5
27,Olsztyn,1400,7.6,8.1
28,Olsztyn,2131,9.9,9.5
29,Olsztyn,1496,8.5,10.0
30,Olsztyn,903,9.8,9.5
31,Olsztyn,1247,9.4,9.8
32,Olsztyn,1959,7.8,10.0
33,Olsztyn,2195,9.3,9.7
34,Olsztyn,2265,9.7,8.8
35,Olsztyn,1482,9.6,9.7
36,Olsztyn,1110,9.6,8.5
37,Olsztyn,2695,7.7,9.4
38,Olsztyn,1383,7.8,9.3
39,Olsztyn,1166,10.0,9.6
40,Olsztyn,2751,9.5,9.3
41,Olsztyn,1555,8.8,9.2
42,Olsztyn,925,9.8,9.6
43,Olsztyn,2342,8.4,10.0
44,Olsztyn,1828,9.4,8.8
45,Olsztyn,895,9.1,9.2
46,Olsztyn,2257,9.6,8.1
47,Olsztyn,2239,9.2,9.4
48,Olsztyn,1275,9.5,8.4
49,Olsztyn,2308,9.7,9.4
50,Olsztyn,1835,8.0,9.4
51,Olsztyn,1225,9.7,9.2
52,Olsztyn,2031,9.3,9.0
53,Olsztyn,2035,8.2,10.0
54,Olsztyn,2115,9.2,9.3
55,Olsztyn,1765,8.1,8.8
56,Olsztyn,1800,8.6,9.2
57,Olsztyn,1420,9.2,8.6
58,Olsztyn,4393,9.3,10.0
59,Olsztyn,1450,8.9,9.3
60,Olsztyn,1450,8.9,8.9
61,Olsztyn,2938,9.7,9.4
62,Olsztyn,3133,9.5,10.0
63,Olsztyn,2539,8.9,8.5
64,Olsztyn,2539,9.2,8.9
65,Olsztyn,4770,8.6,9.6
66,Olsztyn,1943,9.1,8.4
67,Olsztyn,2171,9.1,8.4
68,Olsztyn,1190,8.7,9.6
69,Olsztyn,700,9.2,9.6
70,Olsztyn,2115,10.0,9.5
71,Olsztyn,1904,8.8,9.0
72,Olsztyn,1895,8.6,10.0
73,Olsztyn,8128,9.6,9.4
74,Olsztyn,2278,8.4,8.3
75,Olsztyn,1725,8.3,9.7
76,Olsztyn,888,9.7,8.8
77,Olsztyn,1728,7.1,8.4
78,Olsztyn,1880,9.5,10.0
79,Olsztyn,1245,9.5,9.2
80,Olsztyn,1902,8.8,9.0
81,Olsztyn,2295,6.9,9.3
82,Olsztyn,1290,9.5,9.9
83,Olsztyn,2059,9.5,9.4
84,Olsztyn,1153,8.3,9.6
85,Olsztyn,1040,9.7,9.6
86,Olsztyn,2105,9.2,8.6
87,Olsztyn,1860,8.8,10.0
88,Olsztyn,1821,9.5,9.3
89,Olsztyn,1890,9.7,9.4
90,Olsztyn,1815,9.8,9.3
91,Olsztyn,1541,9.4,9.3
92,Olsztyn,3393,9.8,9.6
93,Olsztyn,2484,9.6,10.0
94,Olsztyn,2314,9.3,8.7
95,Olsztyn,2552,9.5,10.0
96,Olsztyn,2204,8.8,10.0
97,Olsztyn,3729,10.0,8.6
98,Olsztyn,5739,9.1,9.7
99,Olsztyn,2398,8.9,9.6
100,Olsztyn,1765,9.4,9.4
101,Olsztyn,2015,9.1,8.8
102,Olsztyn,1990,9.6,9.5
103,Olsztyn,4521,9.9,9.3
104,Olsztyn,2045,8.6,8.8
105,Olsztyn,4584,9.7,10.0
106,Olsztyn,3347,10.0,9.1
107,Olsztyn,1300,8.9,9.6
108,Olsztyn,1844,9.4,9.4
109,Olsztyn,3530,9.6,9.6
110,Olsztyn,8052,9.3,9.4
111,Olsztyn,1805,8.6,8.8
112,Olsztyn,1401,9.5,9.8
113,Olsztyn,2535,9.2,8.8
114,Olsztyn,1940,8.7,10.0
115,Olsztyn,1862,10.0,8.4
116,Olsztyn,1400,8.9,10.0
117,Olsztyn,2305,9.6,9.2
118,Olsztyn,2753,9.4,8.6
119,Olsztyn,1701,9.7,8.8
120,Olsztyn,1720,9.3,9.7
121,Olsztyn,1704,8.9,8.9
