,City,Cost,Rating,Comfort
0,Opole,775,9.1,9.1
1,Opole,1458,8.7,8.7
2,Opole,935,8.4,8.4
3,Opole,1620,9.2,9.0
4,Opole,2373,8.7,8.9
5,Opole,1414,9.7,8.8
6,Opole,919,9.1,9.0
7,Opole,1348,7.7,9.2
8,Opole,945,10.0,10.0
9,Opole,1607,10.0,9.1
10,Opole,920,9.1,8.7
11,Opole,1543,8.4,10.0
12,Opole,1553,9.9,10.0
13,Opole,1620,9.5,10.0
14,Opole,1960,10.0,10.0
15,Opole,1320,9.0,8.4
16,Opole,1260,8.1,8.7
17,Opole,1750,8.6,9.2
18,Opole,2623,9.0,9.1
19,Opole,1428,9.0,8.7
20,Opole,1596,8.7,10.0
21,Opole,2274,10.0,8.9
22,Opole,1950,9.3,8.4
23,Opole,1204,8.3,9.0
24,Opole,1470,9.0,9.1
25,Opole,1190,9.2,9.6
26,Opole,1705,9.5,8.6
27,Opole,1620,8.4,10.0
28,Opole,3658,9.7,8.5
29,Opole,1428,8.3,8.4
30,Opole,1330,8.0,8.9
31,Opole,707,6.8,9.7
32,Opole,1854,9.2,8.4
33,Opole,2966,9.8,8.2
34,Opole,1456,8.4,9.5
35,Opole,1239,8.6,9.2
36,Opole,1620,7.8,8.3
37,Opole,1050,8.0,9.5
38,Opole,1750,9.5,8.3
39,Opole,2583,9.1,8.8
40,Opole,1620,8.3,8.8
41,Opole,2300,9.2,8.7
42,Opole,1785,8.6,8.3
43,Opole,1620,8.8,8.1
44,Opole,1400,8.7,9.4
45,Opole,1890,8.8,8.6
46,Opole,2892,7.0,8.9
47,Opole,2471,8.0,8.5
48,Opole,1620,8.1,9.0
49,Opole,2513,9.3,8.4
50,Opole,2185,8.2,9.4
51,Opole,1955,8.7,8.4
52,Opole,1955,8.6,8.7
53,Opole,1351,7.6,8.2
54,Opole,2363,8.5,8.4
55,Opole,2183,8.3,8.8
56,Opole,2221,9.3,8.1
57,Opole,1496,8.4,8.6
58,Opole,2800,8.7,9.9
59,Opole,2312,8.0,8.7
60,Opole,1253,8.2,9.7
61,Opole,1885,8.9,10.0
62,Opole,2273,8.3,9.0
63,Opole,1955,8.7,10.0
64,Opole,3040,9.6,9.6
65,Opole,2100,7.7,9.6
66,Opole,1857,9.0,9.3
67,Opole,2592,6.9,9.0
68,Opole,2119,9.3,8.5
69,Opole,1330,10.0,9.2
70,Opole,1921,8.8,9.5
71,Opole,2633,8.0,8.6
72,Opole,2040,6.0,8.1
73,Opole,2340,9.3,8.3
74,Opole,3150,9.6,8.7
75,Opole,2737,9.4,8.9
76,Opole,2241,9.1,8.8
