,City,Cost,Rating,Comfort
0,Przemyśl,1224,9.2,9.4
1,Przemyśl,1400,9.2,9.3
2,Przemyśl,1975,10.0,10.0
3,Przemyśl,1848,10.0,9.8
4,Przemyśl,1743,9.0,9.2
5,Przemyśl,1482,9.3,9.3
6,Przemyśl,1190,9.4,9.2
7,Przemyśl,1160,8.2,8.5
8,Przemyśl,1904,6.5,8.6
9,Przemyśl,1567,8.8,9.3
10,Przemyśl,1260,8.0,9.1
11,Przemyśl,1470,9.2,9.7
12,Przemyśl,1314,8.8,9.8
13,Przemyśl,1610,9.5,9.8
14,Przemyśl,1260,9.6,9.7
15,Przemyśl,1708,9.6,8.5
16,Przemyśl,2240,9.6,9.4
17,Przemyśl,1393,7.0,9.2
18,Przemyśl,1441,7.4,8.8
19,Przemyśl,690,8.2,9.6
20,Przemyśl,2220,8.5,8.7
21,Przemyśl,1916,9.4,8.9
22,Przemyśl,1785,9.5,9.5
23,Przemyśl,1680,8.2,10.0
24,Przemyśl,1421,9.7,9.7
25,Przemyśl,2240,8.4,9.6
26,Przemyśl,1499,8.8,9.3
27,Przemyśl,1702,9.5,9.7
28,Przemyśl,1488,10.0,9.7
29,Przemyśl,1975,9.7,9.8
30,Przemyśl,2142,9.2,8.9
31,Przemyśl,1369,9.3,10.0
32,Przemyśl,1764,9.7,8.9
33,Przemyśl,2095,9.7,8.9
34,Przemyśl,1926,10.0,9.6
35,Przemyśl,1848,9.3,9.5
36,Przemyśl,904,9.0,9.3
37,Przemyśl,2087,8.8,9.8
38,Przemyśl,2205,9.0,9.5
39,Przemyśl,1555,9.5,8.5
40,Przemyśl,2185,9.4,8.5
41,Przemyśl,1225,9.4,9.8
42,Przemyśl,2030,9.7,9.6
43,Przemyśl,1862,9.5,9.5
44,Przemyśl,2083,8.6,8.0
45,Przemyśl,1767,8.3,9.1
46,Przemyśl,1411,9.6,9.7
47,Przemyśl,1520,9.6,9.2
48,Przemyśl,1678,9.5,10.0
49,Przemyśl,1754,8.0,10.0
50,Przemyśl,1752,8.9,8.2
51,Przemyśl,1183,9.6,9.1
52,Przemyśl,1870,9.0,9.9
53,Przemyśl,2013,9.6,9.5
54,Przemyśl,1743,9.9,9.3
55,Przemyśl,2249,8.1,9.7
56,Przemyśl,1792,8.9,10.0
57,Przemyśl,1610,9.8,9.4
58,Przemyśl,1743,9.6,9.8
59,Przemyśl,2870,9.5,9.5
60,Przemyśl,1482,9.9,9.6
61,Przemyśl,1820,10.0,10.0
62,Przemyśl,2083,8.0,8.0
63,Przemyśl,2380,9.3,9.3
64,Przemyśl,2975,7.2,9.1
65,Przemyśl,1225,9.5,9.2
66,Przemyśl,1817,9.6,8.0
67,Przemyśl,1155,9.4,8.7
68,Przemyśl,2730,10.0,9.3
69,Przemyśl,2346,8.2,9.9
70,Przemyśl,2332,9.4,9.6
71,Przemyśl,2093,8.7,9.6
72,Przemyśl,2083,9.4,9.6
73,Przemyśl,322,7.9,9.2
74,Przemyśl,2072,8.5,9.0
75,Przemyśl,2568,9.3,10.0
76,Przemyśl,1960,9.8,9.4
77,Przemyśl,980,9.8,9.2
78,Przemyśl,2842,9.6,9.9
79,Przemyśl,1190,7.6,9.9
80,Przemyśl,1981,9.6,9.7
81,Przemyśl,2085,9.4,9.4
82,Przemyśl,1855,8.8,8.3
83,Przemyśl,2520,6.6,9.5
84,Przemyśl,2205,9.9,9.9
85,Przemyśl,1160,9.5,10.0
86,Przemyśl,2660,9.4,10.0
87,Przemyśl,1113,9.9,8.8
88,Przemyśl,2088,9.8,9.4
89,Przemyśl,3315,9.5,10.0
90,Przemyśl,1904,9.5,9.6
91,Przemyśl,2940,8.1,8.5
92,Przemyśl,2940,8.9,8.8
93,Przemyśl,2906,9.8,8.6
94,Przemyśl,1865,10.0,8.3
95,Przemyśl,1191,10.0,10.0
96,Przemyśl,2380,8.7,10.0
97,Przemyśl,2171,9.5,8.6
98,Przemyśl,4425,9.3,9.3
