,City,Cost,Rating,Comfort
0,Sandomierz,1210,8.9,9.0
1,Sandomierz,1907,10.0,10.0
2,Sandomierz,1370,9.5,10.0
3,Sandomierz,1120,9.7,9.6
4,Sandomierz,1428,10.0,10.0
5,Sandomierz,1120,9.0,9.2
6,Sandomierz,1190,9.5,9.6
7,Sandomierz,1687,9.4,9.7
8,Sandomierz,910,8.7,8.5
9,Sandomierz,2220,8.8,8.8
10,Sandomierz,1523,9.6,9.7
11,Sandomierz,1400,9.5,9.6
12,Sandomierz,1100,8.7,8.8
13,Sandomierz,1200,9.0,9.2
14,Sandomierz,2610,8.9,9.1
15,Sandomierz,1932,9.7,9.8
16,Sandomierz,1960,7.8,9.1
17,Sandomierz,1872,5.8,9.6
18,Sandomierz,1533,9.1,8.4
19,Sandomierz,2680,9.6,9.5
20,Sandomierz,1680,8.6,9.2
21,Sandomierz,2130,9.4,9.4
22,Sandomierz,2480,9.1,9.0
23,Sandomierz,1190,9.3,9.6
24,Sandomierz,1954,9.0,8.2
25,Sandomierz,1953,9.8,9.4
26,Sandomierz,840,8.3,9.5
27,Sandomierz,1386,9.3,9.5
28,Sandomierz,1344,8.0,9.7
29,Sandomierz,1575,9.8,9.1
30,Sandomierz,1706,9.4,9.1
31,Sandomierz,1456,9.8,9.5
32,Sandomierz,980,9.3,8.5
33,Sandomierz,851,9.3,9.5
34,Sandomierz,1603,9.4,8.9
35,Sandomierz,987,8.3,9.0
36,Sandomierz,1197,9.3,9.1
37,Sandomierz,1813,8.9,9.1
38,Sandomierz,1610,9.0,9.8
39,Sandomierz,2450,9.3,8.9
40,Sandomierz,1400,9.2,9.4
41,Sandomierz,3027,9.9,9.4
42,Sandomierz,2208,8.8,9.1
43,Sandomierz,1960,9.3,9.2
44,Sandomierz,1691,9.4,9.6
45,Sandomierz,990,6.3,9.4
46,Sandomierz,2300,9.2,9.1
47,Sandomierz,2279,9.4,10.0
48,Sandomierz,2100,9.5,9.0
49,Sandomierz,1400,9.4,9.5
50,Sandomierz,2035,8.9,9.0
51,Sandomierz,1601,9.6,9.3
52,Sandomierz,1414,8.8,8.3
53,Sandomierz,1393,9.6,8.7
54,Sandomierz,1237,9.0,8.3
55,Sandomierz,1134,9.2,9.2
56,Sandomierz,998,8.3,8.7
57,Sandomierz,1750,8.7,9.4
58,Sandomierz,1540,8.4,9.3
59,Sandomierz,2440,9.1,9.7
60,Sandomierz,2610,8.8,9.3
61,Sandomierz,1610,9.4,8.6
62,Sandomierz,2480,9.2,8.3
63,Sandomierz,2100,9.5,8.8
64,Sandomierz,1450,9.4,9.8
65,Sandomierz,1680,8.6,9.8
66,Sandomierz,1400,8.5,9.0
67,Sandomierz,2670,9.1,9.2
68,Sandomierz,1925,9.7,9.8
69,Sandomierz,2100,9.6,9.2
70,Sandomierz,1060,9.0,9.0
71,Sandomierz,1369,9.1,9.7
72,Sandomierz,1667,9.8,9.7
73,Sandomierz,1960,9.3,8.5
74,Sandomierz,1190,9.0,8.3
75,Sandomierz,1610,9.6,9.6
76,Sandomierz,1540,9.9,8.6
77,Sandomierz,2463,8.5,9.8
78,Sandomierz,2240,8.2,9.8
79,Sandomierz,3015,9.5,9.8
80,Sandomierz,1356,8.4,9.0
81,Sandomierz,2000,9.6,9.7
82,Sandomierz,1547,9.8,10.0
83,Sandomierz,2580,9.7,10.0
84,Sandomierz,1610,9.0,10.0
85,Sandomierz,2023,9.7,8.8
86,Sandomierz,1905,10.0,9.3
87,Sandomierz,2331,10.0,9.1
88,Sandomierz,1872,9.8,9.7
89,Sandomierz,3824,9.0,8.8
90,Sandomierz,1479,9.4,9.9
91,Sandomierz,3867,9.3,9.3
92,Sandomierz,1617,9.6,9.7
93,Sandomierz,2170,9.2,9.2
94,Sandomierz,1944,9.7,9.4
95,Sandomierz,2767,9.1,9.8
96,Sandomierz,2301,9.5,9.7
97,Sandomierz,1540,9.1,9.8
98,Sandomierz,3280,9.5,9.3
99,Sandomierz,2109,9.7,9.5
100,Sandomierz,2415,9.9,9.6
101,Sandomierz,2228,9.6,9.5
102,Sandomierz,1972,8.9,9.2
