,City,Cost,Rating,Comfort
0,Sanok,910,8.8,8.8
1,Sanok,945,7.0,8.2
2,Sanok,1050,8.3,9.1
3,Sanok,910,9.0,9.2
4,Sanok,1260,9.0,9.8
5,Sanok,1260,9.6,10.0
6,Sanok,1428,10.0,8.5
7,Sanok,1191,8.9,8.6
8,Sanok,1292,8.7,9.9
9,Sanok,1180,9.8,8.8
10,Sanok,1436,8.7,9.6
11,Sanok,1365,9.7,8.8
12,Sanok,3059,9.1,9.4
13,Sanok,560,9.5,9.5
14,Sanok,1270,9.4,8.4
15,Sanok,1180,8.3,9.8
16,Sanok,1159,9.7,9.8
17,Sanok,1610,9.5,9.6
18,Sanok,1750,9.6,9.5
19,Sanok,2800,9.5,8.5
20,Sanok,1736,8.7,9.5
21,Sanok,1190,9.6,9.5
22,Sanok,1050,9.6,9.1
23,Sanok,1540,9.2,9.8
24,Sanok,1680,9.9,9.4
25,Sanok,1400,9.4,9.2
26,Sanok,945,9.2,9.7
27,Sanok,1470,9.7,9.8
28,Sanok,1578,4.0,10.0
29,Sanok,1288,9.8,9.2
30,Sanok,1186,9.6,10.0
31,Sanok,1447,8.7,9.2
32,Sanok,1821,9.7,9.9
33,Sanok,1610,8.9,9.7
34,Sanok,9800,9.9,10.0
35,Sanok,2016,9.7,8.9
36,Sanok,9800,9.9,9.7
37,Sanok,1600,9.1,9.3
38,Sanok,1453,9.7,9.6
