,City,Cost,Rating,Comfort
0,Toruń,1204,7.9,10.0
1,"Stare Miasto, Toruń",1682,8.0,9.2
2,Toruń,854,7.3,8.9
3,"Stare Miasto, Toruń",1080,8.0,9.4
4,"Stare Miasto, Toruń",1462,7.9,8.6
5,Toruń,1103,10.0,9.2
6,Toruń,1548,7.5,8.6
7,Toruń,924,9.1,8.7
8,"Stare Miasto, Toruń",1575,8.6,10.0
9,"Stare Miasto, Toruń",1332,8.0,9.8
10,"Stare Miasto, Toruń",2262,8.8,8.0
11,Toruń,1515,9.5,8.6
12,"Stare Miasto, Toruń",1680,8.7,8.7
13,"Stare Miasto, Toruń",1400,8.9,9.6
14,Toruń,1227,7.0,9.5
15,Toruń,978,9.5,9.2
16,Toruń,770,9.9,8.9
17,Toruń,1414,8.0,10.0
18,"Stare Miasto, Toruń",1299,8.1,10.0
19,"Stare Miasto, Toruń",1863,8.8,9.2
20,"Stare Miasto, Toruń",2305,8.8,9.1
21,Toruń,1274,9.8,9.5
22,"Stare Miasto, Toruń",1387,9.4,10.0
23,"Stare Miasto, Toruń",1400,9.2,8.5
24,"Stare Miasto, Toruń",1259,9.0,9.1
25,Toruń,1300,7.3,8.9
26,"Stare Miasto, Toruń",2164,10.0,8.6
27,"Stare Miasto, Toruń",1589,9.7,10.0
28,"Stare Miasto, Toruń",510,9.5,8.5
29,"Stare Miasto, Toruń",1080,9.2,9.2
30,"Stare Miasto, Toruń",2142,9.6,8.4
31,Toruń,2399,10.0,10.0
32,"Stare Miasto, Toruń",2749,8.6,9.5
33,"Stare Miasto, Toruń",1851,9.2,9.4
34,Toruń,1621,7.5,8.8
35,Toruń,1548,8.9,8.8
36,Toruń,1155,8.6,9.2
37,Toruń,1454,7.9,9.2
38,"Stare Miasto, Toruń",1300,9.4,9.3
39,"Stare Miasto, Toruń",1414,6.0,8.9
40,Toruń,1170,8.4,8.5
41,Toruń,2076,7.4,9.1
42,"Stare Miasto, Toruń",2139,9.2,9.4
43,"Stare Miasto, Toruń",1288,8.0,9.1
44,"Stare Miasto, Toruń",1544,9.0,10.0
45,Toruń,707,8.0,8.3
46,Toruń,1379,6.9,8.0
47,"Stare Miasto, Toruń",684,7.9,8.8
48,"Stare Miasto, Toruń",1799,7.1,9.7
49,"Stare Miasto, Toruń",1260,9.3,8.9
50,"Stare Miasto, Toruń",2904,9.5,9.2
51,"Stare Miasto, Toruń",1520,8.8,9.5
52,"Stare Miasto, Toruń",720,10.0,8.9
53,Toruń,959,9.1,9.2
54,"Stare Miasto, Toruń",1575,9.5,8.9
55,Toruń,1148,9.4,8.9
56,"Stare Miasto, Toruń",1672,8.7,8.2
57,Toruń,1054,8.5,9.8
58,Toruń,2343,8.9,8.0
59,Toruń,2208,9.2,8.9
60,"Stare Miasto, Toruń",1332,9.3,9.9
61,"Stare Miasto, Toruń",1246,9.0,9.4
62,Toruń,2104,7.8,8.7
