,City,Cost,Rating,Comfort
0,Wadowice,1743,8.8,8.8
1,Wadowice,2890,9.0,10.0
2,Wadowice,1770,9.7,10.0
3,Wadowice,1303,9.1,9.2
4,Wadowice,630,7.7,10.0
5,Wadowice,3850,10.0,9.0
6,Wadowice,2739,9.0,9.4
7,Wadowice,1120,9.3,9.7
8,Wadowice,1540,9.7,9.3
9,Wadowice,2230,9.1,9.1
10,Wadowice,2551,8.6,8.8
11,Wadowice,2933,8.8,9.4
12,Wadowice,1490,9.5,9.5
13,Wadowice,1340,9.3,9.6
14,Wadowice,1820,9.6,8.8
15,Wadowice,3864,8.6,9.0
16,Wadowice,3627,9.1,8.9
17,Wadowice,2793,9.0,10.0
18,Wadowice,1022,9.7,9.8
19,Wadowice,2793,9.7,9.1
20,Wadowice,2940,9.3,9.4
21,Wadowice,2832,9.3,10.0
22,Wadowice,1270,9.7,8.0
23,Wadowice,2590,8.2,8.5
24,Wadowice,3465,8.4,8.6
25,Wadowice,2730,8.2,9.2
26,Wadowice,2793,9.1,9.3
27,Wadowice,2199,9.2,8.3
28,Wadowice,2700,7.3,9.5
29,Wadowice,1303,9.0,9.9
30,Wadowice,4025,9.2,10.0
31,Wadowice,2793,9.5,9.8
32,Wadowice,3273,10.0,9.8
33,Wadowice,2968,9.6,9.5
34,Wadowice,4425,9.7,8.8
35,Wadowice,3850,9.6,9.8
36,Wadowice,3800,9.1,8.9
37,Wadowice,3430,9.4,9.7
38,Wadowice,2240,9.0,9.8
