,City,Cost,Rating,Comfort
0,"Wola, Warszawa",1328,8.5,8.4
1,"Śródmieście, Warszawa",3931,9.0,9.3
2,"Śródmieście, Warszawa",4702,8.1,8.1
3,"Wola, Warszawa",2045,10.0,10.0
4,"Mokotów, Warszawa",2457,7.3,9.4
5,"Śródmieście, Warszawa",1133,9.1,8.6
6,"Wola, Warszawa",2241,8.7,9.0
7,"Wola, Warszawa",378,8.8,8.2
8,"Śródmieście, Warszawa",2230,6.8,8.2
9,"Żoliborz, Warszawa",1309,8.1,8.7
10,"Włochy, Warszawa",2248,4.4,9.3
11,"Wola, Warszawa",660,8.7,9.2
12,"Ochota, Warszawa",2228,8.2,8.3
13,"Bielany, Warszawa",1050,8.6,8.2
14,"Wola, Warszawa",1744,7.5,8.2
15,"Wola, Warszawa",754,8.9,9.2
16,"Żoliborz, Warszawa",1075,9.3,8.6
17,"Śródmieście, Warszawa",2010,8.8,8.5
18,"Wola, Warszawa",484,7.8,9.2
19,"Śródmieście, Warszawa",960,7.1,8.9
20,"Śródmieście, Warszawa",1754,8.2,8.2
21,"Śródmieście, Warszawa",1739,7.6,9.1
22,"Wola, Warszawa",2333,8.0,8.4
23,"Wola, Warszawa",2119,8.8,8.8
24,"Wola, Warszawa",1250,7.0,9.3
25,"Śródmieście, Warszawa",793,8.6,8.6
26,"Wola, Warszawa",1733,8.5,8.1
27,"Śródmieście, Warszawa",1135,9.3,8.1
28,"Śródmieście, Warszawa",1089,8.6,8.5
29,"Wola, Warszawa",1546,7.9,9.4
30,"Śródmieście, Warszawa",1133,7.2,8.9
31,"Targówek, Warszawa",821,8.9,8.6
32,"Wola, Warszawa",1515,8.3,8.4
33,"Ochota, Warszawa",1661,8.6,9.4
34,"Śródmieście, Warszawa",1855,9.3,8.1
35,"Wola, Warszawa",1533,8.2,8.0
36,"Wola, Warszawa",2241,7.8,8.2
37,"Wola, Warszawa",2119,8.1,8.5
38,"Śródmieście, Warszawa",1714,8.6,9.0
39,"Wola, Warszawa",1732,6.6,9.1
