,City,Cost,Rating,Comfort
0,"Śródmieście, Wrocław",2069,8.4,8.5
1,"Śródmieście, Wrocław",1848,10.0,10.0
2,"Fabryczna, Wrocław",1848,8.0,8.2
3,"Stare Miasto, Wrocław",1757,8.2,8.2
4,"Krzyki, Wrocław",1688,7.4,8.4
5,"Krzyki, Wrocław",1455,8.4,8.9
6,"Śródmieście, Wrocław",2041,8.5,8.3
7,"Stare Miasto, Wrocław",984,7.5,8.3
8,"Fabryczna, Wrocław",2061,8.2,8.4
9,"Śródmieście, Wrocław",560,7.7,8.8
10,"Stare Miasto, Wrocław",2247,7.3,9.0
11,"Krzyki, Wrocław",1624,8.3,10.0
12,"Śródmieście, Wrocław",1909,8.4,8.9
13,"Stare Miasto, Wrocław",683,9.5,8.4
14,"Krzyki, Wrocław",2654,8.6,9.1
15,"Stare Miasto, Wrocław",3626,8.0,9.6
16,"Psie Pole, Wrocław",1743,8.7,8.7
17,"Stare Miasto, Wrocław",2416,8.7,9.5
18,"Fabryczna, Wrocław",1008,8.9,8.4
19,"Stare Miasto, Wrocław",2687,9.5,8.9
20,"Stare Miasto, Wrocław",2153,6.5,8.7
21,"Stare Miasto, Wrocław",2341,8.8,8.8
22,"Krzyki, Wrocław",1622,9.2,9.0
23,"Śródmieście, Wrocław",1711,8.4,8.9
24,"Śródmieście, Wrocław",1543,8.8,8.0
25,"Krzyki, Wrocław",1739,8.5,8.5
26,"Śródmieście, Wrocław",1248,8.6,9.0
27,"Krzyki, Wrocław",1948,9.0,8.2
28,"Stare Miasto, Wrocław",2743,8.5,8.8
29,"Śródmieście, Wrocław",2041,7.9,9.2
30,"Stare Miasto, Wrocław",3014,8.3,8.4
31,"Stare Miasto, Wrocław",2224,7.4,8.8
32,"Stare Miasto, Wrocław",2128,9.0,8.9
33,"Stare Miasto, Wrocław",2070,8.1,8.1
34,"Stare Miasto, Wrocław",560,8.8,8.6
35,"Stare Miasto, Wrocław",984,9.3,8.3
36,"Fabryczna, Wrocław",1357,8.2,9.5
37,"Psie Pole, Wrocław",1762,8.5,9.1
38,"Śródmieście, Wrocław",1610,8.9,8.9
39,"Stare Miasto, Wrocław",2058,7.9,8.0
40,"Psie Pole, Wrocław",1422,8.5,8.6
41,"Krzyki, Wrocław",1950,6.0,9.2
42,"Stare Miasto, Wrocław",2078,8.3,9.4
43,"Stare Miasto, Wrocław",3072,7.8,8.9
44,"Stare Miasto, Wrocław",3785,9.4,9.0
45,"Śródmieście, Wrocław",1786,9.1,9.2
46,"Stare Miasto, Wrocław",2664,8.5,8.6
47,"Fabryczna, Wrocław",1600,7.8,9.0
48,"Śródmieście, Wrocław",876,7.0,8.6
49,"Psie Pole, Wrocław",800,8.4,8.3
50,"Stare Miasto, Wrocław",2664,9.1,9.0
51,"Krzyki, Wrocław",2086,8.9,9.4
52,"Krzyki, Wrocław",2321,8.8,9.3
53,"Krzyki, Wrocław",1425,9.0,8.4
54,"Stare Miasto, Wrocław",984,8.9,9.1
55,"Stare Miasto, Wrocław",2592,7.6,8.3
56,"Śródmieście, Wrocław",1943,8.5,8.8
57,"Psie Pole, Wrocław",1692,9.0,9.4
58,"Stare Miasto, Wrocław",2254,8.4,8.3
59,"Fabryczna, Wrocław",2159,7.4,8.1
60,"Fabryczna, Wrocław",2061,8.3,8.4
61,"Krzyki, Wrocław",911,8.9,8.4
62,"Krzyki, Wrocław",2011,9.1,9.1
63,"Stare Miasto, Wrocław",1818,8.7,9.0
64,"Stare Miasto, Wrocław",2124,8.4,9.0
65,"Śródmieście, Wrocław",2078,9.0,8.8
66,Wrocław,2078,8.2,9.1
67,"Psie Pole, Wrocław",2140,8.6,8.2
68,"Stare Miasto, Wrocław",2320,6.2,8.6
69,"Stare Miasto, Wrocław",1532,7.7,8.0
70,"Stare Miasto, Wrocław",3124,7.8,9.1
71,"Fabryczna, Wrocław",1560,8.3,9.0
72,"Stare Miasto, Wrocław",2513,8.0,8.4
73,"Śródmieście, Wrocław",1517,8.2,8.8
74,"Stare Miasto, Wrocław",2099,8.3,9.9
75,"Stare Miasto, Wrocław",3077,7.0,9.0
76,Wrocław,1406,8.5,8.8
77,"Krzyki, Wrocław",2654,7.1,8.9
78,"Stare Miasto, Wrocław",2703,8.8,8.4
79,"Stare Miasto, Wrocław",2247,7.8,9.3
80,"Śródmieście, Wrocław",2779,9.0,9.5
81,"Stare Miasto, Wrocław",300,8.9,10.0
82,"Śródmieście, Wrocław",1697,6.4,8.8
83,"Śródmieście, Wrocław",945,6.3,9.5
84,"Fabryczna, Wrocław",1375,8.6,9.7
85,"Śródmieście, Wrocław",1909,9.2,9.2
